date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:4.138	0.003	0.024	0.433	0.194	0.003	0.006	0.200	
0:0:5.505	97.343	0.001	0.017	0.002	0.001	0.001	2.472	
0:0:6.094	33.398	0.001	0.041	0.005	0.003	0.001	2.351	
0:0:6.643	4.370	0.001	0.106	0.011	0.003	0.001	1.387	
0:0:6.869	0.018	0.003	0.747	0.118	0.012	0.004	0.965	
0:0:6.973	0.004	0.016	0.425	0.174	0.004	0.005	0.253	
0:0:7.034	0.003	0.023	0.426	0.190	0.003	0.005	0.201	
0:0:7.108	0.003	0.020	0.419	0.193	0.003	0.006	0.195	
0:0:7.231	0.003	0.020	0.423	0.194	0.003	0.006	0.198	
0:0:7.314	0.003	0.022	0.427	0.192	0.003	0.005	0.203	
0:0:7.397	0.003	0.021	0.468	0.187	0.003	0.005	0.221	
0:0:7.534	0.004	0.014	0.536	0.171	0.004	0.005	0.286	
0:0:7.614	0.063	0.003	0.250	0.051	0.003	0.002	0.445	
0:0:7.683	0.253	0.002	0.209	0.030	0.003	0.002	0.636	
0:0:7.749	2.487	0.001	0.154	0.013	0.003	0.001	1.107	
0:0:7.807	4.763	0.001	0.173	0.011	0.003	0.001	1.630	
0:0:7.859	26.549	0.001	0.090	0.005	0.002	0.001	1.865	
0:0:7.947	24.803	0.001	0.106	0.006	0.003	0.001	2.159	
0:0:8.007	19.992	0.001	0.135	0.007	0.003	0.001	2.435	
0:0:8.063	16.190	0.001	0.158	0.007	0.004	0.001	2.607	
0:0:8.125	37.125	0.001	0.106	0.005	0.003	0.001	2.808	
0:0:8.173	54.567	0.001	0.083	0.004	0.002	0.001	2.798	
0:0:8.223	35.765	0.001	0.112	0.005	0.003	0.001	2.714	
0:0:8.274	30.702	0.001	0.126	0.005	0.003	0.001	2.850	
0:0:8.322	36.044	0.001	0.114	0.005	0.003	0.001	2.772	
0:0:8.374	50.435	0.001	0.087	0.004	0.002	0.001	2.746	
0:0:8.423	65.928	0.001	0.066	0.003	0.002	0.001	2.691	
0:0:8.513	89.401	0.001	0.038	0.002	0.002	0.001	2.684	
0:0:8.565	95.730	0.001	0.027	0.002	0.001	0.001	2.649	
0:0:8.672	98.396	0.001	0.024	0.001	0.001	0.001	2.694	
0:0:8.738	99.462	0.001	0.025	0.001	0.001	0.001	2.665	
0:0:8.787	99.747	0.001	0.035	0.001	0.001	0.001	2.691	
0:0:8.841	99.835	0.001	0.029	0.001	0.001	0.001	2.662	
0:0:8.893	99.874	0.001	0.039	0.001	0.001	0.001	2.700	
0:0:8.940	99.886	0.001	0.039	0.001	0.001	0.001	2.665	
0:0:8.993	99.896	0.001	0.032	0.001	0.001	0.001	2.667	
0:0:9.091	99.915	0.001	0.031	0.001	0.001	0.001	2.724	
0:0:9.139	99.920	0.001	0.034	0.001	0.001	0.001	2.892	
0:0:9.182	99.923	0.001	0.023	0.001	0.001	0.001	2.973	
0:0:9.228	99.924	0.001	0.025	0.001	0.001	0.001	3.211	
0:0:9.275	99.925	0.001	0.019	0.001	0.001	0.001	3.296	
0:0:9.322	99.927	0.001	0.023	0.001	0.001	0.001	3.692	
0:0:9.369	99.928	0.001	0.017	0.001	0.001	0.001	4.551	
0:0:9.484	99.929	0.001	0.016	0.001	0.001	0.001	7.315	
0:0:9.549	99.928	0.001	0.044	0.001	0.001	0.001	9.077	
0:0:9.598	99.927	0.001	0.429	0.001	0.001	0.001	11.322	
0:0:9.646	99.923	0.001	0.521	0.001	0.001	0.001	12.123	
0:0:9.692	99.913	0.001	0.749	0.001	0.001	0.001	13.199	
0:0:9.738	99.884	0.001	1.584	0.001	0.001	0.001	13.535	
0:0:9.785	99.831	0.001	2.453	0.001	0.001	0.001	14.096	
0:0:9.833	99.593	0.001	2.964	0.001	0.001	0.001	14.393	
0:0:9.877	99.083	0.001	3.682	0.001	0.001	0.001	14.621	
0:0:9.920	99.186	0.001	3.886	0.001	0.001	0.001	14.710	
0:0:9.967	99.293	0.001	5.942	0.001	0.001	0.001	14.772	
0:0:10.015	97.908	0.001	11.589	0.002	0.001	0.001	14.792	
0:0:10.059	97.803	0.001	13.127	0.002	0.001	0.001	14.787	
0:0:10.104	97.479	0.001	13.320	0.002	0.001	0.001	14.813	
0:0:10.151	95.868	0.001	13.671	0.002	0.001	0.001	14.832	
0:0:10.196	98.145	0.001	5.384	0.001	0.001	0.001	14.842	
0:0:10.246	99.247	0.001	3.045	0.001	0.001	0.001	14.847	
0:0:10.291	99.385	0.001	2.241	0.001	0.001	0.001	14.854	
0:0:10.340	99.462	0.001	2.618	0.001	0.001	0.001	14.849	
0:0:10.387	99.278	0.001	2.869	0.001	0.001	0.001	14.854	
