date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:3.399	0.003	0.020	0.427	0.194	0.003	0.010	0.209	
0:0:5.320	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:5.883	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:6.125	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:6.235	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:6.341	0.003	0.025	0.428	0.195	0.003	0.006	0.195	
0:0:6.424	0.003	0.025	0.428	0.195	0.003	0.006	0.195	
0:0:6.542	0.003	0.025	0.427	0.195	0.003	0.006	0.195	
0:0:6.710	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:6.809	0.003	0.025	0.427	0.195	0.003	0.006	0.195	
0:0:6.973	0.003	0.025	0.428	0.195	0.003	0.006	0.195	
0:0:7.071	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:7.208	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:7.299	0.003	0.025	0.429	0.194	0.003	0.006	0.197	
0:0:7.387	0.003	0.023	0.429	0.194	0.003	0.007	0.202	
0:0:7.465	0.003	0.023	0.429	0.194	0.003	0.006	0.201	
0:0:7.552	0.003	0.023	0.430	0.194	0.003	0.007	0.203	
0:0:7.633	0.003	0.023	0.430	0.194	0.003	0.007	0.202	
0:0:7.709	0.003	0.023	0.430	0.194	0.003	0.007	0.203	
0:0:7.792	0.003	0.024	0.430	0.194	0.003	0.006	0.200	
0:0:7.935	0.003	0.024	0.431	0.194	0.003	0.006	0.198	
0:0:8.009	0.003	0.025	0.430	0.194	0.003	0.006	0.197	
0:0:8.077	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:8.149	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:8.217	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:8.293	0.003	0.025	0.429	0.194	0.003	0.006	0.194	
0:0:8.367	0.003	0.025	0.430	0.194	0.003	0.006	0.194	
0:0:8.505	0.003	0.025	0.430	0.194	0.003	0.006	0.194	
0:0:8.678	0.003	0.025	0.429	0.194	0.003	0.006	0.194	
0:0:9.209	0.002	0.070	0.429	0.252	0.007	0.008	0.084	
0:0:9.366	0.002	0.043	0.427	0.223	0.005	0.007	0.124	
0:0:9.451	0.002	0.067	0.427	0.249	0.007	0.008	0.087	
0:0:9.538	0.001	2.412	0.429	0.613	0.360	0.036	0.006	
0:0:9.738	0.001	1.636	0.434	0.557	0.239	0.030	0.008	
0:0:9.896	0.001	7.238	0.437	0.821	1.412	0.059	0.003	
0:0:10.254	0.001	0.836	0.436	0.472	0.113	0.022	0.013	
0:0:10.385	0.001	1.027	0.449	0.501	0.153	0.024	0.011	
0:0:10.468	0.001	8.005	0.506	0.848	1.877	0.063	0.003	
0:0:10.772	0.001	10.838	0.455	0.920	2.687	0.072	0.002	
0:0:10.890	0.001	3.519	0.444	0.683	0.642	0.042	0.005	
0:0:11.273	0.002	0.088	0.442	0.269	0.010	0.009	0.071	
0:0:11.392	0.002	0.042	0.432	0.222	0.005	0.007	0.129	
0:0:11.490	0.001	1.162	0.435	0.513	0.163	0.026	0.010	
0:0:11.786	0.001	0.599	0.435	0.435	0.078	0.020	0.016	
0:0:11.941	0.001	0.667	0.439	0.448	0.091	0.021	0.015	
0:0:12.011	0.001	0.812	0.441	0.471	0.115	0.023	0.013	
0:0:12.833	0.001	7.722	0.453	0.838	1.450	0.062	0.003	
0:0:12.956	0.001	1.127	0.458	0.510	0.158	0.025	0.010	
0:0:13.024	0.001	22.027	0.463	1.142	5.959	0.100	0.002	
0:0:13.106	0.001	25.085	0.668	1.198	7.440	0.112	0.002	
0:0:13.351	0.001	16.512	0.514	1.059	3.554	0.081	0.002	
0:0:13.476	0.001	4.297	0.450	0.817	0.374	0.026	0.008	
0:0:13.581	0.001	0.017	0.443	0.220	0.002	0.003	0.872	
0:0:13.666	0.002	0.021	0.441	0.195	0.002	0.004	0.312	
0:0:13.733	0.002	0.022	0.440	0.197	0.003	0.004	0.317	
0:0:13.840	0.002	0.028	0.442	0.215	0.003	0.004	0.317	
0:0:13.997	0.002	0.070	0.442	0.259	0.007	0.006	0.117	
0:0:14.145	0.001	0.185	0.440	0.327	0.021	0.006	0.061	
0:0:14.208	0.001	1.754	0.451	0.581	0.285	0.016	0.011	
0:0:14.287	0.001	21.560	0.455	1.144	6.471	0.054	0.002	
0:0:14.363	0.001	22.599	0.464	1.162	8.001	0.049	0.002	
0:0:14.437	0.001	26.417	0.460	1.206	10.355	0.049	0.002	
0:0:14.567	0.001	23.177	0.467	1.167	8.099	0.052	0.002	
