date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:3.542	0.003	0.016	0.586	0.194	0.004	0.006	0.283	
0:0:5.060	0.003	0.021	0.518	0.195	0.003	0.007	0.218	
0:0:5.759	0.003	0.014	0.605	0.194	0.004	0.019	0.255	
0:0:6.157	0.003	0.020	0.629	0.194	0.003	0.007	0.226	
0:0:6.324	0.003	0.022	0.808	0.194	0.003	0.006	0.212	
0:0:6.413	0.003	0.023	0.675	0.194	0.003	0.006	0.212	
0:0:6.556	0.003	0.023	0.502	0.194	0.003	0.006	0.209	
0:0:6.712	0.003	0.024	0.495	0.195	0.003	0.006	0.204	
0:0:6.911	0.003	0.024	0.479	0.195	0.003	0.006	0.204	
0:0:7.008	0.003	0.024	0.472	0.194	0.003	0.006	0.205	
0:0:7.082	0.003	0.024	0.468	0.194	0.003	0.006	0.204	
0:0:7.241	0.003	0.024	0.470	0.195	0.003	0.006	0.203	
0:0:7.314	0.003	0.024	0.473	0.194	0.003	0.006	0.204	
0:0:7.390	0.003	0.024	0.474	0.194	0.003	0.005	0.205	
0:0:7.545	0.003	0.023	0.472	0.194	0.003	0.005	0.206	
0:0:7.627	0.003	0.023	0.480	0.194	0.003	0.005	0.208	
0:0:7.769	0.003	0.023	0.488	0.194	0.003	0.005	0.209	
0:0:7.851	0.003	0.023	0.488	0.194	0.003	0.005	0.209	
0:0:7.926	0.003	0.023	0.480	0.194	0.003	0.005	0.208	
0:0:7.997	0.003	0.023	0.478	0.194	0.003	0.005	0.208	
0:0:8.063	0.003	0.023	0.478	0.194	0.003	0.005	0.209	
0:0:8.184	0.003	0.023	0.484	0.194	0.003	0.005	0.212	
0:0:8.250	0.003	0.023	0.482	0.194	0.003	0.005	0.214	
0:0:8.321	0.003	0.022	0.481	0.194	0.003	0.005	0.216	
0:0:8.391	0.003	0.022	0.487	0.194	0.003	0.005	0.219	
0:0:8.462	0.003	0.022	0.491	0.194	0.003	0.006	0.220	
0:0:8.530	0.003	0.022	0.497	0.194	0.003	0.006	0.223	
0:0:8.632	0.003	0.022	0.497	0.194	0.003	0.005	0.223	
0:0:8.711	0.003	0.022	0.500	0.194	0.003	0.005	0.223	
0:0:8.784	0.003	0.022	0.499	0.194	0.003	0.005	0.223	
0:0:8.891	0.003	0.022	0.499	0.194	0.003	0.005	0.221	
0:0:8.960	0.003	0.022	0.505	0.194	0.003	0.005	0.222	
0:0:9.025	0.003	0.021	0.514	0.194	0.003	0.005	0.224	
0:0:9.087	0.003	0.021	0.525	0.194	0.003	0.005	0.224	
0:0:9.162	0.003	0.022	0.504	0.194	0.003	0.005	0.217	
0:0:9.243	0.003	0.024	0.475	0.194	0.003	0.005	0.207	
0:0:9.321	0.003	0.024	0.455	0.194	0.003	0.005	0.201	
0:0:9.437	0.003	0.024	0.448	0.194	0.003	0.006	0.196	
0:0:9.597	0.003	0.028	0.468	0.199	0.003	0.006	0.179	
0:0:9.676	0.002	0.022	0.411	0.202	0.004	0.006	0.138	
0:0:9.748	0.003	0.014	0.351	0.164	0.003	0.005	0.157	
0:0:9.816	0.005	0.011	0.266	0.125	0.003	0.004	0.134	
0:0:9.942	0.016	0.011	0.178	0.072	0.002	0.003	0.173	
0:0:10.072	0.506	0.004	0.044	0.015	0.001	0.002	0.164	
0:0:10.452	0.015	0.015	0.453	0.073	0.002	0.005	0.137	
0:0:10.588	0.005	0.021	0.288	0.124	0.003	0.008	0.150	
0:0:10.669	0.004	0.024	0.240	0.132	0.006	0.012	0.064	
0:0:10.954	0.004	0.055	0.490	0.126	0.006	0.009	0.059	
0:0:11.078	0.003	0.033	0.447	0.179	0.004	0.007	0.136	
0:0:11.147	0.002	0.036	0.449	0.204	0.004	0.009	0.136	
0:0:11.210	0.003	0.028	0.437	0.199	0.004	0.009	0.162	
0:0:11.283	0.003	0.023	0.426	0.202	0.004	0.010	0.161	
0:0:11.348	0.003	0.026	0.428	0.199	0.003	0.007	0.177	
0:0:11.414	0.003	0.027	0.428	0.199	0.003	0.007	0.178	
0:0:11.477	0.003	0.026	0.427	0.198	0.003	0.007	0.184	
0:0:11.544	0.003	0.026	0.427	0.197	0.003	0.007	0.188	
0:0:11.608	0.003	0.027	0.427	0.198	0.003	0.006	0.186	
0:0:11.670	0.003	0.026	0.427	0.196	0.003	0.006	0.195	
0:0:11.771	0.003	0.025	0.427	0.195	0.003	0.006	0.197	
0:0:11.849	0.003	0.025	0.428	0.195	0.003	0.005	0.202	
0:0:11.979	0.003	0.025	0.429	0.195	0.003	0.006	0.197	
0:0:12.074	0.003	0.026	0.443	0.196	0.003	0.006	0.194	
0:0:12.142	0.003	0.025	0.433	0.196	0.003	0.005	0.198	
0:0:12.244	0.003	0.026	0.435	0.198	0.003	0.006	0.191	
0:0:12.315	0.003	0.027	0.447	0.198	0.003	0.006	0.188	
0:0:12.375	0.003	0.026	0.467	0.198	0.003	0.006	0.191	
0:0:12.439	0.003	0.025	0.509	0.197	0.003	0.006	0.194	
0:0:12.511	0.003	0.024	0.547	0.197	0.003	0.006	0.201	
0:0:12.577	0.003	0.023	0.602	0.196	0.003	0.006	0.208	
0:0:12.696	0.003	0.015	1.061	0.195	0.005	0.005	0.297	
0:0:12.759	0.004	0.013	1.164	0.194	0.005	0.005	0.324	
0:0:12.835	0.004	0.012	1.091	0.194	0.005	0.005	0.361	
0:0:12.921	0.004	0.010	1.206	0.194	0.006	0.005	0.421	
0:0:13.001	0.004	0.011	0.905	0.194	0.006	0.005	0.390	
0:0:13.069	0.004	0.010	0.954	0.194	0.006	0.005	0.413	
0:0:13.156	0.005	0.008	1.343	0.194	0.008	0.005	0.554	
0:0:13.228	0.005	0.007	1.353	0.194	0.008	0.005	0.584	
0:0:13.297	0.006	0.005	1.674	0.194	0.013	0.004	0.885	
0:0:13.362	0.007	0.004	1.988	0.194	0.018	0.004	1.233	
0:0:13.431	0.006	0.004	1.765	0.194	0.015	0.004	1.119	
0:0:13.498	0.006	0.004	1.715	0.194	0.015	0.004	1.241	
0:0:13.564	0.007	0.004	1.813	0.194	0.016	0.003	1.389	
0:0:13.633	0.007	0.003	2.161	0.194	0.019	0.003	1.771	
0:0:13.699	0.007	0.003	2.174	0.194	0.020	0.003	1.939	
0:0:13.766	0.007	0.003	2.068	0.194	0.019	0.003	1.888	
0:0:13.834	0.007	0.003	2.030	0.194	0.020	0.003	1.851	
0:0:13.896	0.007	0.003	1.962	0.194	0.019	0.003	1.821	
0:0:13.960	0.007	0.004	1.987	0.194	0.018	0.003	1.666	
0:0:14.027	0.007	0.004	2.075	0.194	0.019	0.003	1.680	
0:0:14.130	0.007	0.004	1.989	0.194	0.019	0.003	1.532	
0:0:14.197	0.007	0.004	2.052	0.194	0.019	0.003	1.478	
0:0:14.280	0.007	0.004	1.849	0.194	0.017	0.004	1.282	
0:0:14.387	0.006	0.004	1.724	0.194	0.016	0.004	1.143	
0:0:14.504	0.006	0.005	1.596	0.194	0.015	0.004	1.013	
0:0:14.587	0.006	0.005	1.492	0.194	0.013	0.004	0.895	
0:0:14.656	0.006	0.004	1.701	0.194	0.016	0.004	1.110	
0:0:14.721	0.006	0.005	1.489	0.194	0.015	0.004	0.970	
0:0:14.787	0.006	0.005	1.346	0.194	0.014	0.005	0.877	
0:0:14.849	0.006	0.005	1.208	0.194	0.012	0.005	0.774	
0:0:14.913	0.006	0.005	1.258	0.194	0.014	0.005	0.839	
0:0:14.981	0.007	0.003	1.540	0.194	0.020	0.005	1.122	
0:0:15.042	0.009	0.003	1.887	0.194	0.028	0.005	1.508	
0:0:15.105	0.010	0.002	2.207	0.194	0.037	0.005	1.886	
0:0:15.173	0.011	0.002	2.425	0.194	0.045	0.005	2.227	
0:0:15.254	0.012	0.002	2.554	0.193	0.049	0.004	2.505	
0:0:15.321	0.012	0.002	2.615	0.190	0.052	0.004	2.776	
0:0:15.384	0.015	0.002	2.439	0.173	0.049	0.004	2.911	
0:0:15.450	0.031	0.002	1.844	0.124	0.037	0.003	2.973	
0:0:15.513	0.251	0.001	0.808	0.047	0.016	0.002	3.101	
0:0:15.585	0.913	0.001	0.484	0.027	0.010	0.001	3.062	
0:0:15.662	0.474	0.001	0.655	0.036	0.013	0.002	2.848	
0:0:15.723	0.140	0.001	1.124	0.062	0.021	0.002	2.906	
0:0:15.794	0.048	0.001	1.790	0.102	0.032	0.003	3.035	
0:0:15.859	0.038	0.002	2.018	0.115	0.035	0.003	3.105	
0:0:15.927	0.080	0.001	1.489	0.082	0.026	0.002	3.035	
0:0:16.047	0.064	0.001	1.480	0.090	0.028	0.003	2.729	
0:0:16.566	99.908	0.001	0.007	0.001	0.001	0.001	2.233	
0:0:17.097	99.618	0.001	0.018	0.001	0.001	0.001	0.297	
0:0:17.228	99.522	0.001	0.007	0.001	0.001	0.001	0.191	
0:0:17.608	55.408	0.001	0.006	0.002	0.001	0.001	0.188	
0:0:17.726	0.075	0.006	0.100	0.036	0.001	0.007	0.192	
0:0:17.787	0.003	0.024	0.422	0.188	0.003	0.044	0.193	
0:0:18.126	0.003	0.026	0.424	0.195	0.003	0.028	0.185	
0:0:18.256	0.003	0.027	0.430	0.199	0.003	0.007	0.180	
0:0:18.317	0.002	0.033	0.430	0.209	0.004	0.008	0.155	
0:0:18.643	0.003	0.028	0.431	0.200	0.003	0.007	0.179	
0:0:18.759	0.003	0.026	0.433	0.197	0.003	0.006	0.187	
0:0:18.826	0.003	0.025	0.438	0.194	0.003	0.006	0.198	
0:0:18.892	0.003	0.025	0.441	0.195	0.003	0.006	0.194	
0:0:18.954	0.003	0.026	0.450	0.199	0.003	0.006	0.183	
0:0:19.164	0.003	0.027	0.455	0.199	0.003	0.006	0.181	
0:0:19.280	0.003	0.028	0.471	0.200	0.003	0.006	0.180	
0:0:19.350	0.002	0.037	0.486	0.215	0.004	0.007	0.141	
0:0:19.686	0.003	0.028	0.517	0.200	0.003	0.006	0.178	
0:0:19.800	0.003	0.026	0.518	0.198	0.003	0.006	0.186	
0:0:19.869	0.003	0.024	0.494	0.194	0.003	0.006	0.201	
0:0:19.941	0.003	0.023	0.475	0.194	0.003	0.006	0.205	
0:0:20.006	0.003	0.023	0.494	0.194	0.003	0.006	0.210	
0:0:20.077	0.003	0.022	0.503	0.194	0.003	0.006	0.216	
0:0:20.141	0.003	0.021	0.515	0.194	0.003	0.006	0.221	
0:0:20.209	0.003	0.021	0.534	0.194	0.003	0.006	0.227	
0:0:20.276	0.003	0.020	0.558	0.194	0.004	0.006	0.232	
0:0:20.348	0.003	0.019	0.600	0.194	0.004	0.006	0.239	
0:0:20.409	0.003	0.017	0.709	0.195	0.004	0.006	0.266	
0:0:20.473	0.003	0.017	0.688	0.195	0.004	0.006	0.269	
0:0:20.537	0.003	0.016	0.677	0.195	0.004	0.006	0.274	
0:0:20.604	0.003	0.017	0.655	0.195	0.004	0.006	0.269	
0:0:20.669	0.003	0.017	0.655	0.195	0.004	0.006	0.269	
0:0:20.736	0.003	0.017	0.655	0.195	0.004	0.006	0.269	
0:0:20.806	0.003	0.017	0.652	0.195	0.004	0.006	0.262	
0:0:20.869	0.003	0.018	0.632	0.195	0.004	0.006	0.256	
0:0:20.930	0.003	0.018	0.610	0.195	0.004	0.005	0.258	
0:0:20.992	0.003	0.018	0.606	0.195	0.004	0.005	0.258	
0:0:21.055	0.003	0.017	0.599	0.195	0.004	0.005	0.263	
0:0:21.120	0.003	0.017	0.593	0.195	0.004	0.005	0.262	
0:0:21.184	0.003	0.018	0.583	0.195	0.004	0.005	0.255	
0:0:21.246	0.003	0.018	0.570	0.195	0.004	0.005	0.253	
0:0:21.310	0.003	0.018	0.561	0.194	0.004	0.005	0.253	
0:0:21.373	0.003	0.018	0.566	0.195	0.004	0.005	0.259	
0:0:21.435	0.003	0.018	0.564	0.195	0.004	0.005	0.259	
0:0:21.497	0.003	0.018	0.558	0.195	0.004	0.005	0.254	
0:0:21.560	0.003	0.019	0.550	0.194	0.004	0.005	0.247	
0:0:21.623	0.003	0.019	0.542	0.194	0.004	0.005	0.245	
0:0:21.683	0.003	0.019	0.536	0.194	0.004	0.005	0.241	
0:0:21.744	0.003	0.020	0.534	0.194	0.003	0.005	0.239	
0:0:21.806	0.003	0.020	0.534	0.194	0.003	0.005	0.237	
0:0:21.871	0.003	0.020	0.533	0.194	0.003	0.005	0.234	
0:0:21.938	0.003	0.020	0.534	0.194	0.003	0.005	0.234	
0:0:22.004	0.003	0.020	0.538	0.194	0.003	0.005	0.235	
0:0:22.068	0.003	0.020	0.542	0.194	0.003	0.005	0.233	
0:0:22.130	0.003	0.021	0.535	0.194	0.003	0.005	0.226	
0:0:22.195	0.003	0.021	0.530	0.194	0.003	0.005	0.226	
0:0:22.259	0.003	0.021	0.529	0.194	0.003	0.005	0.224	
0:0:22.322	0.003	0.022	0.514	0.194	0.003	0.005	0.219	
0:0:22.391	0.003	0.022	0.505	0.194	0.003	0.005	0.216	
0:0:22.452	0.003	0.023	0.495	0.194	0.003	0.005	0.212	
0:0:22.514	0.003	0.024	0.489	0.194	0.003	0.005	0.207	
0:0:22.578	0.003	0.024	0.489	0.195	0.003	0.005	0.202	
0:0:22.650	0.003	0.025	0.484	0.195	0.003	0.006	0.197	
0:0:22.779	0.003	0.025	0.471	0.196	0.003	0.006	0.193	
0:0:22.913	0.003	0.025	0.472	0.195	0.003	0.006	0.193	
0:0:22.973	0.003	0.024	0.464	0.198	0.003	0.006	0.184	
