date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:3.695	0.003	0.025	0.428	0.194	0.003	0.006	0.194	
0:0:5.153	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:5.853	0.003	0.002	0.428	0.194	0.052	48.585	0.559	
0:0:6.318	0.003	0.002	0.442	0.194	0.049	41.671	0.523	
0:0:6.562	0.003	0.015	0.450	0.194	0.004	0.024	0.229	
0:0:6.722	0.003	0.023	0.434	0.194	0.003	0.007	0.200	
0:0:6.808	0.003	0.025	0.428	0.194	0.003	0.006	0.196	
0:0:6.951	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:7.038	0.003	0.025	0.429	0.194	0.003	0.005	0.195	
0:0:7.242	0.003	0.026	0.428	0.194	0.003	0.005	0.198	
0:0:7.513	0.003	0.027	0.427	0.194	0.003	0.005	0.211	
0:0:7.594	0.003	0.034	0.427	0.194	0.003	0.005	0.220	
0:0:7.751	0.003	0.030	0.427	0.194	0.003	0.005	0.217	
0:0:7.835	0.003	0.031	0.427	0.194	0.003	0.005	0.219	
0:0:7.908	0.003	0.031	0.427	0.194	0.003	0.005	0.212	
0:0:8.058	0.003	0.030	0.427	0.194	0.003	0.005	0.206	
0:0:8.136	0.003	0.028	0.427	0.194	0.003	0.005	0.202	
0:0:8.211	0.003	0.028	0.427	0.194	0.003	0.005	0.201	
0:0:8.290	0.003	0.027	0.427	0.194	0.003	0.005	0.199	
0:0:8.416	0.003	0.027	0.427	0.195	0.003	0.005	0.194	
0:0:8.490	0.003	0.026	0.427	0.195	0.003	0.005	0.193	
0:0:8.562	0.003	0.029	0.427	0.201	0.003	0.006	0.177	
0:0:8.635	0.003	0.027	0.427	0.198	0.003	0.006	0.185	
0:0:8.712	0.003	0.028	0.427	0.199	0.003	0.006	0.182	
0:0:8.781	0.003	0.026	0.427	0.195	0.003	0.005	0.193	
0:0:8.878	0.003	0.026	0.427	0.194	0.003	0.005	0.196	
0:0:8.945	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:9.021	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:9.137	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:9.220	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:9.331	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:9.438	0.003	0.025	0.427	0.194	0.003	0.005	0.198	
0:0:9.515	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:9.597	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:9.668	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:9.738	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:9.805	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:9.875	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:9.940	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:10.006	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:10.075	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:10.141	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:10.208	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:10.290	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:10.361	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:10.430	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:10.501	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:10.567	0.003	0.025	0.428	0.194	0.003	0.006	0.196	
0:0:10.630	0.003	0.025	0.428	0.194	0.003	0.005	0.195	
0:0:10.694	0.003	0.025	0.428	0.194	0.003	0.005	0.195	
0:0:10.759	0.003	0.025	0.427	0.194	0.003	0.005	0.195	
0:0:10.825	0.003	0.025	0.428	0.194	0.003	0.005	0.195	
0:0:10.900	0.003	0.025	0.427	0.194	0.003	0.005	0.195	
0:0:10.965	0.003	0.025	0.427	0.194	0.003	0.005	0.195	
0:0:11.039	0.003	0.025	0.428	0.194	0.003	0.005	0.195	
0:0:11.111	0.003	0.025	0.427	0.194	0.003	0.005	0.195	
0:0:11.178	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:11.243	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:11.307	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:11.376	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:11.444	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:11.514	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:11.579	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:11.643	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:11.733	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:11.807	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:11.871	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:11.937	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:12.009	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:12.076	0.003	0.025	0.427	0.194	0.003	0.005	0.195	
0:0:12.145	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:12.210	0.003	0.025	0.428	0.194	0.003	0.006	0.196	
0:0:12.276	0.003	0.024	0.428	0.194	0.003	0.006	0.199	
0:0:12.338	0.003	0.020	0.428	0.194	0.003	0.010	0.210	
0:0:12.400	0.003	0.019	0.428	0.194	0.004	0.011	0.212	
0:0:12.462	0.003	0.020	0.428	0.194	0.003	0.009	0.208	
0:0:12.532	0.003	0.024	0.428	0.194	0.003	0.006	0.197	
0:0:12.605	0.003	0.025	0.428	0.194	0.003	0.006	0.196	
0:0:12.679	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:12.747	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:12.902	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:12.972	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:13.099	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:13.162	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:13.245	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:13.319	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:13.480	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:13.545	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:13.615	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:13.683	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:13.749	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:13.814	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:13.879	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:13.941	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.014	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.080	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.148	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.221	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.289	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.354	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.423	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.494	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.558	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.639	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.720	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.787	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.858	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:14.923	0.003	0.025	0.427	0.194	0.003	0.005	0.195	
0:0:14.988	0.003	0.025	0.427	0.194	0.003	0.005	0.195	
0:0:15.056	0.003	0.025	0.427	0.194	0.003	0.005	0.195	
0:0:15.126	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:15.195	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:15.263	0.003	0.025	0.427	0.194	0.003	0.005	0.195	
0:0:15.330	0.003	0.025	0.427	0.194	0.003	0.005	0.195	
0:0:15.395	0.003	0.025	0.428	0.194	0.003	0.005	0.195	
