date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:3.540	0.004	0.009	0.744	0.194	0.005	0.013	0.370	
0:0:5.540	0.001	0.110	0.430	0.285	0.013	0.014	0.059	
0:0:6.096	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:6.344	0.003	0.025	0.429	0.194	0.003	0.006	0.194	
0:0:6.459	0.003	0.025	0.428	0.194	0.003	0.005	0.202	
0:0:6.557	0.003	0.025	0.428	0.194	0.003	0.005	0.204	
0:0:6.680	0.003	0.026	0.428	0.194	0.003	0.005	0.216	
0:0:6.958	0.003	0.026	0.429	0.194	0.003	0.006	0.200	
0:0:7.110	0.003	0.014	0.429	0.198	0.003	0.006	0.185	
0:0:7.501	0.002	0.060	0.431	0.238	0.007	0.008	0.103	
0:0:7.641	0.003	0.025	0.455	0.194	0.003	0.006	0.194	
0:0:7.728	0.003	0.006	0.658	0.195	0.003	0.012	0.192	
0:0:8.015	0.003	0.025	0.834	0.194	0.003	0.015	0.194	
0:0:8.144	0.003	0.027	0.512	0.197	0.003	0.007	0.186	
0:0:8.536	0.003	0.027	0.468	0.197	0.003	0.006	0.185	
0:0:8.662	0.003	0.026	0.441	0.196	0.003	0.006	0.187	
0:0:8.755	0.002	0.031	0.433	0.208	0.004	0.006	0.158	
0:0:9.069	0.003	0.031	0.433	0.205	0.004	0.006	0.164	
0:0:9.210	0.003	0.026	0.433	0.197	0.003	0.006	0.188	
0:0:9.614	0.003	0.025	0.434	0.194	0.003	0.006	0.196	
0:0:9.736	0.003	0.026	0.433	0.196	0.003	0.006	0.188	
0:0:9.803	0.003	0.026	0.432	0.196	0.003	0.006	0.189	
0:0:9.887	0.003	0.025	0.436	0.196	0.003	0.006	0.191	
0:0:10.155	0.003	0.026	0.434	0.196	0.003	0.006	0.191	
0:0:10.274	0.003	0.026	0.431	0.195	0.003	0.006	0.196	
0:0:10.344	0.003	0.025	0.429	0.194	0.003	0.006	0.198	
0:0:10.414	0.003	0.025	0.429	0.194	0.003	0.005	0.199	
0:0:10.492	0.003	0.025	0.428	0.194	0.003	0.005	0.198	
0:0:10.567	0.003	0.025	0.428	0.194	0.003	0.005	0.198	
0:0:10.645	0.003	0.025	0.428	0.194	0.003	0.005	0.199	
0:0:10.772	0.003	0.025	0.429	0.194	0.003	0.005	0.199	
0:0:11.274	0.003	0.028	0.428	0.199	0.004	0.006	0.180	
0:0:11.392	0.003	0.025	0.430	0.196	0.003	0.006	0.188	
0:0:11.480	0.003	0.013	0.433	0.194	0.003	0.006	0.199	
0:0:11.836	0.003	0.025	0.461	0.194	0.003	0.006	0.203	
0:0:11.972	0.003	0.024	0.460	0.194	0.003	0.007	0.204	
0:0:12.054	0.003	0.006	0.472	0.194	0.003	0.008	0.207	
0:0:12.382	0.003	0.025	0.487	0.194	0.003	0.007	0.208	
0:0:12.498	0.003	0.024	0.476	0.194	0.003	0.006	0.207	
0:0:12.581	0.003	0.015	0.524	0.195	0.003	0.007	0.196	
0:0:12.888	0.003	0.026	0.559	0.195	0.003	0.006	0.197	
0:0:13.018	0.003	0.025	0.479	0.194	0.003	0.006	0.197	
0:0:13.088	0.003	0.025	0.467	0.195	0.003	0.006	0.194	
0:0:13.396	0.003	0.025	0.446	0.195	0.003	0.006	0.194	
0:0:13.514	0.003	0.024	0.447	0.195	0.003	0.006	0.195	
0:0:13.597	0.003	0.016	0.441	0.194	0.003	0.006	0.199	
0:0:13.926	0.003	0.025	0.441	0.195	0.003	0.006	0.203	
0:0:14.048	0.003	0.025	0.451	0.194	0.003	0.006	0.204	
0:0:14.457	0.003	0.024	0.458	0.194	0.003	0.006	0.200	
0:0:14.581	0.003	0.024	0.446	0.194	0.003	0.006	0.202	
0:0:14.961	0.003	0.024	0.440	0.194	0.003	0.005	0.203	
0:0:15.089	0.003	0.025	0.433	0.200	0.003	0.006	0.180	
0:0:15.472	0.002	0.033	0.432	0.208	0.004	0.006	0.159	
0:0:15.592	0.003	0.025	0.434	0.194	0.003	0.006	0.197	
0:0:16.015	0.003	0.024	0.431	0.194	0.003	0.005	0.205	
0:0:16.131	0.003	0.022	0.430	0.194	0.003	0.005	0.205	
0:0:16.565	0.003	0.027	0.432	0.199	0.004	0.006	0.183	
0:0:16.700	0.003	0.026	0.431	0.199	0.003	0.006	0.182	
0:0:17.094	0.003	0.025	0.447	0.195	0.003	0.006	0.194	
0:0:17.211	0.003	0.025	0.442	0.194	0.003	0.006	0.197	
0:0:17.298	0.003	0.025	0.433	0.194	0.003	0.005	0.199	
0:0:17.388	0.003	0.025	0.430	0.194	0.003	0.005	0.198	
0:0:17.450	0.003	0.025	0.429	0.194	0.003	0.005	0.198	
0:0:17.521	0.003	0.025	0.429	0.194	0.003	0.005	0.197	
0:0:17.586	0.003	0.025	0.428	0.194	0.003	0.005	0.197	
0:0:17.648	0.003	0.025	0.428	0.194	0.003	0.005	0.199	
0:0:17.716	0.003	0.025	0.427	0.194	0.003	0.005	0.199	
0:0:17.782	0.003	0.025	0.427	0.194	0.003	0.005	0.199	
0:0:17.847	0.003	0.025	0.427	0.194	0.003	0.005	0.198	
0:0:17.913	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:17.984	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:18.050	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.115	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.181	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.244	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.346	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.422	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.497	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.561	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.622	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.684	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.751	0.003	0.025	0.428	0.194	0.003	0.005	0.196	
0:0:18.820	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.886	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.950	0.003	0.025	0.428	0.194	0.003	0.005	0.196	
0:0:19.016	0.003	0.025	0.428	0.194	0.003	0.005	0.196	
0:0:19.080	0.003	0.025	0.428	0.194	0.003	0.005	0.196	
0:0:19.145	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:19.215	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:19.281	0.003	0.025	0.428	0.194	0.003	0.005	0.196	
0:0:19.349	0.003	0.025	0.428	0.194	0.003	0.005	0.196	
0:0:19.412	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:20.054	0.001	4.775	0.428	0.730	2.235	0.049	0.004	
0:0:20.169	0.001	1.456	0.430	0.559	0.381	0.031	0.007	
0:0:20.564	0.002	0.074	10.247	0.258	0.011	0.011	0.081	
0:0:20.684	0.003	0.029	10.093	0.205	0.004	0.009	0.167	
0:0:21.104	0.003	0.027	4.065	0.196	0.003	0.007	0.201	
0:0:21.220	0.003	0.026	0.565	0.194	0.003	0.005	0.212	
0:0:21.283	0.003	0.024	0.502	0.194	0.003	0.005	0.215	
0:0:21.366	0.003	0.024	0.505	0.195	0.003	0.005	0.217	
0:0:21.610	0.003	0.025	0.480	0.195	0.003	0.005	0.202	
0:0:21.729	0.003	0.022	0.510	0.195	0.003	0.005	0.205	
0:0:22.139	0.003	0.029	1.044	0.197	0.007	0.006	0.189	
0:0:22.262	0.002	0.042	5.328	0.234	0.011	0.009	0.108	
0:0:22.325	0.003	0.010	7.717	0.194	0.004	0.009	0.203	
