date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:7.045	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:8.565	0.012	0.011	45.131	0.194	0.054	0.001	15.431	
0:0:8.893	0.012	0.008	3.674	0.194	0.055	0.001	14.935	
0:0:9.077	0.011	0.002	2.419	0.194	0.045	0.001	13.144	
0:0:9.165	0.011	0.002	2.342	0.194	0.045	0.002	6.701	
0:0:9.315	0.011	0.002	2.402	0.194	0.048	0.002	6.114	
0:0:9.443	0.010	0.002	2.112	0.194	0.039	0.004	2.409	
0:0:9.585	0.010	0.002	2.021	0.193	0.036	0.005	1.842	
0:0:9.670	0.010	0.002	2.137	0.193	0.039	0.005	1.901	
0:0:9.777	0.011	0.002	2.226	0.193	0.041	0.005	2.080	
0:0:9.870	0.010	0.002	2.127	0.192	0.037	0.005	1.940	
0:0:9.957	0.011	0.002	2.339	0.192	0.043	0.006	2.211	
0:0:10.032	0.012	0.002	2.337	0.191	0.043	0.005	2.203	
0:0:10.112	0.011	0.002	2.262	0.190	0.039	0.006	2.161	
0:0:10.206	0.012	0.002	2.263	0.187	0.040	0.005	2.191	
0:0:10.325	0.012	0.002	2.255	0.187	0.040	0.005	2.163	
0:0:10.402	0.011	0.002	2.245	0.191	0.041	0.006	2.056	
0:0:10.477	0.011	0.002	2.271	0.191	0.041	0.006	2.069	
0:0:10.550	0.011	0.002	2.248	0.193	0.041	0.006	2.008	
0:0:10.616	0.011	0.002	2.255	0.193	0.041	0.006	2.015	
0:0:10.685	0.010	0.002	2.200	0.193	0.039	0.006	1.918	
0:0:10.761	0.010	0.002	2.184	0.193	0.038	0.006	1.887	
0:0:10.840	0.010	0.002	2.138	0.193	0.037	0.006	1.800	
0:0:10.906	0.009	0.003	1.962	0.194	0.031	0.006	1.584	
0:0:10.985	0.009	0.003	1.815	0.194	0.027	0.006	1.419	
0:0:11.058	0.008	0.003	1.740	0.194	0.025	0.006	1.338	
0:0:11.164	0.007	0.004	1.506	0.194	0.020	0.006	1.096	
0:0:11.242	0.007	0.004	1.387	0.194	0.017	0.006	0.974	
0:0:11.313	0.007	0.004	1.314	0.194	0.016	0.006	0.906	
0:0:11.433	0.006	0.005	1.175	0.194	0.013	0.006	0.766	
0:0:11.509	0.005	0.006	0.999	0.194	0.010	0.006	0.610	
0:0:11.580	0.005	0.007	0.921	0.194	0.009	0.006	0.543	
0:0:11.648	0.004	0.008	0.845	0.194	0.007	0.006	0.476	
0:0:11.728	0.004	0.010	0.749	0.194	0.006	0.006	0.400	
0:0:11.798	0.004	0.012	0.702	0.194	0.005	0.006	0.356	
0:0:11.869	0.004	0.013	0.697	0.194	0.005	0.006	0.332	
0:0:11.932	0.003	0.014	0.679	0.194	0.005	0.006	0.305	
0:0:12.001	0.003	0.015	0.689	0.194	0.004	0.006	0.294	
0:0:12.071	0.003	0.017	0.703	0.194	0.004	0.005	0.270	
0:0:12.139	0.003	0.018	0.679	0.194	0.004	0.005	0.262	
0:0:12.214	0.003	0.019	0.685	0.194	0.004	0.005	0.248	
