date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:3.563	0.003	0.014	0.563	0.220	0.004	0.008	0.291	
0:0:5.072	0.003	0.018	0.548	0.197	0.004	0.005	0.259	
0:0:5.670	0.003	0.018	0.544	0.196	0.004	0.005	0.254	
0:0:6.233	0.003	0.015	0.626	0.196	0.004	0.005	0.293	
0:0:6.666	0.004	0.013	0.657	0.196	0.005	0.005	0.333	
0:0:6.944	0.004	0.012	0.638	0.192	0.005	0.006	0.342	
0:0:7.128	0.004	0.013	0.611	0.193	0.005	0.005	0.318	
0:0:7.241	0.004	0.012	0.645	0.188	0.005	0.005	0.351	
0:0:7.321	0.004	0.014	0.598	0.193	0.005	0.005	0.304	
0:0:7.490	0.003	0.017	0.544	0.195	0.004	0.005	0.263	
0:0:7.646	0.003	0.017	0.563	0.195	0.004	0.005	0.269	
0:0:7.814	0.003	0.017	0.573	0.197	0.004	0.005	0.265	
0:0:7.896	0.003	0.016	0.579	0.198	0.004	0.006	0.275	
0:0:8.047	0.003	0.011	0.651	0.204	0.004	0.014	0.338	
0:0:8.135	0.003	0.012	0.745	0.230	0.004	0.010	0.350	
0:0:8.214	0.003	0.013	0.626	0.226	0.004	0.009	0.339	
0:0:8.360	0.003	0.022	0.476	0.201	0.003	0.005	0.259	
0:0:8.432	0.003	0.024	0.444	0.196	0.003	0.005	0.227	
0:0:8.525	0.003	0.024	0.436	0.194	0.003	0.005	0.212	
0:0:8.599	0.003	0.024	0.433	0.194	0.003	0.005	0.222	
0:0:8.741	0.003	0.023	0.430	0.194	0.003	0.005	0.238	
0:0:8.816	0.003	0.023	0.429	0.194	0.003	0.005	0.229	
0:0:8.882	0.003	0.024	0.429	0.194	0.003	0.005	0.230	
0:0:8.961	0.003	0.025	0.428	0.194	0.003	0.005	0.217	
0:0:9.051	0.003	0.024	0.429	0.194	0.003	0.005	0.230	
0:0:9.199	0.003	0.025	0.428	0.194	0.003	0.005	0.219	
0:0:9.273	0.003	0.025	0.428	0.194	0.003	0.005	0.223	
0:0:9.343	0.003	0.025	0.428	0.194	0.003	0.005	0.222	
0:0:9.512	0.002	0.021	0.431	0.194	0.002	0.004	0.294	
0:0:9.593	0.002	0.020	0.436	0.194	0.002	0.004	0.313	
0:0:9.699	0.003	0.022	0.440	0.194	0.003	0.005	0.246	
0:0:9.844	0.003	0.022	0.461	0.194	0.003	0.005	0.225	
0:0:9.920	0.003	0.021	0.470	0.194	0.003	0.005	0.228	
0:0:10.014	0.003	0.022	0.463	0.195	0.003	0.006	0.214	
0:0:10.082	0.003	0.017	0.448	0.202	0.004	0.006	0.183	
0:0:10.146	0.001	0.255	0.444	0.454	0.098	0.021	0.014	
0:0:10.228	0.001	6.446	0.437	1.042	3.872	0.091	0.002	
0:0:11.385	0.003	0.025	0.453	0.195	0.003	0.006	0.199	
0:0:11.574	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:12.469	0.001	3.968	0.440	0.697	0.758	0.046	0.004	
0:0:12.606	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:12.697	0.002	0.014	0.460	0.192	0.002	0.003	0.682	
0:0:12.788	0.002	0.016	0.449	0.188	0.002	0.003	0.502	
0:0:13.528	0.001	1.537	0.450	0.557	0.285	0.030	0.008	
0:0:14.036	0.001	0.719	0.572	0.474	0.144	0.023	0.014	
0:0:14.551	0.001	1.805	0.557	0.578	0.333	0.033	0.007	
0:0:15.079	0.003	0.024	0.429	0.194	0.003	0.006	0.203	
0:0:15.199	0.003	0.024	0.428	0.194	0.003	0.006	0.204	
0:0:15.269	0.003	0.024	0.428	0.194	0.003	0.005	0.204	
0:0:15.336	0.003	0.025	0.427	0.194	0.003	0.005	0.203	
0:0:15.412	0.003	0.024	0.428	0.194	0.003	0.005	0.206	
0:0:15.485	0.003	0.024	0.427	0.194	0.003	0.005	0.208	
0:0:15.555	0.003	0.024	0.427	0.194	0.003	0.005	0.211	
0:0:15.623	0.003	0.024	0.427	0.194	0.003	0.005	0.219	
0:0:15.771	0.003	0.024	0.429	0.194	0.003	0.005	0.209	
0:0:15.891	0.003	0.023	0.431	0.194	0.003	0.005	0.221	
0:0:15.956	0.003	0.022	0.435	0.194	0.003	0.005	0.247	
0:0:16.807	0.001	2.983	5.140	0.663	1.957	0.045	0.005	
0:0:17.826	0.003	0.025	0.516	0.194	0.003	0.006	0.193	
0:0:17.945	0.003	0.025	0.495	0.194	0.003	0.006	0.196	
0:0:18.010	0.003	0.025	0.473	0.194	0.003	0.005	0.197	
0:0:18.077	0.003	0.025	0.477	0.195	0.003	0.005	0.196	
0:0:18.152	0.003	0.025	0.480	0.195	0.003	0.005	0.196	
0:0:18.251	0.003	0.026	0.476	0.196	0.003	0.006	0.191	
0:0:18.347	0.003	0.025	0.466	0.195	0.003	0.005	0.199	
0:0:18.470	0.003	0.026	0.483	0.197	0.003	0.006	0.189	
0:0:18.992	2.923	0.003	0.024	0.007	0.001	0.001	0.087	
0:0:19.116	93.455	0.001	0.004	0.001	0.001	0.001	0.132	
0:0:24.427	0.003	0.035	0.427	0.195	0.003	0.006	0.224	
0:0:24.556	0.003	0.027	0.427	0.194	0.003	0.005	0.205	
0:0:24.630	0.003	0.026	0.428	0.195	0.003	0.005	0.201	
0:0:24.718	0.003	0.026	0.428	0.195	0.003	0.005	0.198	
0:0:24.792	0.003	0.026	0.430	0.194	0.003	0.005	0.198	
0:0:24.908	0.003	0.026	0.430	0.195	0.003	0.005	0.197	
0:0:24.996	0.003	0.025	0.430	0.195	0.003	0.005	0.196	
0:0:25.178	0.003	0.026	0.429	0.195	0.003	0.006	0.194	
0:0:25.331	0.003	0.026	0.429	0.195	0.003	0.006	0.193	
0:0:25.411	0.003	0.026	0.429	0.195	0.003	0.006	0.192	
0:0:25.694	0.003	0.026	0.429	0.195	0.003	0.006	0.192	
0:0:25.831	0.003	0.026	0.429	0.195	0.003	0.005	0.195	
0:0:25.900	0.003	0.028	0.429	0.199	0.003	0.006	0.182	
0:0:26.201	0.002	0.037	0.442	0.213	0.004	0.006	0.152	
0:0:26.333	0.003	0.029	0.460	0.188	0.005	0.005	0.193	
0:0:26.725	0.003	0.023	2.728	0.188	0.007	0.006	0.199	
0:0:26.841	0.003	0.035	9.044	0.204	0.015	0.008	0.142	
0:0:26.903	0.006	0.012	7.993	0.134	0.004	0.005	0.354	
0:0:27.237	0.006	0.009	12.701	0.163	0.005	0.005	0.633	
0:0:27.351	0.005	0.007	16.709	0.186	0.010	0.005	0.800	
0:0:27.419	0.005	0.009	14.518	0.187	0.008	0.005	0.592	
0:0:27.753	0.003	0.020	3.052	0.202	0.003	0.005	0.365	
0:0:27.867	0.003	0.016	0.739	0.196	0.004	0.005	0.312	
0:0:28.261	0.003	0.020	0.502	0.195	0.004	0.005	0.248	
0:0:28.382	0.003	0.024	0.443	0.200	0.003	0.006	0.226	
0:0:28.800	0.003	0.015	0.237	0.188	0.007	0.005	0.258	
0:0:28.914	0.003	0.023	0.594	0.353	0.005	0.006	0.209	
0:0:29.343	0.001	0.384	0.798	0.556	0.068	0.017	0.023	
0:0:29.480	0.001	1.075	0.830	0.523	0.215	0.024	0.011	
0:0:29.570	0.001	2.227	0.534	0.617	0.415	0.030	0.007	
0:0:29.642	0.001	0.222	0.538	0.345	0.032	0.013	0.036	
0:0:29.726	0.001	0.242	0.608	0.358	0.040	0.014	0.033	
0:0:29.796	0.001	0.252	0.690	0.380	0.059	0.015	0.028	
0:0:29.861	0.002	0.041	0.567	0.239	0.009	0.007	0.127	
0:0:29.949	0.002	0.036	0.595	0.241	0.011	0.007	0.148	
0:0:30.022	0.002	0.027	0.708	0.241	0.014	0.007	0.195	
0:0:30.094	0.004	0.010	1.119	0.224	0.022	0.005	0.488	
0:0:30.168	0.004	0.006	2.000	0.247	0.086	0.005	0.866	
0:0:30.233	0.006	0.004	2.825	0.239	0.117	0.003	1.874	
0:0:30.297	0.007	0.003	3.051	0.223	0.094	0.002	3.002	
0:0:30.364	0.006	0.003	3.110	0.243	0.139	0.003	2.283	
0:0:30.429	0.007	0.003	2.970	0.231	0.109	0.003	2.413	
0:0:30.503	0.008	0.002	2.966	0.214	0.079	0.003	2.854	
0:0:30.570	0.009	0.002	2.740	0.204	0.059	0.003	2.700	
0:0:30.635	0.011	0.002	2.847	0.197	0.052	0.003	2.934	
0:0:30.701	0.011	0.002	2.673	0.194	0.048	0.003	3.374	
0:0:30.765	0.011	0.002	2.583	0.194	0.046	0.003	3.793	
0:0:30.871	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:30.957	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:32.184	0.003	0.001	32.422	0.194	0.004	0.004	76.397	
0:0:32.326	0.004	0.001	19.824	0.194	0.006	0.001	66.267	
0:0:32.396	0.004	0.001	22.936	0.194	0.008	0.001	55.342	
0:0:32.476	0.005	0.001	24.153	0.194	0.009	0.001	50.476	
0:0:32.547	0.006	0.001	27.877	0.194	0.016	0.001	36.106	
0:0:32.612	0.007	0.002	26.180	0.194	0.021	0.001	30.127	
0:0:32.676	0.008	0.002	24.887	0.194	0.027	0.001	25.605	
0:0:32.741	0.009	0.002	21.972	0.194	0.034	0.001	21.535	
0:0:32.807	0.009	0.002	19.494	0.194	0.033	0.001	21.878	
0:0:32.883	0.010	0.002	22.044	0.194	0.041	0.001	18.593	
0:0:32.953	0.011	0.002	30.909	0.194	0.048	0.001	16.845	
0:0:33.022	0.012	0.002	34.974	0.194	0.051	0.001	16.045	
0:0:33.104	0.012	0.002	36.053	0.194	0.051	0.001	16.141	
0:0:33.169	0.012	0.002	40.293	0.194	0.052	0.001	15.958	
0:0:33.234	0.011	0.002	39.848	0.194	0.051	0.001	16.158	
0:0:33.305	0.011	0.002	44.189	0.194	0.050	0.001	16.535	
0:0:33.391	0.011	0.002	50.867	0.194	0.045	0.001	17.820	
0:0:33.490	0.009	0.002	58.681	0.194	0.033	0.001	22.407	
0:0:33.560	0.007	0.002	61.752	0.194	0.023	0.001	28.954	
0:0:33.632	0.008	0.002	65.527	0.194	0.025	0.001	27.603	
0:0:33.708	0.008	0.002	66.284	0.194	0.030	0.001	24.784	
0:0:33.786	0.009	0.002	68.068	0.194	0.034	0.001	22.395	
0:0:33.854	0.010	0.002	69.743	0.194	0.040	0.001	19.591	
0:0:33.918	0.011	0.002	69.120	0.194	0.046	0.001	17.449	
0:0:33.984	0.011	0.002	69.822	0.194	0.048	0.001	16.634	
0:0:34.050	0.012	0.002	72.960	0.194	0.053	0.001	15.677	
0:0:34.143	0.012	0.002	74.032	0.194	0.055	0.001	15.224	
0:0:34.217	0.012	0.002	75.110	0.194	0.055	0.001	15.224	
0:0:34.291	0.012	0.002	73.347	0.195	0.055	0.001	15.291	
0:0:34.366	0.012	0.002	71.895	0.196	0.054	0.001	15.343	
0:0:34.438	0.012	0.002	70.982	0.198	0.054	0.001	15.339	
0:0:34.510	0.012	0.002	67.093	0.198	0.054	0.001	15.323	
0:0:34.582	0.012	0.002	65.196	0.197	0.055	0.001	15.227	
0:0:34.648	0.012	0.002	60.241	0.196	0.055	0.001	15.218	
0:0:34.715	0.012	0.002	58.505	0.196	0.054	0.001	15.225	
0:0:34.779	0.012	0.002	57.400	0.196	0.054	0.001	15.344	
0:0:34.850	0.012	0.002	58.241	0.196	0.054	0.001	15.240	
0:0:34.923	0.012	0.002	60.560	0.195	0.055	0.001	15.104	
0:0:34.997	0.012	0.002	61.300	0.195	0.056	0.001	15.004	
0:0:35.071	0.012	0.002	60.181	0.195	0.056	0.001	15.001	
0:0:35.146	0.012	0.002	60.797	0.195	0.056	0.001	14.966	
0:0:35.233	0.012	0.002	59.799	0.195	0.056	0.001	14.916	
0:0:35.325	0.012	0.002	60.269	0.195	0.056	0.001	14.889	
0:0:35.401	0.012	0.002	59.694	0.195	0.056	0.001	14.895	
0:0:35.472	0.012	0.002	59.512	0.195	0.056	0.001	14.978	
0:0:35.539	0.012	0.002	61.780	0.195	0.055	0.001	15.122	
0:0:35.605	0.012	0.002	57.902	0.195	0.055	0.001	15.159	
0:0:35.671	0.012	0.002	56.770	0.195	0.054	0.001	15.226	
0:0:35.734	0.012	0.002	54.749	0.195	0.054	0.001	15.383	
0:0:35.797	0.012	0.002	52.477	0.195	0.053	0.001	15.460	
0:0:35.861	0.012	0.002	47.153	0.195	0.052	0.001	15.695	
0:0:35.930	0.011	0.002	38.445	0.195	0.048	0.001	16.706	
0:0:36.009	0.010	0.002	31.005	0.194	0.042	0.001	18.522	
0:0:36.088	0.010	0.002	26.986	0.195	0.036	0.001	20.844	
0:0:36.163	0.008	0.002	23.538	0.194	0.025	0.001	26.467	
0:0:36.238	0.006	0.002	22.020	0.194	0.012	0.001	41.767	
0:0:36.314	0.003	0.001	20.221	0.194	0.005	0.001	66.074	
0:0:36.389	0.003	0.001	18.067	0.194	0.003	0.001	79.429	
0:0:36.458	0.002	0.001	16.272	0.194	0.002	0.001	83.081	
0:0:36.545	0.003	0.001	8.645	0.194	0.004	0.001	72.015	
0:0:36.613	0.003	0.001	5.236	0.194	0.005	0.001	64.986	
0:0:36.682	0.005	0.001	4.062	0.194	0.009	0.001	46.650	
0:0:36.746	0.008	0.002	3.349	0.194	0.026	0.001	23.771	
0:0:36.813	0.010	0.002	3.123	0.194	0.036	0.001	17.958	
0:0:36.923	0.012	0.002	2.963	0.196	0.052	0.001	12.537	
0:0:36.998	0.012	0.002	2.899	0.203	0.055	0.001	11.206	
0:0:37.063	0.012	0.002	2.811	0.234	0.055	0.001	9.892	
0:0:37.135	0.013	0.002	2.710	0.393	0.056	0.002	7.741	
0:0:37.207	0.012	0.002	2.670	1.963	0.060	0.002	5.953	
0:0:37.276	0.011	0.002	2.670	34.763	0.062	0.002	4.540	
0:0:37.339	0.012	0.002	2.680	92.432	0.061	0.003	3.833	
0:0:37.403	0.011	0.002	2.671	97.948	0.063	0.003	3.540	
0:0:37.474	0.011	0.002	2.646	98.638	0.064	0.003	3.056	
0:0:37.545	0.011	0.002	2.653	98.689	0.067	0.004	2.735	
0:0:37.624	0.010	0.002	2.652	98.779	0.072	0.005	2.320	
0:0:37.709	0.009	0.002	2.687	98.831	0.086	0.005	1.932	
0:0:37.808	0.009	0.002	2.742	98.841	0.087	0.006	1.857	
0:0:37.896	0.009	0.002	2.737	98.865	0.091	0.006	1.730	
0:0:37.979	0.008	0.002	2.702	98.882	0.096	0.006	1.554	
0:0:38.059	0.008	0.003	2.636	98.893	0.087	0.006	1.453	
0:0:38.137	0.007	0.003	2.097	98.862	0.047	0.006	1.112	
0:0:38.203	0.007	0.004	1.846	98.834	0.034	0.006	1.023	
0:0:38.279	0.004	0.008	1.094	98.823	0.011	0.006	0.463	
0:0:38.343	0.004	0.012	0.817	98.809	0.007	0.006	0.333	
0:0:38.407	0.003	0.015	0.725	98.797	0.005	0.006	0.285	
0:0:38.472	0.003	0.016	0.704	98.797	0.005	0.006	0.279	
0:0:38.540	0.003	0.018	0.656	98.794	0.005	0.006	0.252	
0:0:38.615	0.003	0.020	0.594	98.789	0.004	0.006	0.228	
0:0:38.690	0.003	0.022	0.558	98.797	0.004	0.006	0.211	
0:0:38.760	0.003	0.024	0.519	98.809	0.004	0.007	0.196	
0:0:38.833	0.003	0.025	0.490	98.808	0.004	0.007	0.189	
0:0:38.906	0.003	0.026	0.479	98.809	0.004	0.007	0.187	
0:0:38.967	0.003	0.028	0.475	98.833	0.004	0.007	0.175	
0:0:39.065	0.003	0.029	0.468	98.841	0.004	0.008	0.170	
0:0:39.157	0.002	0.029	0.466	98.844	0.004	0.008	0.167	
0:0:39.240	0.003	0.027	0.463	98.822	0.004	0.008	0.177	
0:0:39.328	0.003	0.028	0.457	98.822	0.004	0.008	0.176	
0:0:39.411	0.003	0.028	0.449	98.811	0.004	0.008	0.172	
0:0:39.484	0.003	0.026	0.447	98.779	0.004	0.008	0.182	
0:0:39.547	0.003	0.027	0.446	98.795	0.004	0.008	0.178	
0:0:39.610	0.003	0.028	0.447	98.804	0.004	0.009	0.176	
0:0:39.673	0.003	0.029	0.449	98.822	0.004	0.008	0.171	
0:0:39.738	0.003	0.029	0.447	98.822	0.004	0.009	0.171	
0:0:39.802	0.003	0.028	0.446	98.813	0.004	0.009	0.174	
0:0:39.862	0.003	0.028	0.447	98.808	0.004	0.009	0.176	
0:0:39.928	0.003	0.029	0.446	98.817	0.004	0.009	0.172	
0:0:39.989	0.003	0.027	0.447	98.802	0.004	0.009	0.180	
0:0:40.050	0.003	0.027	0.449	98.792	0.004	0.009	0.183	
0:0:40.111	0.003	0.027	0.448	98.792	0.004	0.009	0.181	
0:0:40.172	0.003	0.026	0.454	98.778	0.004	0.010	0.186	
0:0:40.273	0.003	0.024	0.457	98.747	0.004	0.010	0.192	
0:0:40.376	0.003	0.025	0.460	98.759	0.004	0.010	0.186	
0:0:40.468	0.003	0.024	0.460	98.722	0.004	0.010	0.190	
0:0:40.568	0.003	0.027	0.468	98.782	0.004	0.010	0.175	
0:0:40.646	0.003	0.026	0.469	98.779	0.004	0.010	0.182	
0:0:40.714	0.003	0.028	0.470	98.827	0.004	0.010	0.172	
0:0:40.778	0.003	0.027	0.475	98.824	0.004	0.010	0.181	
0:0:40.846	0.003	0.026	0.474	98.811	0.004	0.009	0.187	
0:0:40.913	0.003	0.025	0.477	98.809	0.004	0.009	0.190	
0:0:40.982	0.003	0.024	0.484	98.806	0.004	0.009	0.195	
0:0:41.044	0.003	0.024	0.483	98.792	0.004	0.009	0.199	
0:0:41.108	0.003	0.023	0.483	98.783	0.004	0.008	0.202	
0:0:41.167	0.003	0.023	0.484	98.780	0.004	0.008	0.201	
0:0:41.230	0.003	0.024	0.467	98.772	0.004	0.008	0.194	
0:0:41.290	0.003	0.024	0.458	98.740	0.004	0.007	0.193	
