date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:5.938	0.003	0.022	14.719	0.172	0.003	0.005	0.197	
0:0:6.770	0.002	0.048	1.440	0.230	0.005	0.007	0.115	
0:0:7.134	0.002	0.061	0.437	0.243	0.007	0.008	0.094	
0:0:7.319	0.001	8.582	0.583	0.854	1.528	0.064	0.003	
0:0:7.438	0.001	1.317	96.419	0.526	0.174	0.027	0.009	
0:0:7.537	0.001	0.313	99.641	0.366	0.035	0.015	0.026	
0:0:7.764	0.001	4.286	44.387	0.710	0.655	0.046	0.004	
0:0:7.892	0.001	3.286	22.448	0.654	0.448	0.038	0.005	
0:0:8.024	0.001	12.481	6.189	0.932	2.109	0.070	0.002	
0:0:8.142	0.001	3.460	8.101	0.633	0.358	0.030	0.006	
0:0:8.255	0.001	0.507	5.002	0.409	0.052	0.016	0.020	
0:0:8.360	0.002	0.048	1.795	0.231	0.005	0.006	0.132	
0:0:8.448	0.002	0.030	0.566	0.205	0.003	0.006	0.184	
0:0:8.622	0.003	0.025	0.454	0.198	0.003	0.005	0.209	
0:0:8.740	0.003	0.028	0.448	0.200	0.003	0.006	0.182	
0:0:8.866	0.003	0.028	0.440	0.200	0.003	0.006	0.177	
0:0:8.960	0.003	0.029	0.440	0.203	0.003	0.006	0.171	
0:0:9.048	0.003	0.028	0.440	0.200	0.003	0.006	0.180	
0:0:9.126	0.002	0.045	0.443	0.226	0.005	0.007	0.121	
0:0:9.205	0.002	0.045	0.447	0.225	0.005	0.007	0.124	
0:0:9.288	0.002	0.045	0.441	0.226	0.005	0.007	0.123	
0:0:9.370	0.002	0.040	0.440	0.219	0.005	0.006	0.136	
0:0:9.446	0.002	0.034	0.436	0.210	0.004	0.006	0.156	
0:0:9.535	0.002	0.041	0.437	0.221	0.005	0.006	0.139	
0:0:9.626	0.002	0.048	0.436	0.229	0.005	0.006	0.124	
0:0:9.730	0.002	0.033	0.437	0.209	0.004	0.006	0.167	
0:0:9.829	0.002	0.032	0.435	0.207	0.004	0.005	0.176	
0:0:9.940	0.002	0.032	0.435	0.208	0.004	0.005	0.173	
0:0:10.072	0.002	0.033	0.434	0.210	0.004	0.005	0.175	
0:0:10.185	0.002	0.031	0.436	0.208	0.004	0.005	0.185	
0:0:10.317	0.003	0.027	0.438	0.199	0.003	0.005	0.205	
0:0:10.461	0.003	0.026	0.438	0.199	0.003	0.005	0.208	
0:0:10.619	0.003	0.024	0.438	0.194	0.003	0.005	0.250	
0:0:10.757	0.003	0.024	0.441	0.195	0.002	0.005	0.269	
0:0:10.869	0.002	0.019	0.448	0.195	0.002	0.004	0.387	
0:0:11.008	0.002	0.019	0.442	0.195	0.002	0.004	0.387	
0:0:11.152	0.002	0.020	0.441	0.195	0.002	0.004	0.341	
0:0:11.253	0.002	0.021	0.443	0.194	0.002	0.005	0.280	
0:0:11.345	0.002	0.020	0.445	0.194	0.002	0.004	0.323	
0:0:11.453	0.003	0.023	0.445	0.195	0.003	0.005	0.264	
0:0:11.554	0.003	0.025	0.442	0.195	0.003	0.005	0.235	
0:0:11.687	0.003	0.024	0.437	0.195	0.003	0.005	0.231	
0:0:11.812	0.003	0.025	0.437	0.196	0.003	0.005	0.218	
0:0:11.955	0.003	0.025	0.436	0.195	0.003	0.005	0.204	
0:0:12.074	0.003	0.024	0.436	0.194	0.003	0.005	0.210	
0:0:12.207	0.003	0.025	0.437	0.194	0.003	0.005	0.206	
