date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:4.333	0.004	0.021	0.375	0.168	0.003	0.005	0.201	
0:0:5.652	0.004	0.017	0.458	0.172	0.003	0.005	0.244	
0:0:6.325	0.021	0.003	0.735	0.107	0.009	0.003	0.912	
0:0:6.889	8.109	0.001	0.249	0.010	0.004	0.001	8.110	
0:0:7.251	83.104	0.001	0.032	0.002	0.002	0.001	3.904	
0:0:7.468	99.688	0.001	0.002	0.001	0.001	0.001	3.729	
0:0:7.546	99.804	0.001	0.002	0.001	0.001	0.001	2.223	
0:0:7.678	99.705	0.001	0.002	0.001	0.001	0.001	2.054	
0:0:7.752	99.581	0.001	0.002	0.001	0.001	0.001	1.690	
0:0:7.909	99.330	0.001	0.003	0.001	0.001	0.001	1.253	
0:0:7.997	98.162	0.001	0.005	0.001	0.001	0.001	0.864	
0:0:8.154	83.068	0.001	0.024	0.002	0.001	0.001	0.921	
0:0:8.228	77.786	0.001	0.049	0.002	0.001	0.001	0.994	
0:0:8.302	53.888	0.001	0.053	0.003	0.001	0.001	0.950	
0:0:8.419	23.636	0.001	0.083	0.005	0.001	0.001	0.942	
0:0:8.496	16.022	0.001	0.113	0.006	0.002	0.001	0.967	
0:0:8.578	5.232	0.001	0.228	0.009	0.002	0.001	0.936	
0:0:8.719	4.144	0.001	0.215	0.011	0.002	0.001	1.024	
0:0:8.793	2.009	0.001	0.305	0.015	0.003	0.001	1.157	
0:0:8.884	0.679	0.001	0.438	0.024	0.004	0.002	1.194	
0:0:8.947	0.570	0.001	0.524	0.026	0.005	0.002	1.194	
0:0:9.004	0.684	0.001	0.650	0.025	0.005	0.002	1.313	
0:0:9.079	0.204	0.001	0.989	0.043	0.007	0.002	1.290	
0:0:9.133	0.116	0.002	1.029	0.054	0.008	0.002	1.210	
0:0:9.187	0.072	0.002	0.977	0.067	0.009	0.003	1.218	
0:0:9.250	0.056	0.002	0.954	0.076	0.011	0.003	1.250	
0:0:9.306	0.035	0.002	1.064	0.093	0.013	0.003	1.227	
0:0:9.368	0.037	0.002	0.985	0.091	0.012	0.003	1.210	
0:0:9.542	0.029	0.002	1.342	0.103	0.014	0.004	1.297	
0:0:9.602	0.031	0.002	3.050	0.099	0.013	0.003	1.234	
0:0:9.667	0.027	0.002	2.542	0.104	0.013	0.004	1.161	
0:0:9.743	0.037	0.002	2.246	0.089	0.011	0.003	1.139	
0:0:9.869	0.031	0.002	2.346	0.095	0.011	0.003	1.065	
0:0:9.925	0.027	0.003	3.096	0.099	0.010	0.003	0.988	
0:0:9.984	0.018	0.003	3.794	0.116	0.011	0.004	0.932	
0:0:10.062	0.014	0.003	4.073	0.132	0.012	0.004	0.938	
0:0:10.118	0.012	0.003	3.150	0.141	0.013	0.004	0.920	
0:0:10.180	0.011	0.003	2.095	0.149	0.014	0.005	0.921	
0:0:10.239	0.010	0.004	1.621	0.154	0.013	0.005	0.857	
0:0:10.294	0.007	0.005	1.285	0.166	0.010	0.005	0.680	
0:0:10.359	0.005	0.008	0.887	0.172	0.007	0.005	0.462	
0:0:10.416	0.004	0.011	0.680	0.178	0.005	0.005	0.346	
0:0:10.474	0.004	0.013	0.593	0.185	0.004	0.005	0.296	
0:0:10.533	0.003	0.015	0.548	0.187	0.004	0.005	0.270	
0:0:10.608	0.003	0.019	0.480	0.189	0.003	0.005	0.230	
0:0:10.667	0.003	0.021	0.462	0.189	0.003	0.005	0.220	
0:0:10.727	0.003	0.022	0.442	0.188	0.003	0.005	0.210	
0:0:10.780	0.003	0.023	0.438	0.190	0.003	0.005	0.206	
0:0:10.837	0.003	0.023	0.438	0.191	0.003	0.005	0.205	
0:0:10.891	0.003	0.024	0.436	0.192	0.003	0.005	0.202	
0:0:10.948	0.003	0.024	0.433	0.193	0.003	0.006	0.200	
0:0:11.053	0.003	0.024	0.431	0.193	0.003	0.006	0.198	
0:0:11.106	0.003	0.025	0.429	0.193	0.003	0.006	0.196	
0:0:11.162	0.003	0.025	0.428	0.193	0.003	0.006	0.195	
0:0:11.223	0.003	0.025	0.428	0.194	0.003	0.006	0.193	
0:0:11.277	0.003	0.026	0.428	0.196	0.003	0.006	0.187	
0:0:11.329	0.003	0.029	0.427	0.202	0.003	0.006	0.170	
0:0:11.384	0.002	0.036	0.428	0.212	0.004	0.006	0.145	
0:0:11.437	0.002	0.037	0.428	0.214	0.004	0.006	0.141	
0:0:11.508	0.002	0.037	0.427	0.214	0.004	0.006	0.141	
0:0:11.567	0.002	0.034	0.428	0.210	0.004	0.006	0.151	
0:0:11.619	0.002	0.032	0.429	0.206	0.004	0.006	0.159	
0:0:11.675	0.003	0.030	0.430	0.203	0.004	0.006	0.166	
0:0:11.760	0.003	0.029	0.431	0.202	0.003	0.006	0.170	
0:0:11.862	0.003	0.029	0.433	0.201	0.003	0.006	0.171	
0:0:11.924	0.003	0.030	0.434	0.203	0.004	0.006	0.166	
0:0:11.983	0.002	0.031	0.436	0.205	0.004	0.006	0.160	
0:0:12.054	0.002	0.031	0.436	0.205	0.004	0.006	0.161	
0:0:12.109	0.002	0.033	0.432	0.209	0.004	0.006	0.152	
0:0:12.165	0.002	0.037	0.431	0.214	0.004	0.006	0.140	
0:0:12.225	0.002	0.044	0.428	0.225	0.005	0.007	0.120	
0:0:12.281	0.002	0.065	0.428	0.248	0.007	0.008	0.087	
0:0:12.334	0.002	0.078	0.433	0.260	0.009	0.009	0.076	
0:0:12.389	0.001	0.116	0.438	0.288	0.013	0.010	0.055	
0:0:12.443	0.001	0.194	0.443	0.328	0.023	0.013	0.037	
0:0:12.503	0.001	0.319	0.446	0.371	0.040	0.015	0.025	
0:0:12.560	0.001	0.429	0.450	0.400	0.055	0.018	0.020	
0:0:12.619	0.001	0.646	0.458	0.445	0.088	0.021	0.014	
0:0:12.693	0.001	0.816	0.474	0.471	0.114	0.023	0.012	
0:0:12.771	0.001	0.861	0.479	0.479	0.122	0.024	0.012	
0:0:12.854	0.001	0.502	0.480	0.417	0.065	0.019	0.018	
0:0:12.924	0.001	0.443	0.495	0.405	0.058	0.018	0.019	
0:0:12.977	0.001	0.524	0.511	0.422	0.070	0.019	0.017	
0:0:13.029	0.001	0.371	0.526	0.387	0.048	0.017	0.022	
0:0:13.085	0.001	0.663	0.558	0.447	0.090	0.021	0.014	
0:0:13.139	0.001	0.669	0.584	0.447	0.091	0.021	0.014	
0:0:13.199	0.001	0.911	0.587	0.483	0.128	0.024	0.011	
0:0:13.251	0.001	0.932	0.580	0.486	0.131	0.024	0.011	
0:0:13.307	0.001	1.445	0.562	0.543	0.217	0.030	0.008	
0:0:13.361	0.001	1.508	0.554	0.549	0.230	0.030	0.008	
0:0:13.416	0.001	1.658	0.557	0.563	0.255	0.031	0.007	
0:0:13.471	0.001	1.418	0.556	0.541	0.211	0.029	0.008	
0:0:13.529	0.001	1.686	0.562	0.565	0.256	0.032	0.007	
0:0:13.581	0.001	2.407	0.571	0.617	0.378	0.037	0.006	
0:0:13.632	0.001	2.281	0.581	0.608	0.353	0.036	0.006	
0:0:13.697	0.001	2.183	0.588	0.600	0.333	0.035	0.006	
0:0:13.769	0.001	1.450	0.581	0.541	0.210	0.029	0.008	
0:0:13.847	0.001	0.999	0.596	0.493	0.139	0.025	0.011	
0:0:13.900	0.001	0.802	0.609	0.467	0.110	0.023	0.013	
0:0:13.956	0.001	0.699	0.607	0.452	0.096	0.022	0.014	
0:0:14.011	0.001	1.028	0.609	0.497	0.149	0.025	0.010	
0:0:14.063	0.001	0.692	0.617	0.451	0.097	0.021	0.014	
0:0:14.118	0.001	0.669	0.631	0.449	0.098	0.021	0.014	
0:0:14.193	0.001	0.504	0.610	0.422	0.076	0.019	0.018	
0:0:14.254	0.001	0.438	0.657	0.413	0.073	0.018	0.020	
0:0:14.310	0.001	0.591	0.723	0.452	0.118	0.021	0.016	
0:0:14.363	0.001	0.517	0.835	0.449	0.129	0.020	0.018	
0:0:14.416	0.001	0.618	0.888	0.475	0.175	0.022	0.016	
0:0:14.469	0.001	0.529	0.995	0.469	0.185	0.021	0.018	
0:0:14.525	0.001	0.361	1.080	0.437	0.147	0.018	0.024	
0:0:14.578	0.001	0.173	1.155	0.381	0.095	0.014	0.043	
0:0:14.633	0.002	0.062	1.423	0.325	0.070	0.010	0.104	
0:0:14.691	0.002	0.031	1.466	0.284	0.044	0.007	0.183	
0:0:14.747	0.002	0.017	1.630	0.268	0.050	0.006	0.320	
0:0:14.808	0.003	0.011	1.782	0.251	0.046	0.005	0.502	
0:0:14.874	0.005	0.006	1.932	0.223	0.034	0.004	0.963	
0:0:14.934	0.005	0.005	1.963	0.218	0.036	0.003	1.216	
0:0:14.987	0.006	0.004	1.943	0.210	0.033	0.003	1.589	
0:0:15.040	0.007	0.003	1.898	0.202	0.030	0.003	2.017	
0:0:15.106	0.007	0.003	1.828	0.201	0.029	0.003	2.080	
0:0:15.164	0.007	0.004	1.655	0.200	0.025	0.003	1.804	
0:0:15.220	0.006	0.004	1.517	0.199	0.022	0.003	1.533	
0:0:15.274	0.006	0.004	1.488	0.199	0.022	0.003	1.442	
0:0:15.327	0.007	0.004	1.512	0.198	0.023	0.003	1.500	
0:0:15.382	0.007	0.004	1.521	0.199	0.024	0.003	1.442	
0:0:15.437	0.007	0.004	1.507	0.198	0.023	0.003	1.382	
0:0:15.492	0.007	0.004	1.521	0.198	0.025	0.004	1.346	
0:0:15.548	0.007	0.004	1.500	0.197	0.027	0.004	1.287	
0:0:15.603	0.007	0.004	1.415	0.194	0.026	0.004	1.197	
0:0:15.666	0.007	0.004	1.231	0.185	0.023	0.004	0.993	
0:0:15.721	0.007	0.005	1.045	0.175	0.022	0.004	0.780	
0:0:15.776	0.008	0.006	0.828	0.158	0.017	0.004	0.650	
0:0:15.827	0.010	0.005	0.710	0.137	0.014	0.004	0.645	
0:0:15.902	0.131	0.002	0.153	0.040	0.006	0.002	0.569	
0:0:15.967	0.338	0.002	0.108	0.027	0.005	0.002	0.598	
0:0:16.027	0.691	0.001	0.097	0.020	0.004	0.001	0.720	
0:0:16.080	0.393	0.002	0.164	0.027	0.005	0.002	0.769	
0:0:16.131	0.689	0.001	0.166	0.022	0.005	0.002	0.926	
0:0:16.200	0.410	0.001	0.274	0.029	0.007	0.002	1.084	
0:0:16.252	0.288	0.001	0.406	0.036	0.009	0.002	1.323	
0:0:16.310	0.329	0.001	0.414	0.034	0.009	0.002	1.329	
0:0:16.372	0.115	0.002	0.636	0.053	0.013	0.002	1.183	
