date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:3.722	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:5.358	0.003	0.023	0.427	0.207	0.003	0.005	0.243	
0:0:5.665	0.003	0.025	0.427	0.195	0.003	0.005	0.203	
0:0:5.820	0.003	0.025	0.427	0.195	0.003	0.005	0.201	
0:0:5.907	0.003	0.025	0.427	0.194	0.003	0.005	0.198	
0:0:6.040	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:6.234	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:6.314	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:6.466	0.003	0.025	0.427	0.194	0.003	0.005	0.199	
0:0:6.561	0.003	0.025	0.428	0.194	0.003	0.005	0.198	
0:0:6.654	0.003	0.025	0.428	0.194	0.003	0.005	0.198	
0:0:6.744	0.003	0.025	0.428	0.194	0.003	0.005	0.199	
0:0:6.844	0.003	0.025	0.429	0.194	0.003	0.005	0.197	
0:0:6.928	0.003	0.025	0.430	0.194	0.003	0.005	0.197	
0:0:7.002	0.003	0.025	0.429	0.194	0.003	0.005	0.197	
0:0:7.118	0.003	0.025	0.430	0.194	0.003	0.005	0.197	
0:0:7.200	0.003	0.025	0.430	0.194	0.003	0.005	0.196	
0:0:7.269	0.003	0.025	0.430	0.194	0.003	0.006	0.195	
0:0:7.334	0.003	0.025	0.431	0.194	0.003	0.006	0.195	
0:0:7.409	0.003	0.025	0.431	0.194	0.003	0.006	0.195	
0:0:7.480	0.003	0.025	0.431	0.194	0.003	0.006	0.195	
0:0:7.552	0.003	0.025	0.430	0.194	0.003	0.006	0.195	
0:0:7.618	0.003	0.025	0.430	0.194	0.003	0.006	0.195	
0:0:7.682	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:7.765	0.003	0.024	0.429	0.195	0.003	0.006	0.195	
0:0:7.838	0.003	0.024	0.429	0.195	0.003	0.006	0.195	
0:0:7.948	0.003	0.024	0.429	0.197	0.003	0.006	0.195	
0:0:8.015	0.003	0.024	0.430	0.198	0.003	0.006	0.195	
0:0:8.079	0.003	0.024	0.431	0.199	0.003	0.006	0.195	
0:0:8.152	0.003	0.024	0.433	0.202	0.003	0.006	0.195	
0:0:8.247	0.003	0.025	0.433	0.204	0.003	0.006	0.195	
0:0:8.313	0.003	0.025	0.432	0.207	0.003	0.006	0.196	
0:0:8.382	0.003	0.025	0.433	0.212	0.003	0.006	0.196	
0:0:8.454	0.003	0.025	0.432	0.225	0.003	0.005	0.196	
0:0:8.520	0.003	0.025	0.432	0.243	0.003	0.005	0.197	
0:0:8.591	0.003	0.025	0.433	0.239	0.003	0.005	0.198	
0:0:8.662	0.003	0.025	0.432	0.234	0.003	0.005	0.198	
0:0:8.738	0.003	0.025	0.431	0.227	0.003	0.005	0.198	
0:0:8.808	0.003	0.025	0.431	0.220	0.003	0.005	0.198	
0:0:8.887	0.003	0.025	0.430	0.216	0.003	0.005	0.198	
0:0:8.960	0.003	0.025	0.430	0.214	0.003	0.005	0.197	
0:0:9.037	0.003	0.025	0.429	0.211	0.003	0.005	0.197	
0:0:9.113	0.003	0.025	0.429	0.209	0.003	0.005	0.196	
0:0:9.179	0.003	0.025	0.429	0.206	0.003	0.005	0.196	
0:0:9.243	0.003	0.025	0.429	0.206	0.003	0.005	0.196	
0:0:9.310	0.003	0.025	0.429	0.204	0.003	0.005	0.196	
0:0:9.375	0.003	0.025	0.429	0.203	0.003	0.005	0.196	
0:0:9.446	0.003	0.025	0.429	0.201	0.003	0.005	0.196	
0:0:9.514	0.003	0.025	0.429	0.198	0.003	0.005	0.196	
0:0:9.581	0.003	0.025	0.429	0.197	0.003	0.005	0.196	
0:0:9.668	0.003	0.025	0.429	0.197	0.003	0.005	0.196	
0:0:9.749	0.003	0.025	0.430	0.196	0.003	0.005	0.196	
0:0:9.817	0.003	0.025	0.431	0.196	0.003	0.005	0.196	
0:0:9.886	0.003	0.025	0.430	0.196	0.003	0.005	0.196	
0:0:9.957	0.003	0.025	0.431	0.195	0.003	0.006	0.196	
0:0:10.024	0.003	0.025	0.431	0.195	0.003	0.006	0.196	
0:0:10.088	0.003	0.025	0.431	0.195	0.003	0.006	0.195	
0:0:10.157	0.003	0.025	0.430	0.195	0.003	0.006	0.195	
0:0:10.224	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:10.289	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:10.380	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:10.457	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:10.520	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:10.583	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:10.650	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:10.719	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:10.787	0.003	0.025	0.427	0.194	0.003	0.006	0.194	
0:0:10.857	0.003	0.025	0.427	0.194	0.003	0.006	0.194	
0:0:10.926	0.003	0.025	0.427	0.194	0.003	0.006	0.194	
0:0:10.993	0.003	0.025	0.427	0.194	0.003	0.006	0.194	
0:0:11.063	0.003	0.025	0.427	0.194	0.003	0.006	0.194	
0:0:11.124	0.003	0.025	0.428	0.194	0.003	0.006	0.194	
0:0:11.193	0.003	0.025	0.428	0.194	0.003	0.006	0.194	
0:0:11.262	0.003	0.025	0.428	0.194	0.003	0.006	0.194	
0:0:11.351	0.003	0.025	0.428	0.194	0.003	0.006	0.194	
0:0:11.417	0.003	0.025	0.427	0.194	0.003	0.006	0.194	
0:0:11.494	0.003	0.025	0.427	0.194	0.003	0.006	0.194	
0:0:11.580	0.003	0.025	0.427	0.194	0.003	0.006	0.194	
0:0:11.643	0.003	0.025	0.427	0.194	0.003	0.006	0.194	
0:0:11.713	0.003	0.025	0.427	0.194	0.003	0.006	0.194	
0:0:11.783	0.003	0.025	0.427	0.194	0.003	0.006	0.194	
0:0:11.857	0.003	0.025	0.427	0.194	0.003	0.006	0.194	
0:0:11.930	0.003	0.025	0.427	0.194	0.003	0.006	0.194	
0:0:11.999	0.003	0.025	0.427	0.195	0.003	0.006	0.195	
0:0:12.068	0.003	0.025	0.427	0.195	0.003	0.006	0.195	
0:0:12.138	0.003	0.025	0.427	0.195	0.003	0.006	0.195	
0:0:12.205	0.003	0.024	0.427	0.196	0.003	0.006	0.195	
0:0:12.269	0.003	0.024	0.427	0.196	0.003	0.006	0.195	
0:0:12.333	0.003	0.022	0.427	0.197	0.003	0.006	0.195	
0:0:12.403	0.003	0.020	0.427	0.199	0.003	0.006	0.195	
0:0:12.474	0.003	0.021	0.427	0.203	0.003	0.006	0.195	
0:0:12.551	0.003	0.019	0.427	0.207	0.003	0.006	0.195	
0:0:12.623	0.003	0.022	0.426	0.211	0.003	0.006	0.195	
0:0:12.707	0.003	0.024	0.426	0.218	0.003	0.006	0.195	
0:0:12.795	0.003	0.025	0.425	0.236	0.003	0.006	0.195	
0:0:12.858	0.003	0.025	0.426	0.239	0.003	0.006	0.195	
0:0:12.927	0.003	0.025	0.426	0.243	0.003	0.006	0.195	
0:0:12.993	0.003	0.025	0.426	0.240	0.003	0.006	0.195	
0:0:13.057	0.003	0.025	0.426	0.236	0.003	0.006	0.196	
0:0:13.121	0.003	0.025	0.426	0.228	0.003	0.006	0.196	
0:0:13.189	0.003	0.025	0.426	0.221	0.003	0.006	0.198	
0:0:13.253	0.003	0.025	0.426	0.223	0.003	0.005	0.198	
0:0:13.319	0.003	0.025	0.426	0.225	0.003	0.005	0.199	
0:0:13.384	0.003	0.024	0.426	0.219	0.003	0.005	0.202	
0:0:13.449	0.003	0.025	0.425	0.213	0.003	0.005	0.203	
