date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:4.366	0.003	0.018	0.532	2.025	0.004	0.005	0.285	
0:0:5.365	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:5.621	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:5.725	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:5.808	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:5.882	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:5.956	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:6.036	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:6.115	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:6.247	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:6.302	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:6.364	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:6.425	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:6.524	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:6.608	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:6.666	0.003	0.023	0.344	0.194	0.004	0.007	0.196	
0:0:6.720	0.003	0.024	0.376	0.194	0.003	0.006	0.197	
0:0:6.775	0.003	0.024	0.378	0.194	0.003	0.006	0.196	
0:0:6.834	0.003	0.024	0.367	0.194	0.003	0.006	0.196	
0:0:6.892	0.003	0.024	0.351	0.194	0.003	0.006	0.197	
0:0:6.937	0.003	0.023	0.327	0.194	0.004	0.006	0.200	
0:0:6.984	0.003	0.023	0.343	0.194	0.003	0.006	0.203	
0:0:7.038	0.003	0.021	0.355	0.194	0.003	0.005	0.211	
0:0:7.087	0.003	0.016	0.392	0.194	0.003	0.005	0.228	
0:0:7.133	0.002	0.009	0.410	0.194	0.002	0.005	0.287	
0:0:7.190	0.002	0.005	0.417	0.194	0.002	0.004	0.436	
0:0:7.296	0.001	0.003	0.424	0.194	0.001	0.002	1.796	
0:0:7.402	0.001	0.002	0.426	0.194	0.001	0.001	7.834	
0:0:7.451	0.001	0.003	0.427	0.194	0.001	0.001	10.157	
0:0:7.501	0.001	0.003	0.427	0.194	0.001	0.001	12.881	
0:0:7.574	0.001	0.004	0.427	0.195	0.001	0.001	12.453	
0:0:7.620	0.001	0.004	0.427	0.196	0.001	0.001	10.767	
0:0:7.665	0.001	0.005	0.427	0.197	0.001	0.001	7.877	
0:0:7.715	0.001	0.006	0.427	0.197	0.001	0.002	3.716	
0:0:7.759	0.001	0.007	0.427	0.199	0.001	0.002	3.076	
0:0:7.805	0.001	0.010	0.427	0.203	0.001	0.002	1.428	
0:0:7.852	0.002	0.010	0.427	0.207	0.001	0.002	1.383	
0:0:7.896	0.002	0.010	0.427	0.210	0.001	0.002	1.349	
0:0:7.941	0.002	0.010	0.427	0.213	0.001	0.002	1.172	
0:0:7.996	0.002	0.011	0.427	0.213	0.001	0.002	1.089	
0:0:8.051	0.002	0.012	0.427	0.206	0.001	0.003	0.856	
0:0:8.115	0.002	0.015	0.427	0.205	0.002	0.003	0.586	
0:0:8.166	0.002	0.018	0.427	0.200	0.002	0.004	0.368	
0:0:8.211	0.002	0.020	0.427	0.197	0.002	0.004	0.296	
0:0:8.257	0.003	0.022	0.427	0.196	0.003	0.005	0.249	
0:0:8.301	0.003	0.024	0.427	0.195	0.003	0.005	0.222	
0:0:8.344	0.003	0.024	0.427	0.194	0.003	0.005	0.210	
0:0:8.390	0.003	0.025	0.427	0.194	0.003	0.005	0.202	
0:0:8.439	0.003	0.025	0.427	0.194	0.003	0.005	0.198	
0:0:8.489	0.003	0.025	0.427	0.194	0.003	0.005	0.198	
0:0:8.536	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:8.595	0.003	0.025	0.427	0.194	0.003	0.005	0.198	
0:0:8.638	0.003	0.025	0.427	0.194	0.003	0.005	0.198	
0:0:8.680	0.003	0.025	0.427	0.194	0.003	0.005	0.199	
0:0:8.723	0.003	0.025	0.427	0.194	0.003	0.005	0.200	
0:0:8.768	0.003	0.025	0.427	0.194	0.003	0.005	0.202	
0:0:8.811	0.003	0.025	0.427	0.194	0.003	0.005	0.205	
0:0:8.855	0.003	0.025	0.427	0.194	0.003	0.005	0.208	
0:0:8.900	0.003	0.025	0.427	0.194	0.003	0.005	0.214	
0:0:8.944	0.003	0.025	0.427	0.194	0.003	0.005	0.224	
0:0:8.991	0.003	0.025	0.427	0.194	0.003	0.005	0.226	
0:0:9.069	0.003	0.025	0.428	0.194	0.003	0.004	0.250	
0:0:9.114	0.003	0.025	0.428	0.194	0.003	0.004	0.246	
0:0:9.161	0.003	0.025	0.428	0.194	0.003	0.004	0.254	
0:0:9.205	0.003	0.025	0.428	0.194	0.003	0.004	0.258	
