date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:4.357	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:5.508	0.003	0.025	0.436	0.194	0.003	0.005	0.197	
0:0:5.918	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:6.194	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:6.285	0.003	0.025	0.427	0.194	0.003	0.006	0.197	
0:0:6.376	0.003	0.025	0.427	0.194	0.003	0.006	0.197	
0:0:6.504	0.003	0.024	0.427	0.194	0.003	0.006	0.199	
0:0:6.587	0.003	0.025	0.427	0.194	0.003	0.006	0.197	
0:0:6.670	0.003	0.025	0.427	0.194	0.003	0.006	0.197	
0:0:6.780	0.003	0.025	0.427	0.194	0.003	0.006	0.197	
0:0:6.886	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:6.994	0.003	0.025	0.427	0.194	0.003	0.006	0.197	
0:0:7.099	0.003	0.025	0.427	0.194	0.003	0.006	0.198	
0:0:7.192	0.003	0.025	0.427	0.194	0.003	0.006	0.198	
0:0:7.264	0.003	0.025	0.427	0.194	0.003	0.006	0.198	
0:0:7.336	0.003	0.025	0.429	0.194	0.003	0.006	0.200	
0:0:7.407	0.003	0.025	0.432	0.194	0.003	0.006	0.203	
0:0:7.483	0.003	0.025	0.431	0.195	0.003	0.006	0.202	
0:0:7.576	0.003	0.024	0.429	0.196	0.003	0.006	0.199	
0:0:7.650	0.003	0.010	0.417	0.198	0.003	0.006	0.197	
0:0:7.735	0.003	0.005	0.230	0.200	0.007	0.006	0.196	
0:0:7.807	0.003	0.002	0.010	0.200	0.767	0.006	0.196	
0:0:7.896	0.003	0.002	0.004	0.197	5.631	0.010	0.196	
0:0:7.961	0.003	0.002	0.004	0.183	6.586	0.016	0.195	
0:0:8.036	0.004	0.002	0.004	0.187	6.541	0.036	0.195	
0:0:8.105	0.003	0.002	0.004	0.200	6.710	0.047	0.195	
0:0:8.210	0.003	0.002	0.004	0.225	7.022	0.053	0.195	
0:0:8.286	0.003	0.002	0.004	0.242	7.051	0.054	0.195	
0:0:8.354	0.003	0.002	0.004	0.259	6.904	0.055	0.195	
0:0:8.428	0.003	0.002	0.004	0.289	6.707	0.056	0.195	
0:0:8.510	0.003	0.002	0.005	0.255	6.094	0.056	0.194	
0:0:8.579	0.003	0.002	0.005	0.228	5.859	0.056	0.194	
0:0:8.642	0.003	0.002	0.005	0.221	5.588	0.055	0.194	
0:0:8.721	0.003	0.002	0.005	0.207	5.610	0.055	0.195	
0:0:8.787	0.003	0.002	0.005	0.202	5.869	0.055	0.195	
0:0:8.855	0.003	0.002	0.004	0.199	6.324	0.055	0.195	
0:0:8.926	0.003	0.002	0.004	0.196	6.515	0.055	0.195	
0:0:8.989	0.003	0.002	0.004	0.190	6.703	0.054	0.195	
0:0:9.056	0.003	0.002	0.004	0.186	6.819	0.053	0.195	
0:0:9.120	0.003	0.002	0.004	0.182	6.525	0.051	0.195	
0:0:9.188	0.003	0.005	0.004	0.191	6.220	0.053	0.196	
0:0:9.267	0.003	0.005	0.005	0.199	5.429	0.055	0.196	
0:0:9.352	0.003	0.007	0.008	0.201	2.034	0.055	0.197	
0:0:9.418	0.003	0.013	0.065	0.200	0.076	0.054	0.199	
0:0:9.484	0.003	0.022	0.309	0.198	0.005	0.047	0.202	
0:0:9.549	0.003	0.024	0.414	0.196	0.003	0.027	0.204	
0:0:9.612	0.003	0.024	0.426	0.195	0.003	0.008	0.207	
0:0:9.675	0.003	0.024	0.427	0.194	0.003	0.006	0.213	
0:0:9.740	0.003	0.024	0.428	0.194	0.003	0.005	0.217	
0:0:9.807	0.003	0.024	0.429	0.194	0.003	0.005	0.230	
0:0:9.873	0.003	0.024	0.431	0.194	0.003	0.004	0.242	
0:0:9.935	0.003	0.024	0.433	0.194	0.003	0.004	0.268	
0:0:10.000	0.003	0.023	0.437	0.194	0.003	0.004	0.296	
0:0:10.063	0.003	0.022	0.441	0.194	0.003	0.003	0.349	
0:0:10.123	0.003	0.022	0.441	0.194	0.003	0.004	0.325	
0:0:10.186	0.003	0.022	0.437	0.194	0.003	0.003	0.334	
0:0:10.253	0.003	0.022	0.435	0.194	0.003	0.003	0.367	
0:0:10.317	0.003	0.022	0.434	0.194	0.003	0.003	0.395	
0:0:10.385	0.003	0.023	0.433	0.194	0.003	0.003	0.402	
0:0:10.451	0.003	0.024	0.431	0.194	0.003	0.003	0.331	
0:0:10.514	0.003	0.024	0.429	0.195	0.003	0.004	0.279	
0:0:10.579	0.003	0.025	0.428	0.195	0.003	0.004	0.244	
0:0:10.641	0.003	0.025	0.428	0.195	0.003	0.005	0.221	
0:0:10.706	0.003	0.025	0.427	0.196	0.003	0.005	0.211	
0:0:10.771	0.003	0.025	0.427	0.196	0.003	0.005	0.207	
0:0:10.833	0.003	0.025	0.427	0.195	0.003	0.005	0.205	
0:0:10.903	0.003	0.025	0.427	0.195	0.003	0.005	0.204	
0:0:10.975	0.003	0.025	0.427	0.195	0.003	0.005	0.203	
0:0:11.047	0.003	0.025	0.427	0.194	0.003	0.005	0.203	
0:0:11.113	0.003	0.025	0.427	0.194	0.003	0.005	0.205	
0:0:11.178	0.003	0.025	0.427	0.194	0.003	0.005	0.204	
0:0:11.242	0.003	0.025	0.427	0.194	0.003	0.005	0.202	
0:0:11.304	0.003	0.025	0.427	0.194	0.003	0.005	0.200	
0:0:11.375	0.003	0.025	0.427	0.194	0.003	0.005	0.201	
0:0:11.440	0.003	0.025	0.427	0.194	0.003	0.005	0.202	
0:0:11.503	0.003	0.025	0.427	0.194	0.003	0.005	0.203	
0:0:11.568	0.003	0.025	0.427	0.194	0.003	0.005	0.203	
0:0:11.656	0.003	0.025	0.427	0.194	0.003	0.005	0.205	
0:0:11.729	0.003	0.025	0.427	0.194	0.003	0.005	0.207	
0:0:11.792	0.003	0.025	0.428	0.194	0.003	0.005	0.209	
0:0:11.853	0.003	0.025	0.428	0.194	0.003	0.005	0.210	
0:0:11.917	0.003	0.025	0.428	0.194	0.003	0.005	0.210	
0:0:11.980	0.003	0.025	0.428	0.194	0.003	0.005	0.209	
0:0:12.041	0.003	0.025	0.428	0.194	0.003	0.005	0.209	
0:0:12.104	0.003	0.025	0.428	0.194	0.003	0.005	0.207	
0:0:12.166	0.003	0.025	0.428	0.194	0.003	0.005	0.206	
0:0:12.230	0.003	0.025	0.428	0.194	0.003	0.005	0.204	
0:0:12.295	0.003	0.025	0.428	0.194	0.003	0.005	0.203	
0:0:12.361	0.003	0.025	0.428	0.194	0.003	0.005	0.201	
0:0:12.432	0.003	0.025	0.428	0.194	0.003	0.005	0.201	
0:0:12.495	0.003	0.025	0.428	0.194	0.003	0.005	0.200	
0:0:12.564	0.003	0.025	0.427	0.194	0.003	0.005	0.200	
0:0:12.625	0.003	0.025	0.427	0.194	0.003	0.005	0.199	
0:0:12.686	0.003	0.025	0.427	0.194	0.003	0.005	0.198	
0:0:12.746	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:12.809	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:12.885	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:12.965	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.025	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.116	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.193	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.260	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.321	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.384	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.446	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.511	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:13.572	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.639	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.705	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.778	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:13.838	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
