date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:7.498	99.382	0.001	0.530	0.001	0.001	0.001	0.238	
0:0:16.036	96.745	0.001	0.002	0.001	0.001	0.081	0.494	
0:0:16.261	97.892	0.001	0.002	0.001	0.001	0.021	0.436	
0:0:16.533	83.577	0.001	0.004	0.002	0.001	0.005	0.323	
0:0:16.769	0.004	0.017	0.332	0.152	0.003	0.005	0.200	
0:0:16.956	0.003	0.022	0.388	0.180	0.003	0.006	0.199	
0:0:17.152	0.003	0.024	0.425	0.193	0.003	0.006	0.199	
0:0:17.304	0.003	0.025	0.426	0.194	0.003	0.006	0.201	
0:0:17.466	0.003	0.024	0.424	0.194	0.003	0.006	0.204	
0:0:17.570	0.003	0.022	0.425	0.194	0.003	0.007	0.206	
0:0:17.696	0.003	0.019	0.423	0.193	0.004	0.011	0.216	
0:0:17.791	0.003	0.012	0.423	0.192	0.005	0.045	0.265	
0:0:17.873	0.004	0.005	0.377	0.168	0.011	0.581	0.353	
0:0:17.978	0.005	0.003	0.334	0.144	0.013	1.451	0.423	
0:0:18.061	0.006	0.003	0.304	0.129	0.014	2.034	0.447	
0:0:18.158	0.038	0.002	0.142	0.053	0.008	1.641	0.491	
0:0:18.269	0.956	0.001	0.039	0.013	0.003	1.007	0.512	
0:0:18.394	0.889	0.001	0.043	0.013	0.004	1.593	0.568	
0:0:18.493	0.422	0.001	0.061	0.019	0.004	0.888	0.544	
0:0:18.585	0.139	0.002	0.093	0.033	0.003	0.210	0.426	
0:0:18.660	0.185	0.002	0.085	0.029	0.003	0.069	0.394	
0:0:18.750	0.132	0.002	0.095	0.035	0.002	0.043	0.354	
0:0:18.829	0.023	0.002	0.193	0.086	0.005	0.193	0.377	
0:0:18.909	0.022	0.005	0.199	0.089	0.003	0.015	0.286	
0:0:18.990	0.007	0.007	0.307	0.147	0.004	0.034	0.283	
0:0:19.159	0.009	0.006	0.295	0.132	0.004	0.039	0.303	
0:0:19.296	0.005	0.005	0.415	0.189	0.006	0.152	0.364	
0:0:19.385	0.006	0.005	0.371	0.170	0.006	0.123	0.358	
0:0:19.526	0.025	0.003	0.228	0.090	0.003	0.060	0.388	
0:0:19.619	0.281	0.002	0.112	0.029	0.002	0.011	0.439	
0:0:19.734	0.722	0.001	0.079	0.019	0.002	0.017	0.484	
0:0:19.839	15.175	0.001	0.028	0.005	0.001	0.004	0.583	
0:0:19.925	95.524	0.001	0.006	0.001	0.001	0.001	0.730	
0:0:20.026	97.354	0.001	0.008	0.001	0.001	0.002	1.119	
0:0:20.119	96.680	0.001	0.007	0.001	0.001	0.002	1.027	
0:0:20.208	93.328	0.001	0.009	0.002	0.001	0.002	0.846	
0:0:20.297	97.689	0.001	0.007	0.001	0.001	0.001	0.904	
0:0:20.377	97.794	0.001	0.006	0.001	0.001	0.001	0.626	
0:0:20.456	95.002	0.001	0.009	0.002	0.001	0.001	0.642	
0:0:20.541	97.000	0.001	0.008	0.001	0.001	0.001	0.710	
0:0:20.621	98.539	0.001	0.006	0.001	0.001	0.001	0.715	
0:0:20.712	99.334	0.001	0.004	0.001	0.001	0.002	0.857	
0:0:20.814	99.550	0.001	0.005	0.001	0.001	0.002	1.007	
0:0:20.903	99.341	0.001	0.005	0.001	0.001	0.004	1.134	
0:0:20.989	99.546	0.001	0.004	0.001	0.001	0.005	0.964	
0:0:21.077	99.586	0.001	0.003	0.001	0.001	0.008	1.017	
0:0:21.171	99.641	0.001	0.004	0.001	0.001	0.004	0.974	
0:0:21.256	99.509	0.001	0.004	0.001	0.001	0.001	0.626	
0:0:21.344	99.390	0.001	0.003	0.001	0.001	0.001	0.577	
0:0:21.437	99.668	0.001	0.003	0.001	0.001	0.001	0.602	
0:0:21.522	99.638	0.001	0.003	0.001	0.001	0.002	0.668	
0:0:21.604	99.593	0.001	0.003	0.001	0.001	0.001	0.509	
0:0:21.686	99.548	0.001	0.002	0.001	0.001	0.001	0.409	
0:0:21.769	99.343	0.001	0.002	0.001	0.001	0.001	0.383	
0:0:21.853	98.871	0.001	0.002	0.001	0.001	0.001	0.330	
0:0:21.942	90.458	0.001	0.004	0.002	0.001	0.001	0.272	
0:0:22.058	70.772	0.001	0.005	0.002	0.001	0.001	0.241	
0:0:22.153	54.837	0.001	0.007	0.002	0.001	0.002	0.256	
0:0:22.244	34.598	0.001	0.009	0.003	0.001	0.002	0.242	
0:0:22.324	77.243	0.001	0.005	0.002	0.001	0.002	0.256	
