date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:4.530	0.003	0.025	0.425	0.194	0.003	0.006	0.195	
0:0:6.771	0.003	0.026	0.427	0.194	0.003	0.005	0.200	
0:0:7.208	0.001	0.007	86.940	0.198	0.001	0.002	3.396	
0:0:7.625	0.002	0.015	0.439	0.194	0.002	0.003	0.531	
0:0:7.821	0.004	0.010	0.772	0.194	0.007	0.004	0.493	
0:0:7.907	0.004	0.009	0.815	0.194	0.007	0.003	0.628	
0:0:8.008	0.004	0.013	0.669	0.194	0.005	0.004	0.437	
0:0:8.095	0.004	0.013	0.656	0.194	0.005	0.004	0.431	
0:0:8.183	0.003	0.016	0.574	0.194	0.004	0.005	0.307	
0:0:8.340	0.003	0.019	0.483	0.194	0.003	0.005	0.236	
0:0:8.456	0.003	0.011	0.448	0.194	0.003	0.005	0.208	
0:0:8.626	0.003	0.011	0.440	0.194	0.003	0.005	0.203	
0:0:8.728	0.003	0.013	0.434	0.194	0.003	0.006	0.199	
0:0:8.817	0.003	0.012	0.431	0.194	0.003	0.006	0.197	
0:0:8.906	0.003	0.010	0.429	0.194	0.003	0.006	0.196	
0:0:8.978	0.003	0.009	0.428	0.194	0.003	0.006	0.195	
0:0:9.069	0.003	0.011	0.427	0.195	0.003	0.006	0.194	
0:0:9.143	0.003	0.010	0.427	0.195	0.003	0.006	0.194	
0:0:9.227	0.003	0.011	0.427	0.196	0.003	0.006	0.195	
0:0:9.300	0.003	0.009	0.427	0.196	0.003	0.006	0.195	
0:0:9.382	0.003	0.013	0.427	0.196	0.003	0.006	0.195	
0:0:9.457	0.003	0.016	0.427	0.196	0.003	0.006	0.195	
0:0:9.523	0.003	0.021	0.426	0.195	0.003	0.006	0.195	
0:0:9.589	0.003	0.021	0.425	0.195	0.003	0.006	0.196	
0:0:9.659	0.003	0.022	0.423	0.195	0.003	0.006	0.196	
0:0:9.724	0.003	0.021	0.422	0.195	0.003	0.006	0.196	
0:0:9.793	0.003	0.022	0.421	0.194	0.003	0.006	0.196	
0:0:9.860	0.003	0.022	0.417	0.194	0.003	0.006	0.196	
0:0:9.963	0.003	0.022	0.405	0.194	0.003	0.006	0.197	
0:0:10.051	0.003	0.021	0.401	0.194	0.003	0.006	0.196	
0:0:10.125	0.003	0.022	0.398	0.194	0.003	0.006	0.196	
0:0:10.219	0.003	0.022	0.394	0.194	0.003	0.006	0.195	
0:0:10.287	0.003	0.023	0.392	0.194	0.003	0.006	0.195	
0:0:10.357	0.003	0.023	0.387	0.194	0.003	0.006	0.195	
0:0:10.433	0.003	0.023	0.380	0.194	0.003	0.006	0.195	
0:0:10.503	0.003	0.023	0.383	0.194	0.003	0.006	0.195	
0:0:10.571	0.003	0.023	0.385	0.194	0.003	0.006	0.195	
0:0:10.642	0.003	0.023	0.387	0.194	0.003	0.006	0.195	
0:0:10.709	0.003	0.023	0.383	0.194	0.003	0.006	0.195	
0:0:10.775	0.003	0.023	0.381	0.194	0.003	0.006	0.195	
0:0:10.845	0.003	0.023	0.373	0.194	0.003	0.006	0.196	
0:0:10.909	0.003	0.023	0.370	0.194	0.003	0.006	0.196	
0:0:10.983	0.003	0.023	0.369	0.194	0.003	0.006	0.195	
0:0:11.070	0.003	0.024	0.371	0.194	0.003	0.006	0.196	
0:0:11.144	0.003	0.024	0.371	0.194	0.003	0.006	0.197	
0:0:11.208	0.003	0.024	0.377	0.194	0.003	0.006	0.197	
0:0:11.273	0.003	0.024	0.378	0.194	0.003	0.005	0.198	
0:0:11.342	0.003	0.024	0.375	0.194	0.003	0.005	0.198	
0:0:11.405	0.003	0.024	0.381	0.194	0.003	0.005	0.198	
0:0:11.474	0.003	0.024	0.380	0.194	0.003	0.005	0.198	
0:0:11.545	0.003	0.024	0.382	0.194	0.003	0.005	0.198	
0:0:11.613	0.003	0.024	0.370	0.194	0.003	0.005	0.197	
0:0:11.676	0.003	0.023	0.356	0.194	0.003	0.005	0.196	
0:0:11.741	0.003	0.023	0.346	0.194	0.004	0.005	0.196	
0:0:11.811	0.003	0.023	0.339	0.194	0.004	0.006	0.196	
0:0:11.877	0.003	0.023	0.341	0.194	0.004	0.006	0.196	
0:0:11.945	0.003	0.023	0.352	0.194	0.004	0.005	0.196	
0:0:12.010	0.003	0.024	0.364	0.194	0.004	0.005	0.196	
0:0:12.076	0.003	0.024	0.375	0.194	0.004	0.005	0.196	
0:0:12.146	0.003	0.024	0.389	0.194	0.005	0.005	0.196	
0:0:12.218	0.003	0.024	0.400	0.194	0.005	0.005	0.196	
0:0:12.294	0.003	0.025	0.408	0.194	0.006	0.005	0.196	
0:0:12.359	0.003	0.025	0.417	0.194	0.006	0.005	0.197	
0:0:12.449	0.003	0.025	0.422	0.194	0.006	0.005	0.198	
0:0:12.518	0.003	0.025	0.423	0.195	0.005	0.005	0.197	
0:0:12.593	0.003	0.025	0.422	0.195	0.005	0.005	0.196	
0:0:12.661	0.003	0.026	0.424	0.196	0.005	0.005	0.195	
0:0:12.737	0.003	0.027	0.425	0.197	0.006	0.006	0.190	
0:0:12.812	0.003	0.027	0.424	0.198	0.005	0.006	0.189	
0:0:12.883	0.003	0.027	0.422	0.198	0.005	0.006	0.187	
0:0:12.955	0.003	0.027	0.420	0.198	0.005	0.006	0.185	
0:0:13.020	0.003	0.026	0.416	0.197	0.005	0.006	0.189	
0:0:13.084	0.003	0.026	0.415	0.196	0.005	0.006	0.190	
0:0:13.158	0.003	0.026	0.417	0.195	0.005	0.006	0.192	
0:0:13.222	0.003	0.025	0.412	0.195	0.005	0.006	0.193	
0:0:13.289	0.003	0.025	0.405	0.194	0.005	0.005	0.194	
0:0:13.355	0.003	0.025	0.408	0.194	0.005	0.005	0.194	
0:0:13.447	0.003	0.025	0.406	0.194	0.005	0.005	0.195	
0:0:13.512	0.003	0.025	0.406	0.194	0.005	0.005	0.195	
0:0:13.590	0.003	0.025	0.406	0.194	0.005	0.005	0.195	
