date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:4.831	0.003	0.027	0.427	0.194	0.003	0.006	0.200	
0:0:5.429	0.003	0.025	0.427	0.194	0.003	0.006	0.198	
0:0:5.651	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:5.785	0.003	0.025	0.428	0.194	0.003	0.006	0.196	
0:0:5.880	0.003	0.025	0.432	0.194	0.003	0.006	0.196	
0:0:5.970	0.003	0.026	0.431	0.194	0.003	0.006	0.195	
0:0:6.079	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:6.177	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:6.326	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:6.408	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:6.517	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:6.601	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:6.672	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:6.747	0.003	0.025	0.428	0.194	0.003	0.006	0.196	
0:0:6.818	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:6.905	0.003	0.025	0.430	0.194	0.003	0.006	0.196	
0:0:6.984	0.003	0.025	0.430	0.194	0.003	0.006	0.196	
0:0:7.057	0.003	0.025	0.430	0.194	0.003	0.006	0.196	
0:0:7.140	0.003	0.025	0.430	0.194	0.003	0.006	0.196	
0:0:7.214	0.003	0.025	0.430	0.194	0.003	0.006	0.196	
0:0:7.283	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:7.353	0.003	0.025	0.430	0.194	0.003	0.006	0.196	
0:0:7.417	0.003	0.025	0.430	0.194	0.003	0.006	0.196	
0:0:7.485	0.003	0.025	0.430	0.194	0.003	0.006	0.196	
0:0:7.552	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:7.627	0.003	0.025	0.429	0.194	0.003	0.006	0.197	
0:0:7.730	0.003	0.026	0.428	0.194	0.003	0.006	0.198	
0:0:7.810	0.003	0.027	0.429	0.194	0.003	0.006	0.200	
0:0:7.891	0.003	0.028	0.428	0.194	0.003	0.006	0.203	
0:0:7.992	0.003	0.029	0.428	0.194	0.003	0.006	0.204	
0:0:8.059	0.003	0.028	0.428	0.194	0.003	0.006	0.203	
0:0:8.127	0.003	0.028	0.428	0.194	0.003	0.006	0.203	
0:0:8.198	0.003	0.026	0.428	0.194	0.003	0.006	0.199	
0:0:8.276	0.003	0.026	0.428	0.194	0.003	0.006	0.197	
0:0:8.339	0.003	0.026	0.428	0.194	0.003	0.006	0.197	
0:0:8.402	0.003	0.025	0.428	0.194	0.003	0.006	0.197	
0:0:8.466	0.003	0.025	0.427	0.194	0.003	0.006	0.198	
0:0:8.526	0.003	0.026	0.427	0.194	0.003	0.006	0.197	
0:0:8.588	0.003	0.026	0.427	0.194	0.003	0.006	0.198	
0:0:8.651	0.003	0.026	0.427	0.194	0.003	0.006	0.198	
0:0:8.725	0.003	0.026	0.427	0.194	0.003	0.006	0.200	
0:0:8.789	0.003	0.026	0.427	0.194	0.003	0.005	0.201	
0:0:8.874	0.003	0.026	0.427	0.194	0.003	0.005	0.201	
0:0:8.940	0.003	0.026	0.427	0.194	0.003	0.005	0.202	
0:0:9.003	0.003	0.025	0.427	0.194	0.003	0.005	0.201	
0:0:9.064	0.003	0.025	0.427	0.194	0.003	0.005	0.200	
0:0:9.124	0.003	0.025	0.427	0.194	0.003	0.005	0.199	
0:0:9.186	0.003	0.025	0.427	0.194	0.003	0.005	0.199	
