date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:3.723	0.003	0.026	0.429	0.195	0.003	0.006	0.192	
0:0:5.066	0.003	0.025	1.174	0.195	0.003	0.005	0.200	
0:0:5.754	0.003	0.027	0.597	0.197	0.003	0.006	0.187	
0:0:6.355	0.003	0.030	0.441	0.203	0.003	0.006	0.171	
0:0:6.752	0.003	0.026	0.433	0.196	0.003	0.006	0.189	
0:0:7.044	0.003	0.026	0.433	0.195	0.003	0.006	0.197	
0:0:7.195	0.003	0.026	0.430	0.196	0.003	0.006	0.192	
0:0:7.292	0.003	0.026	0.430	0.196	0.003	0.006	0.191	
0:0:7.396	0.003	0.025	0.431	0.195	0.003	0.006	0.193	
0:0:7.490	0.003	0.026	0.433	0.196	0.003	0.006	0.191	
0:0:7.579	0.003	0.026	0.433	0.197	0.003	0.006	0.188	
0:0:7.698	0.003	0.026	0.433	0.197	0.003	0.006	0.189	
0:0:7.788	0.003	0.026	0.435	0.197	0.003	0.006	0.189	
0:0:7.917	0.003	0.029	0.434	0.202	0.003	0.006	0.176	
0:0:8.016	0.003	0.026	0.435	0.197	0.003	0.006	0.189	
0:0:8.100	0.003	0.026	0.437	0.197	0.003	0.005	0.191	
0:0:8.184	0.003	0.026	0.434	0.196	0.003	0.005	0.192	
0:0:8.252	0.003	0.026	0.434	0.196	0.003	0.005	0.194	
0:0:8.328	0.003	0.026	0.433	0.196	0.003	0.005	0.194	
0:0:8.409	0.003	0.026	0.431	0.196	0.003	0.005	0.192	
0:0:8.496	0.003	0.026	0.430	0.195	0.003	0.005	0.194	
0:0:8.567	0.003	0.026	0.430	0.195	0.003	0.005	0.194	
0:0:8.637	0.003	0.026	0.430	0.195	0.003	0.005	0.195	
0:0:8.716	0.003	0.026	0.429	0.195	0.003	0.006	0.194	
0:0:8.785	0.003	0.026	0.429	0.195	0.003	0.006	0.194	
0:0:8.861	0.003	0.026	0.429	0.195	0.003	0.005	0.195	
0:0:8.932	0.003	0.025	0.429	0.194	0.003	0.005	0.196	
0:0:8.993	0.003	0.025	0.430	0.194	0.003	0.005	0.196	
0:0:9.094	0.003	0.025	0.430	0.194	0.003	0.005	0.196	
0:0:9.164	0.003	0.025	0.430	0.194	0.003	0.005	0.197	
0:0:9.236	0.003	0.025	0.431	0.194	0.003	0.005	0.199	
0:0:9.304	0.003	0.025	0.432	0.194	0.003	0.005	0.200	
0:0:9.393	0.003	0.025	0.434	0.194	0.003	0.005	0.203	
0:0:9.460	0.003	0.024	0.435	0.194	0.003	0.005	0.206	
0:0:9.527	0.003	0.024	0.436	0.194	0.003	0.005	0.208	
0:0:9.598	0.003	0.024	0.438	0.194	0.003	0.005	0.211	
0:0:9.677	0.003	0.024	0.439	0.194	0.003	0.005	0.212	
0:0:9.748	0.003	0.024	0.441	0.194	0.003	0.005	0.216	
0:0:9.817	0.003	0.024	0.445	0.194	0.003	0.005	0.220	
0:0:9.882	0.003	0.024	0.446	0.195	0.003	0.005	0.222	
0:0:9.950	0.003	0.024	0.447	0.195	0.003	0.005	0.220	
0:0:10.016	0.003	0.024	0.447	0.196	0.003	0.005	0.219	
0:0:10.079	0.003	0.024	0.447	0.196	0.003	0.005	0.216	
0:0:10.151	0.003	0.024	0.448	0.196	0.003	0.005	0.215	
0:0:10.215	0.003	0.024	0.449	0.196	0.003	0.005	0.218	
0:0:10.293	0.003	0.024	0.450	0.195	0.003	0.005	0.217	
0:0:10.359	0.003	0.024	0.449	0.195	0.003	0.005	0.217	
0:0:10.424	0.003	0.024	0.449	0.195	0.003	0.005	0.217	
0:0:10.491	0.003	0.024	0.449	0.195	0.003	0.005	0.217	
0:0:10.557	0.003	0.024	0.450	0.195	0.003	0.005	0.215	
0:0:10.624	0.003	0.024	0.448	0.195	0.003	0.005	0.213	
0:0:10.687	0.003	0.024	0.450	0.195	0.003	0.005	0.213	
0:0:10.754	0.003	0.024	0.451	0.196	0.003	0.005	0.212	
0:0:10.822	0.003	0.024	0.450	0.196	0.003	0.005	0.209	
0:0:10.886	0.003	0.024	0.449	0.196	0.003	0.005	0.205	
0:0:10.957	0.003	0.024	0.451	0.197	0.003	0.005	0.205	
0:0:11.019	0.003	0.024	0.454	0.197	0.003	0.005	0.205	
0:0:11.084	0.003	0.024	0.459	0.197	0.003	0.005	0.209	
0:0:11.152	0.003	0.024	0.464	0.198	0.003	0.005	0.208	
0:0:11.221	0.003	0.023	0.470	0.198	0.003	0.005	0.209	
0:0:11.287	0.003	0.023	0.471	0.197	0.003	0.006	0.206	
0:0:11.353	0.003	0.023	0.470	0.197	0.003	0.006	0.206	
0:0:11.417	0.003	0.023	0.464	0.195	0.003	0.005	0.207	
0:0:11.487	0.003	0.022	0.452	0.189	0.003	0.005	0.207	
0:0:11.555	0.003	0.022	0.452	0.190	0.003	0.005	0.208	
0:0:11.643	0.003	0.021	0.462	0.190	0.003	0.005	0.211	
0:0:11.706	0.003	0.021	0.473	0.194	0.004	0.005	0.212	
0:0:11.771	0.003	0.020	0.475	0.194	0.004	0.005	0.214	
0:0:11.834	0.003	0.019	0.481	0.195	0.004	0.005	0.225	
0:0:11.899	0.004	0.018	0.473	0.192	0.004	0.005	0.232	
0:0:11.964	0.004	0.017	0.472	0.187	0.004	0.005	0.239	
0:0:12.033	0.004	0.017	0.477	0.186	0.004	0.005	0.241	
0:0:12.111	0.004	0.017	0.467	0.180	0.004	0.005	0.241	
0:0:12.172	0.004	0.017	0.477	0.183	0.004	0.005	0.244	
0:0:12.242	0.004	0.017	0.485	0.186	0.004	0.005	0.243	
