date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:6.583	0.003	0.025	0.427	0.195	0.003	0.005	0.198	
0:0:7.746	0.003	0.014	0.588	0.194	0.004	0.004	0.427	
0:0:8.157	0.003	0.025	0.432	0.194	0.003	0.005	0.202	
0:0:8.436	0.003	0.026	0.430	0.195	0.003	0.005	0.199	
0:0:8.530	0.003	0.026	0.429	0.196	0.003	0.005	0.201	
0:0:8.705	0.003	0.026	0.429	0.195	0.003	0.005	0.206	
0:0:8.810	0.003	0.025	0.428	0.195	0.003	0.005	0.207	
0:0:8.951	0.003	0.025	0.429	0.194	0.003	0.005	0.212	
0:0:9.046	0.003	0.026	0.429	0.194	0.003	0.005	0.214	
0:0:9.234	0.003	0.025	0.435	0.194	0.003	0.005	0.207	
0:0:9.332	0.003	0.025	0.449	0.194	0.003	0.005	0.206	
0:0:9.490	0.003	0.024	0.443	0.194	0.003	0.005	0.208	
0:0:9.581	0.003	0.024	0.443	0.192	0.003	0.005	0.210	
0:0:9.682	0.003	0.024	0.440	0.191	0.003	0.005	0.210	
0:0:9.753	0.003	0.023	0.426	0.185	0.003	0.005	0.209	
0:0:9.830	0.003	0.023	0.427	0.186	0.003	0.005	0.208	
0:0:9.899	0.003	0.023	0.422	0.186	0.003	0.005	0.204	
0:0:9.977	0.003	0.023	0.420	0.187	0.003	0.005	0.201	
0:0:10.069	0.003	0.024	0.421	0.189	0.003	0.005	0.199	
0:0:10.139	0.003	0.024	0.423	0.191	0.003	0.005	0.198	
0:0:10.263	0.003	0.024	0.426	0.194	0.003	0.005	0.197	
0:0:10.331	0.003	0.024	0.427	0.195	0.003	0.005	0.197	
0:0:10.404	0.003	0.024	0.426	0.195	0.003	0.005	0.197	
0:0:10.471	0.003	0.025	0.427	0.195	0.003	0.005	0.198	
0:0:10.600	0.003	0.024	0.427	0.197	0.003	0.005	0.202	
0:0:10.680	0.003	0.024	0.427	0.197	0.003	0.005	0.200	
0:0:10.811	0.003	0.024	0.428	0.197	0.003	0.005	0.202	
0:0:10.882	0.003	0.024	0.429	0.197	0.003	0.005	0.201	
0:0:10.949	0.003	0.025	0.429	0.197	0.003	0.005	0.199	
0:0:11.040	0.003	0.025	0.429	0.196	0.003	0.005	0.198	
0:0:11.109	0.003	0.025	0.428	0.196	0.003	0.006	0.199	
0:0:11.178	0.003	0.025	0.428	0.196	0.003	0.005	0.200	
0:0:11.248	0.003	0.026	0.428	0.196	0.003	0.005	0.205	
0:0:11.329	0.003	0.026	0.428	0.196	0.003	0.005	0.204	
0:0:11.395	0.003	0.026	0.429	0.197	0.003	0.005	0.205	
0:0:11.468	0.003	0.025	0.436	0.196	0.003	0.005	0.209	
0:0:11.538	0.003	0.025	0.435	0.196	0.003	0.005	0.211	
0:0:11.603	0.003	0.025	0.436	0.195	0.003	0.005	0.211	
0:0:11.677	0.003	0.025	0.433	0.194	0.003	0.005	0.211	
0:0:11.744	0.003	0.025	0.430	0.194	0.003	0.005	0.211	
0:0:11.810	0.003	0.024	0.427	0.192	0.003	0.005	0.208	
0:0:11.886	0.003	0.023	0.421	0.187	0.003	0.005	0.210	
0:0:11.961	0.003	0.022	0.414	0.181	0.003	0.005	0.215	
0:0:12.033	0.003	0.021	0.398	0.171	0.003	0.005	0.216	
0:0:12.102	0.004	0.018	0.356	0.148	0.003	0.004	0.218	
0:0:12.165	0.007	0.014	0.305	0.119	0.002	0.004	0.227	
0:0:12.230	0.012	0.010	0.252	0.090	0.002	0.003	0.241	
0:0:12.294	0.019	0.008	0.228	0.074	0.002	0.003	0.268	
0:0:12.357	0.019	0.007	0.254	0.078	0.002	0.003	0.295	
0:0:12.421	0.014	0.008	0.290	0.090	0.003	0.003	0.289	
0:0:12.484	0.014	0.009	0.285	0.089	0.003	0.003	0.283	
0:0:12.549	0.008	0.011	0.354	0.116	0.003	0.004	0.279	
0:0:12.614	0.007	0.012	0.368	0.125	0.003	0.004	0.273	
0:0:12.681	0.005	0.014	0.389	0.142	0.003	0.004	0.256	
