date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:3.568	0.003	0.020	0.494	0.194	0.004	0.006	0.241	
0:0:5.174	0.011	0.002	2.715	0.194	0.040	0.001	15.622	
0:0:5.572	0.012	0.002	2.649	0.194	0.048	0.001	13.697	
0:0:5.757	0.011	0.002	2.718	0.194	0.045	0.001	13.028	
0:0:5.893	0.011	0.002	2.309	0.194	0.042	0.002	6.995	
0:0:5.995	0.011	0.002	2.205	0.194	0.040	0.002	5.880	
0:0:6.082	0.010	0.003	1.959	0.194	0.032	0.003	2.907	
0:0:6.173	0.009	0.003	1.777	0.194	0.026	0.003	2.317	
0:0:6.287	0.008	0.005	1.521	0.195	0.017	0.006	1.475	
0:0:6.461	0.005	0.017	0.899	0.195	0.006	0.007	0.977	
0:0:6.575	0.003	0.037	0.533	0.197	0.003	0.007	0.372	
0:0:6.669	0.003	0.028	0.515	0.197	0.003	0.006	0.298	
0:0:6.760	0.003	0.027	0.463	0.200	0.003	0.006	0.233	
0:0:6.865	0.003	0.025	0.451	0.199	0.003	0.006	0.219	
0:0:6.934	0.003	0.027	0.435	0.199	0.003	0.006	0.209	
0:0:7.012	0.003	0.026	0.430	0.197	0.003	0.006	0.202	
0:0:7.084	0.003	0.026	0.428	0.196	0.003	0.006	0.201	
0:0:7.179	0.003	0.026	0.428	0.196	0.003	0.006	0.202	
0:0:7.253	0.003	0.027	0.428	0.195	0.003	0.006	0.203	
0:0:7.327	0.003	0.028	0.427	0.195	0.003	0.006	0.207	
0:0:7.400	0.003	0.031	0.427	0.195	0.003	0.006	0.217	
0:0:7.474	0.003	0.033	0.427	0.196	0.003	0.006	0.232	
0:0:7.555	0.003	0.034	0.427	0.198	0.002	0.006	0.244	
0:0:7.626	0.003	0.030	0.427	0.199	0.002	0.005	0.248	
0:0:7.701	0.003	0.028	0.427	0.199	0.002	0.005	0.262	
0:0:7.774	0.003	0.028	0.427	0.198	0.002	0.005	0.267	
0:0:7.847	0.003	0.028	0.428	0.198	0.002	0.005	0.272	
0:0:7.970	0.003	0.028	0.429	0.196	0.003	0.005	0.243	
0:0:8.042	0.003	0.027	0.433	0.195	0.003	0.005	0.231	
0:0:8.121	0.003	0.026	0.448	0.195	0.003	0.005	0.237	
0:0:8.231	0.003	0.024	0.507	0.194	0.003	0.006	0.282	
0:0:8.300	0.004	0.018	0.656	0.194	0.004	0.006	0.416	
0:0:8.364	0.004	0.012	0.792	0.194	0.006	0.006	0.524	
0:0:8.440	0.005	0.011	0.856	0.194	0.006	0.007	0.586	
0:0:8.523	0.005	0.009	0.885	0.194	0.007	0.006	0.614	
0:0:8.592	0.005	0.008	0.852	0.194	0.006	0.007	0.580	
0:0:8.662	0.004	0.008	0.796	0.194	0.006	0.007	0.530	
0:0:8.728	0.004	0.010	0.678	0.194	0.005	0.007	0.418	
0:0:8.794	0.004	0.012	0.616	0.194	0.004	0.007	0.361	
0:0:8.886	0.003	0.014	0.570	0.193	0.004	0.006	0.316	
0:0:8.970	0.003	0.015	0.514	0.194	0.004	0.006	0.265	
0:0:9.054	0.003	0.016	0.461	0.194	0.003	0.006	0.224	
0:0:9.159	0.003	0.019	0.436	0.194	0.003	0.006	0.205	
0:0:9.230	0.003	0.022	0.431	0.194	0.003	0.006	0.201	
0:0:9.303	0.003	0.025	0.418	0.196	0.003	0.006	0.190	
0:0:9.386	0.003	0.025	0.425	0.196	0.003	0.006	0.190	
0:0:9.461	0.003	0.025	0.428	0.196	0.003	0.006	0.189	
0:0:9.527	0.003	0.027	0.440	0.198	0.003	0.006	0.184	
0:0:9.594	0.003	0.029	0.456	0.200	0.003	0.006	0.179	
0:0:9.661	0.003	0.028	0.461	0.197	0.003	0.006	0.189	
0:0:9.728	0.003	0.029	0.512	0.199	0.003	0.006	0.184	
0:0:9.832	0.003	0.028	0.598	0.196	0.003	0.006	0.195	
0:0:10.482	0.001	12.387	1.928	0.916	2.887	0.076	0.002	
0:0:10.616	99.408	0.001	0.018	0.001	0.001	0.001	0.224	
0:0:10.699	99.910	0.001	43.221	0.001	0.001	0.001	2.471	
0:0:10.783	99.928	0.001	5.315	0.001	0.001	0.001	6.666	
0:0:10.858	99.930	0.001	0.332	0.001	0.001	0.001	12.870	
0:0:10.926	99.931	0.001	0.066	0.001	0.001	0.001	13.777	
0:0:10.999	99.931	0.001	0.082	0.001	0.001	0.001	13.907	
