date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:11.572	0.003	0.020	0.511	0.194	0.003	0.006	0.228	
0:0:14.384	0.006	0.005	1.725	0.194	0.015	0.005	0.834	
0:0:15.119	0.007	0.004	7.434	0.194	0.019	0.005	1.036	
0:0:15.692	0.005	0.006	2.461	0.194	0.011	0.005	0.724	
0:0:16.027	0.005	0.007	2.100	0.194	0.009	0.004	0.628	
0:0:16.500	0.004	0.010	25.855	0.194	0.007	0.003	0.627	
0:0:16.873	0.004	0.010	3.045	0.195	0.007	0.003	0.620	
0:0:17.163	0.005	0.007	1.795	0.196	0.009	0.003	0.769	
0:0:17.359	0.005	0.007	2.569	0.195	0.009	0.004	0.686	
0:0:17.553	0.005	0.006	4.738	0.194	0.012	0.004	0.861	
0:0:17.720	0.006	0.005	2.729	0.194	0.012	0.004	0.875	
0:0:17.916	0.006	0.005	4.526	0.194	0.015	0.004	1.066	
0:0:18.119	0.007	0.004	6.054	0.194	0.020	0.004	1.305	
0:0:18.350	0.007	0.004	5.688	0.194	0.016	0.003	1.338	
0:0:18.551	0.007	0.004	11.119	0.194	0.017	0.003	1.437	
0:0:18.758	0.007	0.004	31.213	0.194	0.017	0.003	1.394	
0:0:18.947	0.006	0.004	24.912	0.194	0.016	0.003	1.281	
0:0:19.152	0.006	0.005	17.821	0.194	0.012	0.003	1.062	
0:0:19.369	0.006	0.005	7.322	0.194	0.015	0.004	0.917	
0:0:19.560	0.006	0.004	5.757	0.194	0.017	0.005	0.923	
0:0:19.802	0.006	0.005	3.177	0.194	0.015	0.005	0.777	
0:0:20.112	0.003	0.013	3.064	0.212	0.010	0.006	0.321	
0:0:20.532	0.001	0.117	1.091	0.318	0.031	0.012	0.055	
0:0:20.727	0.001	0.139	0.810	0.318	0.026	0.012	0.048	
0:0:20.959	0.002	0.052	0.687	0.246	0.008	0.008	0.106	
0:0:21.159	0.003	0.021	0.740	0.207	0.005	0.006	0.217	
0:0:21.344	0.003	0.017	0.840	0.196	0.005	0.006	0.268	
0:0:21.552	0.004	0.010	1.843	0.197	0.007	0.006	0.399	
0:0:21.737	0.004	0.009	2.316	0.196	0.007	0.006	0.426	
0:0:21.905	0.004	0.010	2.037	0.195	0.006	0.005	0.395	
0:0:22.061	0.004	0.010	2.096	0.195	0.007	0.005	0.427	
0:0:22.233	0.004	0.010	2.762	0.195	0.007	0.005	0.436	
0:0:22.386	0.004	0.009	4.345	0.195	0.007	0.005	0.462	
0:0:22.550	0.004	0.011	2.962	0.195	0.006	0.005	0.381	
0:0:22.706	0.004	0.013	3.120	0.195	0.005	0.005	0.332	
0:0:22.868	0.004	0.012	1.928	0.195	0.006	0.005	0.356	
0:0:23.039	0.004	0.011	1.659	0.195	0.006	0.005	0.383	
0:0:23.201	0.004	0.010	2.162	0.195	0.007	0.005	0.417	
0:0:23.352	0.004	0.009	1.268	0.195	0.007	0.005	0.428	
0:0:23.497	0.004	0.011	0.989	0.196	0.006	0.006	0.376	
0:0:23.640	0.004	0.010	1.729	0.198	0.007	0.006	0.402	
0:0:23.793	0.004	0.013	2.301	0.200	0.007	0.006	0.335	
0:0:23.948	0.004	0.013	1.746	0.200	0.006	0.006	0.320	
0:0:24.113	0.003	0.016	1.225	0.198	0.005	0.006	0.279	
0:0:24.270	0.003	0.018	0.869	0.197	0.004	0.006	0.254	
0:0:24.427	0.003	0.019	0.955	0.196	0.004	0.006	0.244	
0:0:24.578	0.003	0.017	2.053	0.196	0.004	0.006	0.269	
0:0:24.746	0.003	0.017	1.958	0.195	0.004	0.006	0.265	
0:0:24.955	0.003	0.018	1.264	0.197	0.004	0.006	0.253	
0:0:25.120	0.003	0.017	1.328	0.197	0.005	0.006	0.267	
0:0:25.370	0.003	0.017	0.962	0.198	0.005	0.006	0.264	
0:0:25.538	0.003	0.016	0.878	0.195	0.004	0.006	0.279	
0:0:25.714	0.003	0.019	0.812	0.194	0.004	0.006	0.244	
0:0:25.877	0.003	0.020	1.103	0.194	0.004	0.005	0.232	
0:0:26.039	0.003	0.021	1.661	0.194	0.003	0.005	0.224	
0:0:26.213	0.003	0.022	4.606	0.194	0.003	0.006	0.218	
0:0:26.402	0.003	0.023	11.401	0.196	0.003	0.006	0.212	
0:0:26.562	0.003	0.025	5.503	0.199	0.004	0.006	0.195	
0:0:26.710	0.003	0.024	3.889	0.197	0.003	0.006	0.202	
0:0:26.859	0.003	0.023	1.179	0.196	0.003	0.006	0.210	
0:0:27.051	0.003	0.022	0.639	0.195	0.003	0.005	0.215	
0:0:27.253	0.003	0.022	0.682	0.194	0.003	0.005	0.218	
0:0:27.517	0.003	0.022	2.044	0.195	0.003	0.006	0.219	
0:0:27.996	0.003	0.023	5.412	0.196	0.003	0.006	0.210	
0:0:28.184	0.003	0.022	6.918	0.195	0.003	0.005	0.217	
0:0:30.251	0.003	0.025	2.975	0.196	0.003	0.005	0.200	
0:0:30.783	0.003	0.029	9.638	0.202	0.004	0.006	0.175	
0:0:31.144	0.003	0.027	1.829	0.200	0.003	0.006	0.182	
0:0:31.399	0.002	0.034	5.633	0.213	0.004	0.006	0.151	
0:0:31.651	0.002	0.038	1.466	0.220	0.005	0.007	0.138	
0:0:31.995	0.003	0.027	0.754	0.202	0.004	0.006	0.184	
0:0:32.275	0.002	0.039	0.680	0.223	0.005	0.007	0.135	
0:0:32.488	0.003	0.026	1.098	0.205	0.004	0.006	0.187	
0:0:32.697	0.003	0.022	1.315	0.196	0.003	0.006	0.212	
0:0:32.988	0.003	0.022	2.609	0.194	0.003	0.005	0.215	
0:0:33.243	0.003	0.023	9.213	0.198	0.004	0.006	0.205	
0:0:33.441	0.003	0.023	11.255	0.198	0.004	0.006	0.213	
0:0:33.687	0.003	0.023	4.074	0.198	0.004	0.006	0.208	
0:0:33.987	0.003	0.021	3.427	0.195	0.004	0.005	0.231	
0:0:34.192	0.003	0.022	4.632	0.197	0.004	0.006	0.222	
0:0:34.377	0.003	0.020	4.354	0.199	0.004	0.006	0.232	
