date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:29.715	0.003	0.024	0.446	0.195	0.003	0.005	0.203	
0:0:30.261	0.006	0.016	0.314	0.118	0.003	0.004	0.200	
0:0:33.781	0.003	0.006	0.127	0.194	0.058	0.005	0.202	
0:0:34.623	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:50.242	0.003	0.024	0.437	0.194	0.003	0.005	0.205	
0:0:50.301	0.003	0.018	0.519	0.200	0.004	0.005	0.258	
0:0:52.111	0.006	0.007	1.376	0.197	0.021	0.001	7.217	
0:0:53.040	0.003	0.018	0.609	0.211	0.006	0.001	1.917	
0:0:53.563	0.003	0.013	0.123	0.416	0.008	0.005	0.241	
0:0:53.917	0.003	0.018	0.160	0.249	0.006	0.004	0.264	
0:0:54.254	0.003	0.028	0.490	0.203	0.004	0.005	0.241	
0:0:54.611	0.004	0.014	0.721	0.195	0.006	0.003	0.694	
0:0:54.859	0.003	0.092	0.534	0.196	0.002	0.005	0.571	
0:0:55.121	0.004	0.255	0.894	0.196	0.002	0.005	1.640	
0:0:55.353	0.003	0.133	0.549	0.196	0.002	0.005	0.560	
0:0:55.816	0.003	0.034	0.514	0.198	0.003	0.005	0.276	
0:0:56.022	0.003	0.027	0.538	0.195	0.004	0.005	0.256	
0:0:56.351	0.003	0.032	0.574	0.194	0.005	0.006	0.245	
0:0:56.675	0.003	0.023	0.756	0.194	0.008	0.005	0.268	
0:0:56.894	0.003	0.017	0.921	0.194	0.007	0.005	0.287	
0:0:57.133	0.004	0.012	1.009	0.194	0.009	0.005	0.391	
0:0:57.406	0.007	0.004	1.649	0.194	0.019	0.005	1.042	
0:0:57.740	0.007	0.004	1.740	0.195	0.020	0.005	1.053	
0:0:58.355	0.010	0.002	2.371	0.195	0.063	0.005	1.744	
0:0:58.633	0.010	0.002	3.257	0.194	0.057	0.005	1.691	
0:0:58.857	0.010	0.002	3.764	0.194	0.045	0.005	2.028	
0:0:59.115	0.010	0.003	4.613	0.194	0.033	0.005	2.272	
0:0:59.452	0.003	0.011	3.555	0.196	0.002	0.003	20.621	
0:0:59.728	0.003	0.085	2.463	0.195	0.001	0.004	25.739	
0:0:59.949	0.002	0.350	0.825	0.195	0.001	0.006	5.137	
0:1:0.241	0.002	0.722	0.548	0.195	0.001	0.008	1.553	
0:1:0.407	0.002	0.722	0.515	0.196	0.001	0.008	1.464	
0:1:0.540	0.002	1.137	0.464	0.194	0.001	0.008	1.664	
0:1:0.827	0.002	0.550	0.467	0.195	0.001	0.005	3.110	
0:1:1.002	0.001	0.453	0.448	0.196	0.001	0.004	5.825	
0:1:1.143	0.001	0.183	0.434	0.197	0.001	0.003	4.810	
