date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:18.737	0.005	0.008	11.344	0.195	0.008	0.005	0.486	
0:0:22.587	0.003	0.017	0.623	0.194	0.004	0.005	0.270	
0:0:23.398	0.004	0.008	0.870	0.194	0.008	0.005	0.480	
0:0:23.948	0.002	0.027	0.873	0.263	0.026	0.006	0.234	
0:0:24.396	0.003	0.016	0.617	0.197	0.005	0.006	0.286	
0:0:24.793	0.003	0.024	0.450	0.195	0.003	0.006	0.193	
0:0:25.353	0.002	0.038	0.414	0.218	0.005	0.007	0.133	
0:0:25.645	0.002	0.043	0.443	0.224	0.005	0.007	0.124	
0:0:25.902	0.002	0.060	0.499	0.251	0.012	0.008	0.094	
0:0:26.113	0.002	0.034	0.521	0.218	0.007	0.007	0.149	
0:0:26.322	0.002	0.032	0.581	0.213	0.007	0.006	0.157	
0:0:26.591	0.003	0.014	0.735	0.201	0.009	0.006	0.299	
0:0:26.871	0.003	0.019	0.537	0.197	0.004	0.006	0.234	
0:0:27.076	0.003	0.020	0.515	0.196	0.004	0.006	0.233	
0:0:27.291	0.003	0.023	0.460	0.195	0.003	0.006	0.209	
0:0:27.501	0.003	0.023	0.449	0.195	0.003	0.006	0.204	
0:0:27.698	0.003	0.025	0.435	0.194	0.003	0.006	0.196	
0:0:27.871	0.003	0.024	0.437	0.194	0.003	0.006	0.199	
0:0:28.072	0.003	0.025	0.437	0.194	0.003	0.006	0.198	
0:0:28.254	0.003	0.024	0.435	0.194	0.003	0.005	0.200	
0:0:28.439	0.003	0.023	0.442	0.194	0.003	0.005	0.211	
0:0:28.637	0.003	0.023	0.454	0.194	0.003	0.005	0.214	
0:0:28.836	0.003	0.020	0.491	0.194	0.003	0.005	0.246	
0:0:29.005	0.003	0.021	0.468	0.194	0.003	0.005	0.249	
0:0:29.190	0.002	0.016	0.511	0.194	0.004	0.004	0.414	
0:0:29.400	0.003	0.020	0.542	0.195	0.013	0.004	0.303	
0:0:29.592	0.003	0.018	0.687	0.194	0.003	0.003	0.393	
0:0:29.787	0.003	0.020	0.906	0.194	0.003	0.004	0.340	
0:0:29.959	0.003	0.020	1.089	0.194	0.003	0.002	0.522	
0:0:30.114	0.003	0.016	1.412	0.195	0.004	0.002	0.760	
0:0:30.273	0.003	0.016	1.214	0.195	0.004	0.002	0.712	
0:0:30.424	0.003	0.015	1.519	0.198	0.005	0.002	0.797	
0:0:31.119	0.003	0.016	2.531	0.196	0.004	0.001	1.091	
0:0:31.463	0.001	0.003	0.445	0.199	0.001	0.002	4.461	
0:0:31.717	0.001	1.032	12.771	0.155	0.001	0.002	57.246	
0:0:32.008	0.001	1.314	0.641	0.182	0.001	0.002	64.447	
0:0:32.301	0.001	0.003	0.434	0.194	0.001	0.001	24.443	
0:0:32.554	0.001	0.003	0.572	0.194	0.001	0.001	25.067	
0:0:32.777	0.001	0.003	1.769	0.194	0.001	0.001	16.880	
0:0:33.014	0.008	0.003	34.820	0.194	0.025	0.002	3.053	
0:0:33.232	0.008	0.003	38.049	0.195	0.024	0.002	3.292	
0:0:33.396	0.007	0.004	47.778	0.197	0.022	0.001	5.951	
0:0:33.582	0.004	0.013	27.608	0.196	0.005	0.001	1.823	
0:0:33.774	0.003	0.016	25.600	0.195	0.005	0.001	1.629	
0:0:33.999	0.003	0.019	27.460	0.194	0.004	0.001	1.278	
0:0:34.201	0.003	0.020	24.547	0.194	0.003	0.001	1.079	
0:0:34.395	0.003	0.019	24.454	0.195	0.003	0.001	1.507	
0:0:34.553	0.003	0.015	31.410	0.195	0.005	0.001	1.922	
0:0:34.719	0.003	0.016	19.370	0.201	0.005	0.001	1.694	
0:0:34.896	0.003	0.017	8.254	0.201	0.005	0.001	1.725	
0:0:35.097	0.004	0.010	4.796	0.199	0.007	0.001	2.526	
0:0:35.310	0.003	0.016	0.751	0.199	0.005	0.001	1.210	
0:0:35.496	0.003	0.022	0.440	0.195	0.003	0.004	0.280	
0:0:35.768	0.003	0.023	0.371	0.197	0.004	0.005	0.197	
0:0:35.997	0.003	0.025	0.446	0.198	0.003	0.006	0.191	
0:0:36.277	0.003	0.025	0.417	0.197	0.003	0.006	0.193	
0:0:36.457	0.003	0.025	0.430	0.198	0.003	0.006	0.192	
0:0:36.623	0.003	0.026	0.441	0.201	0.003	0.006	0.185	
0:0:36.798	0.002	0.082	0.471	0.281	0.010	0.009	0.073	
0:0:37.012	0.001	8.427	0.443	0.924	1.766	0.068	0.003	
0:0:37.224	0.001	0.116	0.431	0.323	0.016	0.010	0.054	
0:0:37.504	0.003	0.028	0.431	0.260	0.004	0.006	0.173	
