date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:13.467	0.004	0.008	1.919	0.196	0.009	0.006	0.480	
0:0:21.873	0.004	0.009	0.812	0.194	0.007	0.006	0.442	
0:0:24.115	0.003	0.023	0.467	0.198	0.005	0.006	0.206	
0:0:26.309	0.002	0.038	0.209	2.330	0.050	0.011	0.111	
0:0:27.557	0.004	0.009	0.932	0.208	0.009	0.006	0.449	
0:0:27.858	0.006	0.005	1.355	0.201	0.016	0.006	0.821	
0:0:28.076	0.005	0.007	0.992	0.201	0.011	0.006	0.575	
0:0:28.422	0.006	0.005	1.114	0.197	0.013	0.006	0.685	
0:0:28.687	0.007	0.003	1.534	0.196	0.022	0.006	1.070	
0:0:28.900	0.007	0.003	1.590	0.198	0.025	0.006	1.074	
0:0:29.098	0.007	0.004	1.452	0.196	0.021	0.005	1.010	
0:0:29.423	0.005	0.006	1.056	0.195	0.011	0.005	0.658	
0:0:29.803	0.005	0.007	0.912	0.195	0.009	0.005	0.547	
0:0:30.015	0.006	0.005	1.154	0.195	0.014	0.005	0.755	
0:0:30.265	0.006	0.005	1.170	0.197	0.014	0.006	0.705	
0:0:30.627	0.008	0.003	1.670	0.197	0.026	0.005	1.218	
0:0:31.312	0.006	0.004	1.522	0.195	0.018	0.005	0.902	
0:0:32.240	0.001	0.107	0.847	0.387	0.159	0.016	0.058	
0:0:32.812	0.002	0.095	0.478	0.290	0.016	0.010	0.065	
0:0:33.102	0.002	0.057	0.519	0.263	0.012	0.009	0.096	
0:0:33.470	0.003	0.018	0.502	0.198	0.004	0.006	0.249	
0:0:33.796	0.003	0.016	0.454	0.195	0.004	0.005	0.271	
0:0:34.101	0.004	0.009	0.783	0.195	0.007	0.005	0.462	
0:0:34.382	0.004	0.010	0.798	0.198	0.007	0.006	0.407	
0:0:34.564	0.003	0.015	0.605	0.198	0.005	0.006	0.286	
0:0:34.770	0.003	0.020	0.597	0.212	0.006	0.006	0.228	
0:0:34.985	0.003	0.017	0.611	0.206	0.006	0.006	0.259	
0:0:35.195	0.003	0.025	0.521	0.211	0.005	0.006	0.190	
0:0:35.398	0.003	0.018	0.605	0.205	0.005	0.006	0.244	
0:0:35.593	0.003	0.016	0.669	0.207	0.006	0.006	0.267	
0:0:35.797	0.004	0.012	0.704	0.199	0.006	0.006	0.343	
0:0:35.996	0.004	0.010	0.803	0.201	0.008	0.006	0.402	
0:0:36.154	0.005	0.007	0.980	0.199	0.010	0.006	0.518	
0:0:36.816	0.007	0.003	1.627	0.197	0.024	0.006	1.085	
0:0:37.019	0.006	0.004	1.444	0.199	0.021	0.006	0.911	
0:0:37.220	0.005	0.006	1.029	0.197	0.012	0.006	0.601	
0:0:37.443	0.008	0.003	1.669	0.196	0.025	0.006	1.165	
0:0:37.616	0.008	0.003	1.895	0.195	0.030	0.006	1.326	
0:0:37.788	0.008	0.003	1.938	0.196	0.031	0.006	1.344	
0:0:37.978	0.009	0.003	1.997	0.195	0.036	0.006	1.507	
0:0:38.203	0.010	0.002	2.164	0.194	0.041	0.005	1.796	
0:0:38.464	0.010	0.002	2.043	0.194	0.036	0.005	1.645	
0:0:38.739	0.009	0.003	1.803	0.194	0.029	0.005	1.402	
0:0:39.037	0.008	0.003	1.710	0.194	0.023	0.005	1.147	
0:0:39.211	0.008	0.003	1.802	0.195	0.026	0.005	1.232	
0:0:39.413	0.007	0.003	1.593	0.199	0.026	0.006	1.087	
0:0:39.791	0.004	0.007	2.159	0.270	0.151	0.009	0.546	
0:0:39.996	0.005	0.005	1.714	0.233	0.063	0.007	0.703	
0:0:40.207	0.007	0.003	2.001	0.210	0.052	0.006	1.264	
0:0:40.516	0.010	0.002	2.264	0.196	0.046	0.005	1.890	
0:0:40.886	0.010	0.002	2.042	0.195	0.037	0.005	1.685	
0:0:41.098	0.011	0.002	2.273	0.195	0.045	0.005	2.006	
0:0:41.313	0.009	0.002	2.164	0.198	0.042	0.005	1.648	
0:0:41.501	0.008	0.003	2.043	0.203	0.044	0.006	1.446	
0:0:41.687	0.007	0.003	1.837	0.209	0.043	0.006	1.157	
0:0:41.884	0.007	0.004	1.429	0.196	0.021	0.005	0.990	
0:0:42.089	0.006	0.004	1.312	0.196	0.016	0.005	0.838	
0:0:42.265	0.004	0.011	0.735	0.195	0.006	0.006	0.383	
0:0:42.422	0.003	0.021	0.491	0.198	0.004	0.006	0.220	
0:0:42.849	0.003	0.028	0.379	0.203	0.004	0.006	0.169	
0:0:43.211	0.003	0.025	0.365	0.198	0.004	0.006	0.183	
0:0:43.409	0.003	0.024	0.326	0.196	0.004	0.006	0.187	
0:0:43.628	0.003	0.021	0.245	0.195	0.005	0.006	0.190	
0:0:43.819	0.003	0.022	0.275	0.195	0.004	0.006	0.192	
0:0:44.002	0.003	0.024	0.340	0.196	0.004	0.006	0.188	
0:0:46.742	0.003	0.020	0.452	0.203	0.003	0.006	0.215	
0:0:47.617	0.001	2.075	0.439	0.607	0.338	0.036	0.006	
0:0:48.589	0.003	0.022	0.474	0.197	0.004	0.006	0.211	
0:0:48.962	0.004	0.012	0.784	0.209	0.009	0.006	0.344	
0:0:49.325	0.002	0.038	0.646	0.262	0.018	0.009	0.131	
0:0:49.642	0.001	0.941	0.543	0.536	0.291	0.029	0.011	
0:0:49.941	0.001	0.975	0.627	0.566	0.451	0.032	0.011	
0:0:50.384	0.002	0.028	0.565	0.225	0.007	0.007	0.173	
0:0:50.681	0.003	0.016	0.582	0.196	0.005	0.006	0.281	
0:0:50.996	0.003	0.019	0.471	0.196	0.004	0.006	0.234	
0:0:51.312	0.003	0.025	0.447	0.216	0.006	0.006	0.180	
0:0:51.516	0.003	0.021	0.539	0.210	0.006	0.006	0.219	
0:0:51.782	0.002	0.027	0.534	0.223	0.007	0.007	0.177	
0:0:52.351	0.003	0.021	0.555	0.210	0.006	0.006	0.224	
0:0:52.652	0.004	0.012	0.729	0.201	0.007	0.006	0.367	
0:0:52.954	0.004	0.011	0.718	0.196	0.006	0.005	0.393	
0:0:53.310	0.004	0.010	0.684	0.195	0.006	0.005	0.393	
0:0:53.606	0.004	0.012	0.650	0.195	0.005	0.005	0.344	
0:0:53.948	0.003	0.018	0.539	0.196	0.004	0.005	0.258	
0:0:54.279	0.003	0.015	0.566	0.195	0.004	0.005	0.287	
0:0:54.597	0.003	0.015	0.571	0.194	0.004	0.005	0.291	
0:0:54.854	0.003	0.015	0.570	0.197	0.005	0.005	0.291	
0:0:55.050	0.003	0.016	0.529	0.196	0.004	0.005	0.282	
0:0:55.280	0.003	0.014	0.517	0.198	0.005	0.005	0.306	
0:0:55.581	0.004	0.010	0.780	0.197	0.007	0.005	0.437	
0:0:55.825	0.005	0.007	0.910	0.195	0.009	0.005	0.554	
0:0:56.036	0.005	0.007	0.924	0.195	0.009	0.005	0.561	
0:0:56.337	0.005	0.008	0.833	0.195	0.008	0.005	0.503	
0:0:56.589	0.004	0.012	0.635	0.194	0.005	0.005	0.346	
0:0:56.798	0.004	0.011	0.674	0.195	0.006	0.005	0.365	
0:0:56.963	0.004	0.014	0.616	0.196	0.005	0.005	0.319	
0:0:57.179	0.004	0.012	0.656	0.196	0.006	0.006	0.343	
0:0:57.372	0.004	0.009	0.759	0.196	0.007	0.006	0.426	
0:0:57.580	0.004	0.009	0.806	0.195	0.007	0.006	0.437	
0:0:57.776	0.004	0.008	0.870	0.197	0.009	0.006	0.477	
0:0:57.947	0.005	0.006	1.024	0.196	0.011	0.005	0.617	
0:0:58.132	0.005	0.007	0.927	0.195	0.009	0.005	0.536	
0:0:58.337	0.005	0.006	0.994	0.196	0.011	0.005	0.597	
0:0:58.534	0.005	0.005	1.109	0.197	0.014	0.006	0.694	
0:0:58.714	0.006	0.004	1.305	0.200	0.019	0.005	0.855	
0:0:58.888	0.006	0.005	1.228	0.200	0.017	0.005	0.778	
0:0:59.064	0.005	0.007	0.963	0.198	0.011	0.005	0.572	
0:0:59.348	0.006	0.004	1.325	0.195	0.017	0.005	0.937	
0:0:59.555	0.007	0.004	1.386	0.195	0.019	0.005	1.008	
0:0:59.711	0.007	0.004	1.344	0.195	0.018	0.005	0.940	
0:0:59.892	0.005	0.006	1.128	0.201	0.015	0.006	0.657	
0:1:0.083	0.004	0.008	0.902	0.199	0.010	0.006	0.495	
0:1:0.263	0.004	0.013	0.687	0.201	0.007	0.006	0.333	
0:1:0.420	0.003	0.016	0.594	0.198	0.005	0.006	0.271	
0:1:0.620	0.003	0.023	0.540	0.206	0.005	0.006	0.205	
0:1:1.238	0.002	0.057	0.469	0.252	0.009	0.008	0.098	
0:1:1.412	0.002	0.030	0.530	0.225	0.007	0.007	0.164	
0:1:1.573	0.003	0.026	0.496	0.210	0.005	0.006	0.185	
0:1:1.760	0.003	0.024	0.474	0.200	0.004	0.006	0.203	
0:1:2.030	0.003	0.022	0.469	0.196	0.003	0.006	0.214	
0:1:2.263	0.003	0.024	0.472	0.201	0.004	0.006	0.202	
0:1:2.446	0.003	0.026	0.450	0.201	0.004	0.006	0.190	
0:1:2.666	0.002	0.031	0.461	0.212	0.004	0.006	0.166	
0:1:2.879	0.002	0.032	0.470	0.215	0.005	0.006	0.159	
0:1:3.043	0.003	0.026	0.473	0.205	0.004	0.006	0.189	
0:1:3.214	0.002	0.031	0.472	0.213	0.005	0.006	0.165	
0:1:3.378	0.002	0.039	0.451	0.222	0.005	0.007	0.136	
0:1:3.557	0.002	0.045	0.457	0.232	0.006	0.007	0.120	
0:1:3.713	0.002	0.039	0.485	0.229	0.006	0.007	0.135	
0:1:3.862	0.003	0.028	0.473	0.209	0.004	0.006	0.175	
0:1:6.139	0.003	0.026	0.454	0.198	0.003	0.006	0.187	
0:1:6.971	0.001	0.242	0.489	0.364	0.044	0.015	0.032	
0:1:7.525	0.001	0.168	0.509	0.340	0.038	0.013	0.042	
0:1:7.874	0.002	0.032	0.505	0.223	0.006	0.007	0.157	
0:1:8.275	0.003	0.016	0.573	0.196	0.005	0.006	0.282	
0:1:8.552	0.004	0.009	0.794	0.194	0.007	0.005	0.444	
0:1:8.808	0.004	0.012	0.660	0.194	0.005	0.005	0.350	
0:1:9.290	0.004	0.011	0.715	0.194	0.006	0.005	0.391	
0:1:9.601	0.004	0.010	0.740	0.194	0.007	0.005	0.422	
0:1:9.861	0.005	0.008	0.830	0.194	0.008	0.005	0.488	
0:1:10.119	0.004	0.010	0.745	0.194	0.007	0.005	0.420	
0:1:10.330	0.004	0.011	0.696	0.195	0.006	0.005	0.380	
0:1:10.589	0.003	0.015	0.597	0.195	0.005	0.005	0.300	
0:1:10.958	0.003	0.017	0.557	0.195	0.004	0.005	0.279	
0:1:11.306	0.003	0.017	0.544	0.195	0.004	0.005	0.276	
0:1:11.513	0.003	0.020	0.494	0.194	0.004	0.005	0.243	
0:1:11.739	0.003	0.019	0.505	0.195	0.004	0.005	0.249	
0:1:11.995	0.003	0.022	0.460	0.195	0.003	0.005	0.214	
0:1:12.192	0.003	0.022	0.473	0.197	0.004	0.005	0.218	
0:1:12.410	0.003	0.023	0.500	0.199	0.004	0.006	0.213	
0:1:12.626	0.003	0.023	0.498	0.202	0.004	0.006	0.208	
0:1:13.231	0.002	0.052	0.549	0.262	0.013	0.009	0.104	
0:1:13.412	0.001	0.381	0.522	0.415	0.088	0.019	0.022	
0:1:13.580	0.001	0.124	0.491	0.302	0.018	0.011	0.053	
0:1:13.767	0.001	0.159	0.495	0.330	0.030	0.013	0.043	
0:1:13.938	0.002	0.084	0.516	0.284	0.016	0.010	0.072	
0:1:14.103	0.002	0.080	0.544	0.285	0.018	0.010	0.075	
0:1:14.271	0.002	0.068	0.557	0.278	0.017	0.010	0.085	
0:1:14.431	0.001	0.106	0.574	0.315	0.031	0.012	0.060	
0:1:14.601	0.002	0.047	0.693	0.279	0.025	0.009	0.113	
0:1:14.752	0.001	0.150	0.799	0.386	0.117	0.016	0.045	
0:1:14.915	0.001	0.097	0.611	0.315	0.032	0.012	0.064	
0:1:15.111	0.002	0.032	0.561	0.233	0.009	0.007	0.157	
0:1:15.325	0.002	0.030	0.525	0.222	0.006	0.007	0.167	
0:1:15.484	0.002	0.035	0.509	0.225	0.006	0.007	0.149	
0:1:15.655	0.002	0.093	0.530	0.285	0.015	0.010	0.067	
0:1:15.815	0.002	0.091	0.502	0.276	0.012	0.009	0.069	
0:1:15.968	0.002	0.046	0.486	0.232	0.006	0.007	0.117	
0:1:16.128	0.002	0.047	0.509	0.233	0.006	0.007	0.116	
0:1:16.299	0.002	0.039	0.508	0.223	0.005	0.007	0.135	
0:1:16.448	0.002	0.043	0.461	0.227	0.005	0.007	0.124	
0:1:16.609	0.002	0.035	0.455	0.215	0.004	0.006	0.147	
0:1:16.775	0.002	0.038	0.469	0.219	0.005	0.007	0.139	
0:1:16.972	0.003	0.027	0.466	0.202	0.004	0.006	0.184	
0:1:17.129	0.003	0.025	0.455	0.199	0.003	0.006	0.192	
0:1:17.293	0.003	0.023	0.467	0.197	0.003	0.006	0.206	
0:1:17.478	0.003	0.020	0.576	0.198	0.004	0.006	0.228	
0:1:17.694	0.002	0.029	0.500	0.216	0.005	0.006	0.171	
0:1:17.854	0.002	0.069	0.502	0.268	0.012	0.009	0.085	
0:1:18.075	0.001	0.198	0.526	0.346	0.035	0.013	0.037	
0:1:18.277	0.001	0.109	0.536	0.303	0.021	0.011	0.059	
0:1:18.441	0.002	0.045	0.487	0.234	0.007	0.007	0.120	
0:1:18.605	0.003	0.029	0.460	0.205	0.004	0.006	0.173	
0:1:18.935	0.002	0.034	0.463	0.214	0.004	0.006	0.152	
0:1:19.088	0.002	0.032	0.460	0.211	0.004	0.006	0.156	
0:1:19.282	0.001	0.253	0.446	0.350	0.030	0.014	0.030	
0:1:19.471	0.002	0.092	0.436	0.271	0.010	0.009	0.068	
0:1:19.647	0.001	0.107	0.434	0.282	0.012	0.010	0.060	
0:1:19.811	0.002	0.034	0.421	0.211	0.004	0.006	0.150	
0:1:19.990	0.003	0.030	0.422	0.204	0.004	0.006	0.167	
0:1:20.151	0.002	0.034	0.441	0.211	0.004	0.006	0.151	
0:1:20.378	0.002	0.038	0.482	0.218	0.004	0.007	0.137	
0:1:20.566	0.002	0.057	0.459	0.242	0.007	0.008	0.098	
0:1:20.726	0.002	0.044	0.458	0.230	0.005	0.007	0.117	
0:1:20.893	0.002	0.036	0.501	0.217	0.005	0.007	0.144	
0:1:22.605	0.001	0.301	0.468	0.383	0.045	0.016	0.027	
