date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:12.788	0.003	0.024	0.450	0.200	0.003	0.006	0.203	
0:0:15.548	0.011	0.002	2.462	0.194	0.053	0.004	2.451	
0:0:16.417	0.012	0.002	2.982	0.194	0.056	0.003	3.883	
0:0:16.847	0.011	0.002	2.545	0.195	0.050	0.002	6.712	
0:0:17.250	0.011	0.002	2.324	0.194	0.051	0.004	2.721	
0:0:17.699	0.008	0.003	1.663	0.195	0.027	0.005	1.314	
0:0:17.956	0.008	0.003	1.592	0.194	0.024	0.005	1.197	
0:0:18.388	0.009	0.002	2.155	0.194	0.035	0.005	1.611	
0:0:18.684	0.010	0.002	2.086	0.195	0.038	0.005	1.658	
0:0:18.913	0.011	0.002	2.367	0.194	0.047	0.005	2.118	
0:0:19.170	0.010	0.002	2.249	0.194	0.043	0.005	1.925	
0:0:19.406	0.010	0.002	2.258	0.195	0.044	0.005	1.882	
0:0:19.683	0.010	0.002	2.235	0.198	0.049	0.005	1.800	
0:0:19.921	0.010	0.002	2.160	0.198	0.047	0.005	1.736	
0:0:20.154	0.009	0.002	1.987	0.196	0.037	0.005	1.594	
0:0:20.410	0.009	0.002	2.087	0.197	0.041	0.005	1.689	
0:0:20.640	0.009	0.003	1.822	0.195	0.031	0.005	1.472	
0:0:20.886	0.009	0.002	1.960	0.196	0.034	0.005	1.669	
0:0:21.087	0.009	0.003	1.833	0.195	0.029	0.005	1.511	
0:0:21.338	0.010	0.002	2.091	0.196	0.039	0.005	1.798	
0:0:21.604	0.009	0.003	1.918	0.200	0.037	0.005	1.474	
0:0:21.864	0.008	0.003	1.817	0.202	0.035	0.006	1.328	
0:0:22.104	0.007	0.003	1.703	0.207	0.035	0.006	1.079	
0:0:22.329	0.006	0.004	1.692	0.208	0.031	0.006	0.954	
0:0:22.487	0.005	0.005	1.668	0.223	0.046	0.007	0.788	
0:0:22.683	0.008	0.003	1.613	0.196	0.025	0.006	1.152	
0:0:22.909	0.008	0.003	1.802	0.194	0.028	0.005	1.321	
0:0:23.074	0.008	0.003	1.703	0.194	0.025	0.005	1.245	
0:0:23.225	0.008	0.003	1.768	0.194	0.026	0.005	1.287	
0:0:23.402	0.008	0.003	1.816	0.194	0.027	0.005	1.308	
0:0:23.577	0.007	0.004	1.405	0.194	0.019	0.005	0.958	
0:0:23.737	0.006	0.005	1.235	0.195	0.016	0.005	0.819	
0:0:23.940	0.006	0.005	1.136	0.196	0.014	0.006	0.734	
0:0:24.099	0.006	0.004	1.282	0.196	0.019	0.005	0.869	
0:0:24.259	0.007	0.004	1.308	0.198	0.019	0.005	0.884	
0:0:24.417	0.006	0.004	1.272	0.199	0.017	0.006	0.849	
0:0:24.568	0.007	0.004	1.473	0.197	0.022	0.005	1.028	
0:0:24.727	0.008	0.003	1.689	0.197	0.027	0.005	1.199	
0:0:24.908	0.009	0.003	1.867	0.195	0.032	0.005	1.431	
0:0:25.064	0.010	0.002	2.138	0.195	0.039	0.005	1.712	
0:0:25.211	0.007	0.004	1.565	0.195	0.019	0.005	1.022	
0:0:25.366	0.007	0.004	1.604	0.194	0.018	0.005	0.962	
0:0:25.521	0.006	0.004	1.454	0.194	0.015	0.005	0.849	
0:0:25.677	0.005	0.006	1.439	0.194	0.011	0.005	0.641	
0:0:25.843	0.006	0.005	1.509	0.194	0.014	0.006	0.783	
0:0:25.997	0.005	0.006	1.128	0.194	0.011	0.006	0.659	
0:0:26.149	0.005	0.007	0.911	0.194	0.009	0.006	0.528	
0:0:26.302	0.007	0.004	1.309	0.194	0.017	0.006	0.908	
0:0:26.468	0.006	0.005	1.208	0.194	0.014	0.006	0.814	
0:0:26.610	0.006	0.004	1.254	0.194	0.015	0.006	0.841	
0:0:26.793	0.005	0.007	0.935	0.194	0.009	0.006	0.562	
0:0:26.972	0.004	0.012	0.659	0.194	0.005	0.006	0.349	
0:0:27.131	0.004	0.012	0.675	0.194	0.006	0.006	0.357	
0:0:27.293	0.004	0.012	0.678	0.194	0.005	0.006	0.355	
0:0:27.446	0.004	0.011	0.697	0.194	0.006	0.005	0.364	
0:0:27.621	0.004	0.013	0.822	0.194	0.005	0.005	0.340	
0:0:27.802	0.004	0.009	0.942	0.194	0.007	0.005	0.432	
0:0:27.952	0.004	0.009	0.837	0.195	0.007	0.005	0.465	
0:0:28.151	0.004	0.008	0.913	0.195	0.008	0.005	0.473	
0:0:28.379	0.005	0.007	0.971	0.194	0.009	0.005	0.524	
0:0:28.561	0.005	0.008	0.943	0.195	0.008	0.005	0.495	
0:0:28.748	0.005	0.007	1.068	0.195	0.010	0.005	0.573	
0:0:28.911	0.005	0.006	1.208	0.194	0.012	0.006	0.663	
0:0:29.060	0.005	0.007	0.989	0.194	0.010	0.006	0.548	
0:0:29.556	0.005	0.007	1.447	0.194	0.009	0.006	0.534	
