date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:9.347	0.004	0.011	16.365	0.194	0.006	0.005	0.378	
0:0:13.776	0.003	0.023	0.307	0.199	0.004	0.006	0.191	
0:0:14.710	0.005	0.017	0.399	0.147	0.003	0.004	0.216	
0:0:15.143	0.003	0.025	0.448	0.198	0.003	0.006	0.194	
0:0:15.446	0.001	13.655	0.608	0.983	2.860	0.083	0.002	
0:0:15.729	0.002	0.018	2.345	0.235	0.012	0.007	0.263	
0:0:16.177	0.004	0.001	2.435	0.194	0.006	0.002	13.493	
0:0:16.527	0.010	0.002	3.929	0.194	0.036	0.005	3.143	
0:0:16.799	0.003	0.007	4.231	0.194	0.004	0.004	0.784	
0:0:16.991	0.005	0.001	5.211	0.194	0.012	0.003	7.920	
0:0:17.159	0.005	0.002	5.321	0.194	0.011	0.003	4.056	
0:0:17.354	0.006	0.002	2.511	0.194	0.014	0.003	4.359	
0:0:17.579	0.004	0.001	15.640	0.194	0.007	0.002	12.778	
0:0:17.794	0.004	0.002	10.598	0.194	0.006	0.002	8.272	
0:0:18.034	0.002	0.005	0.774	0.194	0.001	0.002	3.034	
0:0:18.261	0.003	0.005	0.534	0.197	0.004	0.005	0.258	
0:0:18.478	0.003	0.008	0.420	0.201	0.003	0.006	0.176	
0:0:18.695	0.003	0.022	0.273	0.197	0.004	0.006	0.183	
0:0:18.922	0.003	0.025	0.513	0.194	0.003	0.005	0.198	
0:0:19.149	0.003	0.022	0.587	0.194	0.003	0.005	0.208	
0:0:19.341	0.002	0.019	0.992	0.194	0.002	0.004	0.311	
0:0:19.550	0.003	0.020	6.571	0.194	0.003	0.005	0.264	
0:0:19.713	0.003	0.021	0.561	0.194	0.003	0.005	0.239	
0:0:19.872	0.003	0.021	0.447	0.195	0.003	0.005	0.206	
0:0:20.042	0.003	0.024	0.525	0.195	0.003	0.005	0.202	
0:0:20.231	0.003	0.022	4.289	0.194	0.003	0.005	0.219	
0:0:20.448	0.002	0.017	60.730	0.194	0.002	0.004	0.356	
0:0:20.622	0.003	0.010	16.402	0.194	0.004	0.004	0.534	
0:0:20.774	0.006	0.002	10.464	0.194	0.015	0.004	2.311	
0:0:20.943	0.009	0.002	2.975	0.194	0.032	0.005	2.186	
0:0:21.111	0.007	0.004	1.409	0.197	0.020	0.005	0.973	
0:0:21.267	0.005	0.007	0.923	0.197	0.010	0.005	0.559	
0:0:21.431	0.003	0.012	0.414	0.207	0.008	0.006	0.313	
0:0:21.866	0.003	0.026	0.441	0.285	0.003	0.006	0.191	
0:0:22.038	0.003	0.025	0.417	0.282	0.003	0.006	0.194	
0:0:22.197	0.003	0.023	0.361	0.237	0.003	0.005	0.198	
0:0:22.337	0.003	0.024	0.396	0.250	0.003	0.006	0.197	
0:0:22.488	0.003	0.024	0.485	0.210	0.003	0.005	0.198	
0:0:22.636	0.003	0.024	0.541	0.215	0.003	0.006	0.200	
0:0:22.780	0.003	0.024	0.453	0.206	0.003	0.006	0.201	
0:0:22.921	0.003	0.023	0.461	0.214	0.003	0.006	0.209	
0:0:23.068	0.003	0.023	0.490	0.204	0.003	0.006	0.209	
0:0:23.213	0.003	0.024	0.466	0.203	0.003	0.006	0.200	
0:0:23.377	0.003	0.021	0.493	0.208	0.004	0.006	0.216	
0:0:23.538	0.003	0.016	0.566	0.214	0.005	0.006	0.263	
0:0:23.701	0.003	0.017	0.569	0.223	0.006	0.006	0.255	
0:0:23.854	0.003	0.014	0.630	0.234	0.006	0.006	0.296	
0:0:24.006	0.003	0.015	0.681	0.239	0.009	0.006	0.277	
0:0:24.149	0.003	0.013	0.770	0.284	0.012	0.007	0.312	
0:0:24.298	0.003	0.016	0.828	0.343	0.022	0.008	0.261	
0:0:24.513	0.003	0.014	0.454	0.265	0.005	0.006	0.286	
0:0:24.679	0.003	0.019	0.517	0.345	0.005	0.006	0.239	
0:0:24.833	0.003	0.014	0.660	0.356	0.006	0.006	0.309	
0:0:25.037	0.003	0.023	0.618	1.814	0.015	0.007	0.191	
0:0:25.220	0.009	0.008	0.495	1.457	0.006	0.004	0.371	
0:0:25.435	0.011	0.005	0.830	1.568	0.016	0.004	0.591	
0:0:25.659	0.152	0.002	0.733	0.352	0.021	0.002	1.308	
0:0:25.824	56.786	0.001	0.061	0.008	0.003	0.001	1.641	
0:0:25.990	73.182	0.001	0.045	0.004	0.002	0.001	1.860	
0:0:26.149	62.431	0.001	0.056	0.004	0.003	0.001	1.934	
0:0:26.314	0.026	0.002	1.681	0.146	0.030	0.004	1.614	
0:0:26.492	0.008	0.003	1.786	0.262	0.031	0.006	1.108	
0:0:26.714	0.004	0.009	0.952	0.249	0.008	0.006	0.452	
0:0:26.907	0.003	0.016	0.750	0.206	0.004	0.005	0.285	
0:0:27.100	0.003	0.021	0.524	0.202	0.003	0.005	0.229	
0:0:29.274	0.003	0.022	0.453	0.212	0.003	0.005	0.213	
0:0:30.157	0.003	0.022	0.363	0.218	0.003	0.005	0.206	
0:0:30.832	0.003	0.024	0.458	0.210	0.003	0.005	0.204	
0:0:31.235	0.003	0.017	0.560	0.194	0.004	0.004	0.346	
0:0:31.455	0.003	0.018	0.573	0.194	0.004	0.003	0.402	
0:0:31.766	0.003	0.019	0.966	0.194	0.004	0.003	0.400	
0:0:32.008	0.007	0.004	1.748	0.194	0.018	0.002	2.133	
0:0:32.214	0.004	0.009	5.313	0.194	0.007	0.004	0.593	
0:0:32.444	0.006	0.005	1.389	0.194	0.013	0.004	0.825	
0:0:32.856	0.006	0.005	1.811	0.194	0.016	0.005	0.890	
0:0:33.208	0.008	0.003	3.474	0.194	0.029	0.005	1.394	
0:0:33.453	0.005	0.007	1.724	0.194	0.009	0.003	0.888	
0:0:33.670	0.005	0.008	1.119	0.194	0.008	0.003	0.854	
0:0:34.000	0.006	0.005	1.460	0.194	0.014	0.003	1.260	
0:0:34.185	0.004	0.011	2.186	0.194	0.006	0.004	0.533	
0:0:34.355	0.003	0.018	1.855	0.194	0.004	0.003	0.388	
0:0:34.532	0.007	0.003	2.059	0.194	0.026	0.003	1.592	
0:0:34.718	0.011	0.002	4.466	0.194	0.131	0.003	3.258	
0:0:34.892	0.012	0.002	8.227	0.194	0.245	0.002	4.849	
0:0:35.057	0.012	0.002	4.641	0.194	0.076	0.002	4.464	
0:0:35.229	0.012	0.002	3.736	0.195	0.070	0.002	6.447	
0:0:35.564	0.003	0.003	2.935	0.264	0.107	0.001	10.108	
0:0:35.794	0.007	0.002	9.062	0.202	0.070	0.002	9.638	
0:0:35.985	0.012	0.002	4.876	0.191	0.092	0.003	3.843	
0:0:36.231	0.013	0.002	2.617	0.187	0.085	0.004	2.882	
0:0:36.379	0.012	0.002	2.801	0.193	0.054	0.005	2.473	
0:0:36.584	0.008	0.002	2.812	0.194	0.023	0.005	1.862	
0:0:36.758	0.004	0.003	10.921	0.194	0.006	0.003	1.970	
0:0:36.928	0.003	0.011	7.375	0.194	0.004	0.005	0.460	
0:0:37.087	0.004	0.013	1.189	0.194	0.005	0.005	0.323	
0:0:37.238	0.003	0.022	1.205	0.194	0.003	0.005	0.221	
0:0:37.386	0.003	0.020	1.452	0.194	0.004	0.005	0.241	
0:0:37.544	0.003	0.022	2.195	0.194	0.004	0.005	0.225	
0:0:37.706	0.003	0.018	3.966	0.194	0.004	0.005	0.282	
0:0:37.852	0.003	0.017	1.330	0.194	0.005	0.004	0.347	
0:0:38.015	0.003	0.017	2.281	0.194	0.004	0.004	0.345	
0:0:38.164	0.004	0.014	3.625	0.194	0.005	0.004	0.418	
0:0:38.324	0.004	0.012	1.998	0.194	0.006	0.003	0.510	
0:0:38.505	0.004	0.009	3.261	0.194	0.008	0.003	0.783	
0:0:38.665	0.005	0.008	7.145	0.194	0.009	0.002	1.164	
0:0:38.812	0.006	0.005	14.994	0.195	0.020	0.002	1.674	
0:0:38.966	0.009	0.003	6.875	0.194	0.044	0.002	2.887	
0:0:39.125	0.011	0.002	5.571	0.194	0.067	0.002	5.266	
0:0:39.278	0.011	0.002	26.506	0.194	0.116	0.002	5.357	
0:0:39.415	0.012	0.002	49.141	0.194	0.103	0.002	4.740	
0:0:39.584	0.012	0.002	17.288	0.194	0.093	0.002	4.286	
0:0:39.775	0.012	0.002	9.486	0.194	0.082	0.003	3.593	
0:0:39.991	0.012	0.002	3.585	0.194	0.061	0.003	3.817	
0:0:40.155	0.012	0.002	5.321	0.194	0.068	0.003	3.871	
0:0:40.399	0.011	0.002	68.939	0.194	0.051	0.002	4.630	
0:0:40.579	0.010	0.002	45.358	0.194	0.046	0.002	5.167	
0:0:40.741	0.008	0.003	50.881	0.194	0.023	0.003	1.820	
0:0:40.905	0.003	0.016	23.002	0.194	0.004	0.003	0.413	
0:0:41.074	0.003	0.019	4.694	0.194	0.004	0.005	0.271	
0:0:41.325	0.003	0.017	1.110	0.194	0.004	0.005	0.293	
0:0:41.531	0.003	0.017	3.389	0.194	0.004	0.005	0.296	
0:0:41.795	0.005	0.006	25.303	0.194	0.011	0.005	0.677	
0:0:41.967	0.008	0.003	51.044	0.194	0.023	0.005	1.252	
0:0:42.128	0.011	0.002	34.305	0.194	0.049	0.004	2.531	
0:0:42.282	0.008	0.003	12.000	0.194	0.026	0.004	1.475	
0:0:42.422	0.004	0.013	9.039	0.194	0.005	0.005	0.376	
0:0:42.566	0.003	0.014	6.569	0.194	0.004	0.005	0.333	
0:0:42.718	0.003	0.014	1.387	0.194	0.004	0.005	0.359	
0:0:42.873	0.003	0.022	2.120	0.194	0.003	0.005	0.237	
0:0:43.013	0.003	0.017	2.210	0.194	0.004	0.005	0.274	
0:0:44.723	0.003	0.024	94.018	0.194	0.003	0.005	0.206	
0:0:45.304	0.004	0.012	15.453	0.200	0.024	0.005	0.383	
0:0:45.728	0.004	0.010	96.137	0.196	0.010	0.004	0.569	
0:0:46.047	0.007	0.003	98.310	0.217	0.184	0.003	2.346	
0:0:46.489	0.002	0.034	95.548	0.271	0.146	0.002	0.506	
0:0:46.805	0.003	0.007	95.618	0.303	1.725	0.002	3.003	
0:0:47.026	0.001	0.357	95.055	0.824	80.135	0.004	0.128	
0:0:47.261	0.001	0.385	98.729	0.838	82.318	0.004	0.124	
0:0:47.494	0.001	0.245	99.152	0.784	75.870	0.003	0.169	
0:0:47.702	0.001	0.192	98.612	0.739	75.840	0.003	0.191	
0:0:48.023	0.001	0.143	76.253	0.681	26.370	0.003	0.255	
0:0:48.235	0.002	0.018	66.633	0.403	1.898	0.002	1.214	
0:0:48.495	0.001	0.511	95.953	0.925	54.720	0.008	0.059	
0:0:48.968	0.001	1.658	96.236	1.213	95.478	0.014	0.022	
0:0:49.252	0.001	1.102	97.849	1.144	92.821	0.024	0.020	
0:0:49.455	0.001	1.292	97.889	1.190	94.565	0.031	0.016	
0:0:49.671	0.001	1.292	98.487	1.190	91.902	0.034	0.015	
0:0:49.929	0.001	1.081	95.684	1.136	83.123	0.042	0.015	
0:0:50.174	0.001	0.807	97.843	1.058	63.880	0.048	0.016	
0:0:50.397	0.001	0.315	23.996	0.836	36.881	0.042	0.028	
0:0:50.613	0.001	0.120	71.501	0.658	16.694	0.029	0.058	
0:0:50.839	0.001	0.035	70.689	0.478	5.103	0.017	0.152	
0:0:51.022	0.001	0.983	21.193	1.111	69.044	0.078	0.011	
0:0:51.181	0.001	1.554	6.012	1.243	80.555	0.077	0.009	
0:0:51.364	0.001	1.558	11.815	1.244	82.721	0.084	0.008	
0:0:51.532	0.001	1.772	38.313	1.244	74.219	0.101	0.007	
0:0:51.748	0.001	2.024	5.347	1.244	70.548	0.102	0.006	
0:0:51.905	0.001	2.869	3.008	1.241	60.393	0.098	0.005	
0:0:52.068	0.001	5.184	1.808	1.242	55.017	0.101	0.004	
0:0:52.217	0.001	5.844	1.715	1.239	43.626	0.110	0.003	
0:0:52.363	0.001	9.986	2.404	1.200	20.355	0.112	0.002	
0:0:52.504	0.001	11.403	1.722	1.129	11.393	0.102	0.002	
0:0:52.668	0.001	1.158	1.032	0.734	3.360	0.046	0.009	
0:0:52.818	0.001	0.270	0.972	0.507	0.646	0.025	0.028	
0:0:52.970	0.001	0.330	1.132	0.557	1.299	0.030	0.023	
0:0:53.109	0.001	0.115	1.694	0.512	1.781	0.026	0.051	
0:0:53.253	0.002	0.034	2.199	0.422	1.243	0.019	0.132	
0:0:53.409	0.001	0.039	2.686	0.482	3.325	0.023	0.116	
0:0:53.552	0.001	0.083	2.643	0.586	7.408	0.033	0.064	
0:0:53.697	0.002	0.011	2.680	0.350	0.768	0.014	0.339	
0:0:53.863	0.002	0.016	2.691	0.390	1.252	0.016	0.243	
0:0:54.014	0.002	0.010	2.778	0.344	0.741	0.013	0.370	
0:0:54.181	0.004	0.005	3.339	0.284	0.326	0.009	0.680	
0:0:54.380	0.001	0.427	9.116	0.889	43.416	0.066	0.018	
0:0:54.546	0.001	1.259	9.129	1.170	78.390	0.107	0.008	
0:0:54.727	0.001	1.483	7.950	1.223	93.005	0.117	0.007	
0:0:54.908	0.001	0.989	8.143	1.107	85.444	0.101	0.010	
0:0:55.098	0.001	0.168	3.523	0.712	31.441	0.046	0.037	
0:0:55.249	0.002	0.031	2.987	0.467	4.869	0.022	0.141	
0:0:55.423	0.002	0.010	3.231	0.348	0.943	0.013	0.358	
0:0:55.581	0.002	0.014	3.567	0.377	1.526	0.015	0.273	
0:0:55.734	0.004	0.005	3.919	0.264	0.204	0.009	0.706	
0:0:55.880	0.004	0.006	3.356	0.276	0.251	0.009	0.627	
0:0:56.039	0.002	0.014	2.008	0.302	0.189	0.010	0.291	
0:0:56.196	0.002	0.032	2.270	0.395	0.784	0.017	0.142	
0:0:56.348	0.001	0.123	2.431	0.568	5.310	0.031	0.048	
0:0:56.648	0.001	0.057	7.943	0.515	10.099	0.027	0.086	
0:0:56.956	0.003	0.009	21.707	0.332	1.652	0.013	0.397	
0:0:57.229	0.001	0.116	15.627	0.632	30.981	0.039	0.047	
0:0:57.402	0.001	0.062	26.279	0.527	19.989	0.029	0.076	
0:0:57.542	0.002	0.016	29.215	0.336	3.496	0.015	0.212	
0:0:57.698	0.003	0.009	6.574	0.308	1.780	0.012	0.356	
0:0:57.855	0.005	0.004	3.561	0.252	0.396	0.009	0.810	
0:0:58.006	0.004	0.006	4.876	0.288	0.579	0.010	0.594	
0:0:58.159	0.003	0.007	5.324	0.312	0.735	0.012	0.474	
0:0:59.803	0.002	0.032	6.218	0.208	0.004	0.006	0.161	
0:1:0.545	0.001	1.492	5.019	1.062	54.048	0.096	0.007	
0:1:0.977	0.004	0.008	11.752	0.247	0.060	0.008	0.486	
0:1:1.251	0.007	0.003	1.658	0.198	0.024	0.006	1.058	
0:1:1.601	0.003	0.026	1.141	0.201	0.004	0.006	0.187	
0:1:1.860	0.003	0.014	0.694	0.203	0.006	0.006	0.298	
0:1:2.129	0.004	0.012	1.798	0.201	0.007	0.006	0.359	
0:1:2.367	0.005	0.006	1.570	0.210	0.021	0.006	0.638	
0:1:2.703	0.004	0.006	4.507	0.217	0.024	0.006	0.578	
0:1:2.997	0.003	0.019	0.644	0.198	0.004	0.005	0.244	
0:1:3.230	0.003	0.021	60.112	0.194	0.003	0.005	0.232	
0:1:3.446	0.002	0.030	41.633	0.219	0.006	0.007	0.164	
0:1:3.697	0.003	0.019	96.094	0.233	0.019	0.007	0.236	
0:1:3.932	0.018	0.005	2.441	0.107	0.149	0.005	0.346	
0:1:4.120	0.031	0.002	2.785	0.118	0.044	0.004	1.900	
0:1:4.714	0.011	0.003	2.773	0.261	0.028	0.004	5.173	
0:1:5.161	0.011	0.002	2.747	0.197	0.048	0.004	3.462	
0:1:5.334	0.012	0.002	2.807	0.195	0.058	0.004	3.027	
0:1:5.521	0.012	0.002	3.014	0.197	0.064	0.004	2.665	
0:1:5.707	0.012	0.002	2.914	0.195	0.058	0.005	2.511	
0:1:5.884	0.011	0.002	2.977	0.200	0.067	0.005	2.187	
0:1:6.051	0.011	0.002	3.386	0.201	0.069	0.006	2.118	
0:1:6.189	0.009	0.002	2.682	0.215	0.087	0.006	1.664	
0:1:6.335	0.004	0.005	2.519	0.291	0.322	0.010	0.630	
0:1:6.561	0.001	0.068	2.274	0.596	6.799	0.034	0.062	
0:1:6.781	0.001	0.061	2.274	0.545	4.450	0.029	0.080	
0:1:6.955	0.003	0.007	1.818	0.283	0.164	0.010	0.490	
0:1:7.126	0.002	0.020	1.516	0.332	0.196	0.013	0.199	
0:1:7.282	0.004	0.008	1.294	0.243	0.035	0.007	0.452	
0:1:7.435	0.003	0.011	1.253	0.269	0.054	0.009	0.323	
0:1:7.579	0.002	0.019	1.629	0.340	0.242	0.013	0.211	
0:1:7.762	0.006	0.004	1.872	0.231	0.056	0.007	0.927	
0:1:7.914	0.004	0.005	1.918	0.255	0.095	0.008	0.691	
0:1:8.075	0.004	0.007	2.104	0.286	0.175	0.009	0.544	
0:1:8.218	0.004	0.005	2.281	0.277	0.166	0.009	0.756	
0:1:8.375	0.003	0.009	2.336	0.350	0.481	0.012	0.394	
0:1:8.531	0.002	0.010	2.343	0.356	0.557	0.013	0.353	
0:1:8.696	0.005	0.004	2.376	0.261	0.146	0.008	0.917	
0:1:8.846	0.005	0.004	2.423	0.265	0.156	0.008	0.845	
0:1:8.995	0.004	0.006	2.475	0.294	0.283	0.010	0.593	
0:1:9.146	0.005	0.004	2.600	0.271	0.216	0.009	0.814	
0:1:9.290	0.003	0.008	2.527	0.324	0.480	0.012	0.445	
0:1:9.438	0.002	0.026	2.534	0.443	2.060	0.020	0.162	
0:1:9.591	0.001	0.077	2.526	0.584	6.689	0.033	0.068	
0:1:9.747	0.001	0.134	2.502	0.670	11.592	0.042	0.044	
0:1:9.905	0.001	0.147	2.465	0.687	12.577	0.043	0.040	
0:1:10.056	0.001	0.050	2.390	0.524	3.732	0.026	0.094	
0:1:10.202	0.003	0.007	2.267	0.301	0.284	0.010	0.515	
0:1:10.342	0.002	0.012	2.196	0.340	0.471	0.013	0.319	
0:1:10.516	0.002	0.013	2.274	0.356	0.540	0.013	0.296	
0:1:10.675	0.002	0.032	2.079	0.422	1.047	0.019	0.138	
0:1:10.823	0.001	0.181	2.120	0.675	8.902	0.041	0.035	
0:1:10.973	0.001	0.480	2.138	0.866	23.334	0.064	0.016	
0:1:11.113	0.001	0.133	2.369	0.649	8.472	0.039	0.044	
0:1:11.286	0.001	0.162	2.549	0.680	10.847	0.043	0.038	
0:1:11.459	0.001	0.089	2.894	0.603	7.338	0.034	0.061	
0:1:11.637	0.001	0.077	2.762	0.583	7.315	0.032	0.068	
0:1:11.816	0.001	0.044	2.697	0.512	4.368	0.026	0.107	
0:1:11.956	0.001	0.085	2.854	0.606	8.409	0.034	0.062	
0:1:12.131	0.001	0.110	3.265	0.646	10.443	0.039	0.050	
0:1:12.285	0.001	0.088	2.661	0.609	8.278	0.035	0.060	
0:1:12.461	0.001	0.138	2.790	0.683	12.803	0.043	0.043	
0:1:12.627	0.001	0.131	2.968	0.677	12.239	0.042	0.044	
0:1:12.795	0.001	0.080	2.700	0.595	6.992	0.034	0.066	
0:1:13.183	0.003	0.006	3.158	0.303	0.383	0.010	0.566	
0:1:14.657	0.001	0.036	99.512	0.485	6.784	0.003	0.578	
0:1:15.159	0.001	1.502	99.764	1.219	93.803	0.006	0.041	
0:1:15.513	0.001	1.223	99.922	1.163	92.263	0.006	0.048	
0:1:15.887	0.001	1.626	99.898	1.230	96.270	0.006	0.043	
0:1:16.148	0.001	1.681	99.954	1.244	95.926	0.006	0.041	
0:1:16.444	0.001	1.591	99.981	1.240	95.411	0.006	0.041	
0:1:16.727	0.001	1.680	99.967	1.230	95.146	0.006	0.040	
0:1:16.960	0.001	1.715	99.972	1.226	93.730	0.006	0.039	
0:1:17.170	0.001	1.653	99.954	1.238	97.172	0.006	0.040	
0:1:17.447	0.001	1.628	99.936	1.236	96.797	0.006	0.040	
0:1:17.794	0.001	1.536	99.962	1.230	95.296	0.006	0.043	
0:1:18.036	0.001	1.557	99.944	1.242	98.351	0.006	0.043	
0:1:18.294	0.001	1.520	99.681	1.237	97.082	0.006	0.043	
0:1:18.569	0.001	0.379	99.624	0.878	59.659	0.004	0.127	
0:1:18.798	0.001	0.131	37.909	0.674	22.055	0.003	0.257	
0:1:18.992	0.001	0.039	23.086	0.495	6.333	0.003	0.606	
0:1:19.189	0.001	0.077	40.442	0.589	16.254	0.004	0.278	
0:1:19.380	0.001	0.383	86.513	0.880	67.090	0.011	0.057	
0:1:19.608	0.001	1.145	96.752	1.155	90.298	0.018	0.024	
0:1:19.807	0.001	1.174	95.610	1.163	88.206	0.013	0.029	
0:1:19.991	0.001	1.029	78.470	1.125	82.395	0.017	0.026	
0:1:20.170	0.001	0.655	38.671	1.005	77.645	0.013	0.039	
0:1:20.351	0.001	0.162	17.351	0.710	36.483	0.011	0.093	
0:1:20.515	0.005	0.004	7.214	0.269	0.458	0.003	1.729	
0:1:20.730	0.010	0.002	7.974	0.207	0.087	0.003	3.377	
0:1:20.890	0.012	0.002	5.102	0.197	0.063	0.003	3.248	
0:1:21.048	0.012	0.002	3.570	0.196	0.059	0.003	3.354	
0:1:21.224	0.012	0.002	3.416	0.196	0.059	0.004	3.143	
0:1:21.396	0.012	0.002	4.241	0.195	0.057	0.003	3.581	
0:1:21.555	0.012	0.002	7.827	0.195	0.060	0.003	3.523	
0:1:21.732	0.012	0.002	18.775	0.195	0.062	0.003	3.424	
0:1:21.891	0.012	0.002	58.567	0.195	0.061	0.003	3.531	
0:1:22.317	0.012	0.002	72.395	0.195	0.065	0.003	4.204	
0:1:22.467	0.012	0.002	74.058	0.196	0.071	0.002	4.663	
0:1:22.607	0.012	0.002	38.300	0.195	0.065	0.002	5.494	
0:1:22.756	0.012	0.002	27.655	0.195	0.067	0.002	6.098	
