date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:4.928	0.003	0.002	0.436	0.191	0.044	37.064	0.541	
0:0:7.066	99.566	0.001	0.001	0.001	0.002	0.001	0.200	
0:0:7.873	14.299	0.001	0.014	0.004	0.001	0.001	1.545	
0:0:8.288	0.008	0.013	14.383	0.107	0.002	0.001	1.799	
0:0:8.519	0.004	0.017	24.099	0.180	0.004	0.001	2.716	
0:0:8.720	0.003	0.026	0.863	0.186	0.003	0.001	1.783	
0:0:8.987	0.003	0.006	0.409	0.189	0.003	0.006	0.228	
0:0:9.194	0.003	0.002	0.010	0.185	0.113	0.008	0.217	
0:0:9.358	0.004	0.003	0.008	0.149	0.125	0.018	0.236	
0:0:9.625	0.031	0.003	0.094	0.054	0.004	0.049	0.290	
0:0:9.808	2.079	0.002	0.026	0.009	0.001	0.008	0.286	
0:0:9.951	6.590	0.001	0.017	0.005	0.001	0.006	0.294	
0:0:10.121	10.760	0.001	0.014	0.004	0.001	0.003	0.269	
0:0:10.260	6.345	0.002	0.017	0.006	0.001	0.002	0.242	
0:0:10.383	6.674	0.002	0.017	0.005	0.001	0.002	0.253	
0:0:10.502	9.878	0.001	0.014	0.005	0.001	0.006	0.297	
0:0:10.658	2.359	0.001	0.017	0.008	0.002	0.188	0.400	
0:0:10.786	9.737	0.001	0.002	0.005	0.015	0.808	0.497	
0:0:10.897	14.142	0.001	0.001	0.004	0.088	1.352	0.527	
0:0:11.020	30.417	0.001	0.001	0.003	0.099	0.909	0.539	
0:0:11.126	51.626	0.001	0.001	0.002	0.060	0.374	0.503	
0:0:11.245	93.290	0.001	0.001	0.001	0.018	0.083	0.478	
0:0:11.363	98.267	0.001	0.001	0.001	0.006	0.008	0.391	
0:0:11.487	98.522	0.001	0.001	0.001	0.004	0.004	0.366	
0:0:11.624	98.776	0.001	0.001	0.001	0.003	0.002	0.328	
0:0:11.775	97.777	0.001	0.001	0.001	0.002	0.001	0.300	
0:0:11.901	95.142	0.001	0.001	0.001	0.004	0.002	0.331	
0:0:12.111	93.183	0.001	0.001	0.001	0.002	0.001	0.250	
0:0:12.271	85.729	0.001	0.001	0.002	0.002	0.001	0.226	
0:0:12.429	96.834	0.001	0.002	0.001	0.001	0.001	0.207	
0:0:12.655	97.350	0.001	0.002	0.001	0.001	0.001	0.205	
0:0:12.797	98.804	0.001	0.002	0.001	0.001	0.001	0.202	
0:0:12.925	97.111	0.001	0.002	0.001	0.001	0.001	0.207	
0:0:13.087	74.753	0.001	0.005	0.002	0.001	0.001	0.211	
0:0:13.213	1.501	0.002	0.033	0.010	0.001	0.001	0.224	
0:0:13.458	0.043	0.006	0.161	0.052	0.002	0.002	0.297	
0:0:13.683	0.043	0.006	0.160	0.052	0.002	0.002	0.288	
0:0:13.816	0.834	0.003	0.040	0.013	0.001	0.001	0.218	
0:0:13.939	11.265	0.001	0.011	0.004	0.001	0.001	0.200	
0:0:14.069	72.027	0.001	0.001	0.002	0.002	0.001	0.198	
0:0:14.214	86.449	0.001	0.001	0.002	0.003	0.001	0.195	
0:0:14.397	94.761	0.001	0.001	0.001	0.002	0.001	0.195	
0:0:14.552	87.872	0.001	0.001	0.002	0.002	0.001	0.195	
0:0:14.686	44.312	0.001	0.001	0.002	0.004	0.001	0.194	
0:0:14.822	0.384	0.001	0.001	0.018	0.036	0.002	0.194	
0:0:14.942	0.042	0.002	0.002	0.048	0.094	0.002	0.194	
0:0:15.069	0.010	0.003	0.003	0.094	0.167	0.003	0.194	
0:0:15.201	0.004	0.005	0.004	0.154	0.224	0.005	0.194	
0:0:15.348	0.004	0.005	0.005	0.159	0.163	0.005	0.194	
0:0:15.479	0.003	0.006	0.007	0.171	0.124	0.005	0.194	
0:0:15.629	0.003	0.006	0.007	0.168	0.128	0.005	0.194	
0:0:15.786	0.005	0.005	0.005	0.143	0.136	0.004	0.194	
0:0:15.922	0.006	0.004	0.004	0.124	0.145	0.004	0.194	
0:0:16.049	0.008	0.004	0.004	0.107	0.132	0.004	0.195	
0:0:16.199	0.005	0.005	0.004	0.143	0.165	0.004	0.194	
0:0:16.337	0.003	0.006	0.006	0.172	0.176	0.005	0.195	
0:0:16.475	0.003	0.006	0.006	0.173	0.157	0.005	0.194	
0:0:16.617	0.003	0.007	0.009	0.174	0.106	0.005	0.194	
0:0:16.748	0.003	0.007	0.009	0.173	0.096	0.005	0.195	
0:0:16.872	0.005	0.007	0.011	0.144	0.059	0.004	0.195	
0:0:17.011	0.005	0.008	0.021	0.135	0.025	0.004	0.195	
0:0:17.137	0.008	0.006	0.013	0.104	0.026	0.004	0.196	
0:0:17.271	0.013	0.006	0.023	0.084	0.011	0.004	0.205	
0:0:17.400	0.016	0.004	0.071	0.072	0.005	0.014	0.281	
0:0:17.529	0.006	0.002	0.122	0.079	0.003	0.201	1.565	
0:0:17.683	0.002	0.001	0.273	0.126	0.002	0.294	7.051	
0:0:17.828	0.002	0.001	0.260	0.111	0.001	0.560	14.677	
0:0:17.958	0.002	0.002	0.373	0.161	0.002	0.106	4.077	
0:0:18.095	0.003	0.004	0.307	0.123	0.002	0.020	1.442	
0:0:18.229	0.006	0.003	0.190	0.067	0.001	0.006	2.094	
0:0:18.364	0.021	0.002	0.119	0.035	0.001	0.002	2.032	
0:0:18.498	2.129	0.001	0.020	0.004	0.001	0.001	3.873	
0:0:18.641	0.473	0.001	0.047	0.008	0.001	0.001	4.461	
0:0:18.777	0.041	0.002	0.130	0.022	0.001	0.001	3.980	
0:0:18.964	0.007	0.013	0.647	0.094	0.001	0.003	0.447	
0:0:19.132	0.006	0.019	1.051	0.114	0.002	0.004	0.268	
0:0:19.326	0.008	0.017	1.266	0.104	0.002	0.003	0.231	
0:0:19.461	0.013	0.016	1.165	0.084	0.002	0.003	0.240	
0:0:19.585	0.552	0.005	0.268	0.015	0.001	0.001	0.251	
0:0:19.720	0.820	0.004	0.329	0.013	0.001	0.001	0.256	
0:0:19.849	2.530	0.003	0.310	0.008	0.001	0.001	0.250	
0:0:19.998	15.753	0.002	0.159	0.004	0.001	0.001	0.244	
0:0:20.125	0.380	0.004	0.758	0.018	0.001	0.002	0.229	
0:0:20.257	22.621	0.002	0.126	0.003	0.001	0.001	0.218	
0:0:20.396	95.393	0.001	0.009	0.001	0.001	0.001	0.215	
0:0:20.541	99.461	0.001	0.001	0.001	0.001	0.001	0.204	
0:0:20.678	99.573	0.001	0.001	0.001	0.001	0.001	0.200	
0:0:20.802	99.575	0.001	0.001	0.001	0.001	0.001	0.199	
0:0:20.933	99.576	0.001	0.001	0.001	0.001	0.001	0.197	
0:0:21.062	99.576	0.001	0.001	0.001	0.001	0.001	0.196	
0:0:21.196	99.574	0.001	0.001	0.001	0.001	0.001	0.196	
0:0:21.325	99.564	0.001	0.001	0.001	0.001	0.001	0.196	
0:0:21.445	99.502	0.001	0.001	0.001	0.001	0.001	0.196	
0:0:21.607	98.947	0.001	0.001	0.001	0.001	0.001	0.195	
