date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:3.678	0.003	0.025	0.428	0.194	0.003	0.006	0.194	
0:0:4.850	5.914	0.001	0.207	0.012	0.005	0.001	2.318	
0:0:5.194	0.270	0.001	0.548	0.042	0.010	0.002	1.756	
0:0:5.363	0.004	0.013	0.577	0.187	0.004	0.005	0.316	
0:0:5.450	0.003	0.016	0.513	0.188	0.004	0.005	0.267	
0:0:5.563	0.003	0.018	0.486	0.189	0.004	0.005	0.244	
0:0:5.680	0.003	0.022	0.453	0.193	0.003	0.005	0.218	
0:0:5.777	0.003	0.022	0.450	0.194	0.003	0.005	0.217	
0:0:5.918	0.003	0.024	0.435	0.194	0.003	0.005	0.205	
0:0:5.994	0.003	0.024	0.437	0.195	0.003	0.005	0.206	
0:0:6.086	0.003	0.024	0.436	0.195	0.003	0.005	0.204	
0:0:6.170	0.003	0.024	0.435	0.195	0.003	0.005	0.204	
0:0:6.260	0.003	0.024	0.434	0.195	0.003	0.005	0.202	
0:0:6.346	0.003	0.024	0.433	0.195	0.003	0.005	0.200	
0:0:6.422	0.003	0.024	0.432	0.195	0.003	0.005	0.201	
0:0:6.503	0.003	0.024	0.433	0.195	0.003	0.005	0.201	
0:0:6.594	0.003	0.024	0.432	0.195	0.003	0.005	0.200	
0:0:6.678	0.003	0.024	0.431	0.195	0.003	0.005	0.199	
0:0:6.751	0.003	0.024	0.431	0.195	0.003	0.005	0.199	
0:0:6.827	0.003	0.025	0.430	0.196	0.003	0.005	0.199	
0:0:6.894	0.003	0.025	0.430	0.197	0.003	0.005	0.198	
0:0:6.966	0.003	0.025	0.430	0.198	0.003	0.005	0.198	
0:0:7.034	0.003	0.025	0.429	0.200	0.003	0.006	0.196	
0:0:7.104	0.003	0.025	0.428	0.203	0.003	0.006	0.194	
0:0:7.172	0.003	0.025	0.428	0.206	0.003	0.006	0.195	
0:0:7.262	0.003	0.025	0.429	0.211	0.003	0.006	0.194	
0:0:7.378	0.003	0.025	0.430	0.216	0.003	0.006	0.195	
0:0:7.454	0.003	0.025	0.430	0.220	0.003	0.006	0.195	
0:0:7.519	0.003	0.025	0.430	0.229	0.003	0.006	0.195	
0:0:7.590	0.003	0.025	0.430	0.225	0.003	0.006	0.195	
0:0:7.688	0.003	0.025	0.430	0.223	0.003	0.006	0.196	
0:0:7.764	0.003	0.025	0.430	0.214	0.003	0.006	0.196	
0:0:7.833	0.003	0.025	0.430	0.206	0.003	0.006	0.196	
0:0:7.910	0.003	0.025	0.430	0.203	0.003	0.006	0.196	
0:0:7.981	0.003	0.025	0.430	0.200	0.003	0.006	0.196	
0:0:8.053	0.003	0.025	0.429	0.198	0.003	0.006	0.196	
0:0:8.135	0.003	0.025	0.429	0.196	0.003	0.006	0.196	
0:0:8.207	0.003	0.025	0.430	0.196	0.003	0.006	0.196	
0:0:8.281	0.003	0.025	0.429	0.195	0.003	0.006	0.195	
0:0:8.344	0.003	0.025	0.429	0.195	0.003	0.006	0.196	
0:0:8.412	0.003	0.025	0.429	0.195	0.003	0.006	0.195	
0:0:8.492	0.003	0.025	0.430	0.194	0.003	0.006	0.196	
0:0:8.569	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:8.636	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:8.703	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:8.773	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:8.837	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:8.900	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:8.974	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:9.045	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:9.113	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:9.180	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:9.247	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:9.315	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:9.385	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:9.457	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:9.521	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:9.587	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
