date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:4.087	0.003	0.025	0.431	0.195	0.003	0.006	0.194	
0:0:5.506	28.295	0.001	0.010	0.006	0.003	0.001	4.212	
0:0:6.108	0.012	0.001	0.030	0.193	0.426	0.005	2.328	
0:0:6.545	0.006	0.004	4.263	0.186	0.011	0.005	0.792	
0:0:6.726	0.069	0.002	1.903	0.057	0.005	0.002	1.096	
0:0:6.865	0.123	0.002	1.263	0.042	0.003	0.002	0.918	
0:0:6.939	0.329	0.002	0.608	0.025	0.002	0.002	0.702	
0:0:7.001	9.495	0.001	0.348	0.006	0.001	0.001	0.740	
0:0:7.066	82.955	0.001	0.131	0.002	0.001	0.001	0.857	
0:0:7.221	94.166	0.001	1.171	0.002	0.001	0.001	1.097	
0:0:7.292	97.084	0.001	0.308	0.001	0.001	0.001	0.914	
0:0:7.428	99.344	0.001	0.159	0.001	0.001	0.001	0.985	
0:0:7.495	99.635	0.001	0.071	0.001	0.001	0.001	1.148	
0:0:7.561	99.575	0.001	0.112	0.001	0.001	0.001	1.197	
0:0:7.667	99.699	0.001	0.133	0.001	0.001	0.001	1.346	
0:0:7.736	99.756	0.001	0.579	0.001	0.001	0.001	1.583	
0:0:7.798	99.804	0.001	2.737	0.001	0.001	0.001	1.686	
0:0:7.856	99.854	0.001	4.224	0.001	0.001	0.001	1.835	
0:0:7.918	99.878	0.001	7.266	0.001	0.001	0.001	2.056	
0:0:7.972	99.887	0.001	8.119	0.001	0.001	0.001	2.158	
0:0:8.026	99.882	0.001	5.825	0.001	0.001	0.001	2.188	
0:0:8.073	99.880	0.001	5.362	0.001	0.001	0.001	2.214	
0:0:8.122	99.877	0.001	5.692	0.001	0.001	0.001	2.222	
0:0:8.171	99.850	0.001	9.020	0.001	0.001	0.001	2.191	
0:0:8.221	99.811	0.001	8.162	0.001	0.001	0.001	2.172	
0:0:8.276	99.737	0.001	6.523	0.001	0.001	0.001	2.183	
0:0:8.321	99.452	0.001	5.847	0.001	0.001	0.001	2.166	
0:0:8.371	95.824	0.001	2.146	0.002	0.001	0.001	2.146	
0:0:8.468	55.987	0.001	0.765	0.004	0.002	0.001	2.167	
0:0:8.535	2.467	0.001	0.856	0.017	0.006	0.001	2.165	
0:0:8.613	0.384	0.001	0.755	0.038	0.012	0.002	2.153	
0:0:8.681	0.051	0.001	0.307	0.095	0.026	0.003	2.148	
0:0:8.745	0.026	0.001	0.242	0.128	0.033	0.004	2.154	
0:0:8.795	0.020	0.001	0.296	0.144	0.035	0.004	2.167	
0:0:8.839	0.016	0.001	0.288	0.160	0.037	0.005	2.149	
0:0:8.893	0.016	0.001	0.361	0.160	0.036	0.005	2.123	
0:0:8.939	0.015	0.001	0.448	0.163	0.036	0.005	2.036	
0:0:9.011	0.017	0.002	0.701	0.153	0.033	0.005	1.985	
0:0:9.056	0.020	0.002	1.283	0.141	0.032	0.004	1.994	
0:0:9.102	0.025	0.002	1.687	0.129	0.030	0.004	2.031	
0:0:9.147	0.032	0.002	2.550	0.115	0.028	0.004	2.041	
0:0:9.191	0.047	0.002	3.299	0.098	0.026	0.003	2.110	
0:0:9.236	0.062	0.001	3.193	0.087	0.024	0.003	2.170	
0:0:9.290	0.098	0.001	3.971	0.071	0.021	0.003	2.207	
0:0:9.343	0.238	0.001	5.150	0.048	0.015	0.002	2.247	
0:0:9.391	0.203	0.001	9.662	0.052	0.017	0.002	2.281	
0:0:9.439	0.321	0.001	11.085	0.042	0.014	0.002	2.285	
0:0:9.485	0.812	0.001	9.012	0.028	0.010	0.002	2.316	
0:0:9.531	0.571	0.001	4.728	0.033	0.012	0.002	2.319	
0:0:9.577	0.236	0.001	2.638	0.049	0.017	0.002	2.325	
0:0:9.624	0.110	0.001	2.439	0.069	0.022	0.003	2.326	
0:0:9.672	0.053	0.001	2.517	0.096	0.030	0.003	2.320	
0:0:9.719	0.036	0.002	2.814	0.116	0.035	0.004	2.321	
0:0:9.775	0.026	0.002	3.131	0.135	0.040	0.004	2.327	
0:0:9.841	0.021	0.002	3.505	0.150	0.044	0.004	2.345	
0:0:9.900	0.017	0.002	3.519	0.165	0.048	0.005	2.357	
0:0:9.947	0.016	0.002	3.324	0.170	0.049	0.005	2.363	
0:0:9.994	0.015	0.002	3.065	0.177	0.050	0.005	2.359	
0:0:10.043	0.014	0.002	2.898	0.178	0.051	0.005	2.365	
0:0:10.092	0.015	0.002	2.599	0.173	0.049	0.005	2.363	
0:0:10.135	0.016	0.002	2.332	0.169	0.048	0.005	2.354	
0:0:10.179	0.018	0.002	2.165	0.160	0.045	0.005	2.344	
0:0:10.224	0.021	0.002	2.018	0.150	0.042	0.004	2.338	
0:0:10.267	0.021	0.002	2.010	0.147	0.041	0.004	2.317	
0:0:10.332	0.024	0.002	1.926	0.140	0.038	0.004	2.301	
0:0:10.378	0.037	0.002	1.558	0.114	0.031	0.004	2.278	
0:0:10.426	0.047	0.002	1.402	0.101	0.027	0.003	2.231	
0:0:10.470	0.044	0.002	1.432	0.103	0.027	0.003	2.186	
0:0:10.516	0.044	0.002	1.422	0.102	0.025	0.003	2.127	
0:0:10.562	0.043	0.002	1.488	0.103	0.025	0.003	2.114	
0:0:10.607	0.035	0.002	1.794	0.113	0.027	0.004	2.113	
0:0:10.649	0.031	0.002	1.965	0.120	0.029	0.004	2.154	
0:0:10.691	0.027	0.002	2.330	0.130	0.032	0.004	2.200	
0:0:10.734	0.023	0.002	2.643	0.141	0.035	0.004	2.230	
0:0:10.776	0.022	0.002	2.783	0.143	0.036	0.004	2.249	
0:0:10.820	0.023	0.002	2.651	0.141	0.036	0.004	2.279	
0:0:10.872	0.022	0.002	2.722	0.146	0.038	0.004	2.300	
0:0:10.953	0.019	0.002	2.857	0.159	0.041	0.004	2.334	
0:0:11.025	0.021	0.002	2.481	0.153	0.040	0.004	2.348	
