date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:8.364	97.179	0.001	0.230	0.002	0.001	0.001	0.316	
0:0:9.800	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:10.565	0.038	0.006	0.540	0.056	0.002	0.002	0.315	
0:0:10.913	1.589	0.002	72.803	0.011	0.001	0.001	0.343	
0:0:11.046	0.007	0.012	4.326	0.110	0.002	0.003	0.288	
0:0:17.648	99.623	0.001	0.003	0.001	0.001	0.001	0.244	
0:0:17.841	99.647	0.001	0.002	0.001	0.001	0.001	0.261	
0:0:18.014	99.570	0.001	0.002	0.001	0.001	0.001	0.221	
0:0:18.214	36.294	0.001	0.097	0.004	0.001	0.001	0.281	
0:0:18.350	0.007	0.013	21.791	2.448	0.003	0.004	0.248	
0:0:18.485	0.069	0.006	0.825	1.182	0.002	0.002	0.230	
0:0:18.650	32.819	0.001	0.018	0.009	0.001	0.001	0.234	
0:0:18.776	99.241	0.001	0.002	0.001	0.001	0.001	0.218	
0:0:18.927	99.597	0.001	0.002	0.001	0.001	0.001	0.237	
0:0:19.053	99.663	0.001	0.002	0.001	0.001	0.001	0.298	
0:0:19.159	99.664	0.001	0.002	0.001	0.001	0.001	0.298	
0:0:19.258	99.603	0.001	0.002	0.001	0.001	0.001	0.243	
0:0:19.350	99.552	0.001	0.002	0.001	0.001	0.001	0.227	
0:0:19.454	99.530	0.001	0.002	0.001	0.001	0.001	0.227	
0:0:19.542	99.521	0.001	0.002	0.001	0.001	0.001	0.230	
0:0:19.629	99.534	0.001	0.002	0.001	0.001	0.001	0.228	
0:0:19.711	99.512	0.001	0.002	0.001	0.001	0.001	0.219	
0:0:19.794	99.547	0.001	0.002	0.001	0.001	0.001	0.221	
0:0:19.879	99.547	0.001	0.002	0.001	0.001	0.001	0.229	
0:0:19.962	99.521	0.001	0.002	0.001	0.001	0.001	0.238	
0:0:20.051	99.505	0.001	0.002	0.001	0.001	0.001	0.245	
0:0:20.143	99.508	0.001	0.002	0.001	0.001	0.001	0.243	
0:0:20.230	99.533	0.001	0.003	0.001	0.001	0.001	0.221	
0:0:20.321	99.487	0.001	0.003	0.001	0.001	0.001	0.232	
0:0:20.481	99.472	0.001	0.004	0.001	0.001	0.001	0.208	
0:0:20.636	99.480	0.001	0.003	0.001	0.001	0.001	0.207	
0:0:20.739	98.083	0.001	0.003	0.001	0.001	0.001	0.215	
0:0:20.876	98.573	0.001	0.003	0.001	0.001	0.001	0.217	
0:0:20.960	99.009	0.001	0.002	0.001	0.001	0.001	0.229	
0:0:21.044	98.017	0.001	0.002	0.001	0.001	0.001	0.254	
0:0:21.128	97.454	0.001	0.003	0.001	0.001	0.001	0.234	
0:0:21.217	93.155	0.001	0.003	0.001	0.001	0.001	0.223	
0:0:21.302	97.029	0.001	0.003	0.001	0.001	0.001	0.217	
0:0:21.388	88.303	0.001	0.005	0.002	0.001	0.001	0.207	
0:0:21.472	2.659	0.002	0.036	0.011	0.001	0.001	0.205	
0:0:21.556	3.560	0.002	0.035	0.009	0.001	0.001	0.207	
0:0:21.686	0.428	0.004	0.079	0.023	0.001	0.001	0.206	
0:0:21.777	1.218	0.003	0.069	0.016	0.001	0.001	0.214	
0:0:21.865	0.353	0.004	0.108	0.026	0.001	0.001	0.213	
0:0:21.952	0.347	0.004	0.093	0.029	0.001	0.001	0.210	
0:0:22.034	14.274	0.002	0.020	0.005	0.001	0.001	0.217	
0:0:22.115	3.528	0.002	0.033	0.008	0.001	0.001	0.231	
0:0:22.197	24.894	0.001	0.014	0.003	0.001	0.001	0.278	
0:0:22.284	3.325	0.002	0.038	0.007	0.001	0.001	0.293	
0:0:22.368	1.306	0.002	0.045	0.010	0.001	0.001	0.294	
0:0:22.450	0.569	0.003	0.060	0.015	0.001	0.001	0.261	
0:0:22.557	0.531	0.003	0.059	0.015	0.001	0.001	0.267	
0:0:22.636	2.490	0.002	0.032	0.008	0.001	0.001	0.282	
0:0:22.719	0.787	0.003	0.052	0.014	0.001	0.001	0.267	
0:0:22.802	5.042	0.002	0.026	0.006	0.001	0.001	0.272	
0:0:22.892	1.584	0.002	0.042	0.010	0.001	0.001	0.279	
0:0:22.992	57.500	0.001	0.008	0.002	0.001	0.001	0.395	
0:0:23.081	42.627	0.001	0.011	0.003	0.001	0.001	0.339	
0:0:23.174	5.599	0.002	0.032	0.007	0.001	0.001	0.285	
0:0:23.291	10.728	0.002	0.026	0.005	0.001	0.001	0.288	
0:0:23.393	0.180	0.004	0.161	0.030	0.001	0.001	0.281	
0:0:23.494	0.689	0.003	0.092	0.016	0.001	0.001	0.249	
0:0:23.578	53.316	0.001	0.011	0.002	0.001	0.001	0.265	
0:0:23.680	90.872	0.001	0.006	0.001	0.001	0.001	0.340	
0:0:23.804	91.406	0.001	0.006	0.001	0.001	0.001	0.411	
0:0:23.957	98.880	0.001	0.003	0.001	0.001	0.001	0.483	
0:0:24.084	82.757	0.001	0.008	0.002	0.001	0.001	0.570	
0:0:24.196	98.596	0.001	0.003	0.001	0.001	0.001	0.539	
0:0:24.290	98.126	0.001	0.003	0.001	0.001	0.001	0.397	
0:0:24.373	97.005	0.001	0.004	0.001	0.001	0.001	0.360	
0:0:24.454	96.286	0.001	0.004	0.001	0.001	0.001	0.352	
0:0:24.580	79.801	0.001	0.007	0.002	0.001	0.001	0.340	
0:0:24.662	74.332	0.001	0.007	0.002	0.001	0.001	0.446	
0:0:24.789	7.452	0.001	0.025	0.005	0.001	0.001	0.395	
0:0:24.877	0.696	0.002	0.051	0.011	0.001	0.001	0.851	
0:0:24.973	0.508	0.002	0.058	0.015	0.001	0.001	0.618	
0:0:25.051	7.571	0.001	0.019	0.004	0.001	0.001	0.707	
0:0:25.194	60.700	0.001	0.009	0.002	0.001	0.001	0.372	
0:0:25.281	37.278	0.001	0.012	0.003	0.001	0.001	0.335	
0:0:25.377	61.258	0.001	0.008	0.002	0.001	0.001	0.291	
0:0:25.484	79.240	0.001	0.006	0.002	0.001	0.001	0.262	
0:0:25.574	62.097	0.001	0.007	0.002	0.001	0.001	0.244	
0:0:25.676	71.551	0.001	0.007	0.002	0.001	0.001	0.264	
0:0:25.826	40.949	0.001	0.010	0.003	0.001	0.001	0.271	
0:0:25.923	44.038	0.001	0.009	0.002	0.001	0.001	0.274	
0:0:26.002	91.194	0.001	0.004	0.001	0.001	0.001	0.299	
0:0:26.122	81.662	0.001	0.005	0.002	0.001	0.001	0.276	
0:0:26.219	70.296	0.001	0.006	0.002	0.001	0.001	0.263	
0:0:26.331	91.638	0.001	0.004	0.001	0.001	0.001	0.287	
0:0:26.420	87.474	0.001	0.004	0.002	0.001	0.001	0.296	
0:0:26.505	73.102	0.001	0.005	0.002	0.001	0.001	0.290	
0:0:26.613	89.912	0.001	0.004	0.001	0.001	0.001	0.283	
0:0:26.734	97.687	0.001	0.002	0.001	0.001	0.001	0.283	
0:0:27.092	99.217	0.001	0.002	0.001	0.001	0.001	0.260	
0:0:27.210	99.413	0.001	0.002	0.001	0.001	0.001	0.322	
0:0:27.319	96.244	0.001	0.003	0.001	0.001	0.001	0.304	
0:0:27.424	97.288	0.001	0.003	0.001	0.001	0.001	0.247	
0:0:27.521	87.010	0.001	0.007	0.002	0.001	0.001	0.248	
0:0:27.607	97.749	0.001	0.004	0.001	0.001	0.001	0.250	
0:0:27.722	59.800	0.001	0.011	0.002	0.001	0.001	0.230	
0:0:27.812	90.646	0.001	0.004	0.002	0.001	0.001	0.231	
0:0:27.915	97.450	0.001	0.003	0.001	0.001	0.001	0.240	
0:0:28.010	6.834	0.002	0.018	0.009	0.001	0.001	0.227	
0:0:28.137	0.009	0.013	7.020	0.337	0.002	0.003	0.207	
0:0:30.443	0.002	0.011	0.425	0.194	0.002	0.004	0.312	
0:0:30.628	0.002	0.004	0.422	0.195	0.002	0.004	0.457	
0:0:30.787	0.003	0.010	0.228	0.196	0.004	0.005	0.216	
0:0:31.025	0.003	0.005	20.458	0.196	0.004	0.005	0.200	
0:0:31.213	0.003	0.003	0.019	0.205	0.251	0.004	0.229	
0:0:31.334	0.001	0.008	0.084	0.243	0.001	0.001	5.184	
0:0:31.566	0.001	0.016	0.047	0.254	0.001	0.001	7.543	
0:0:32.095	0.003	0.023	0.454	0.191	0.003	0.006	0.205	
0:0:32.252	0.003	0.024	0.453	0.194	0.003	0.005	0.202	
0:0:32.333	0.003	0.024	0.445	0.194	0.003	0.005	0.208	
0:0:32.642	0.003	0.025	0.429	0.194	0.003	0.005	0.199	
0:0:33.153	0.003	0.023	0.427	0.204	0.003	0.005	0.203	
0:0:33.325	0.003	0.022	0.406	0.187	0.003	0.005	0.215	
0:0:33.440	0.003	0.021	0.405	0.181	0.003	0.005	0.211	
0:0:33.535	0.004	0.020	0.369	0.163	0.003	0.005	0.212	
0:0:33.625	0.004	0.019	0.361	0.162	0.003	0.005	0.210	
0:0:33.715	0.004	0.019	0.371	0.172	0.003	0.005	0.219	
0:0:33.809	0.003	0.021	0.408	0.188	0.003	0.005	0.230	
0:0:33.901	0.003	0.022	0.415	0.192	0.003	0.005	0.229	
