date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:8.887	0.003	0.017	21.613	0.194	0.004	0.005	0.280	
0:0:16.924	0.003	0.026	0.428	0.194	0.003	0.006	0.199	
0:0:17.184	0.003	0.025	0.437	0.194	0.003	0.005	0.209	
0:0:17.327	0.003	0.024	0.432	0.194	0.003	0.005	0.213	
0:0:17.422	0.003	0.024	0.426	0.194	0.003	0.005	0.220	
0:0:17.557	0.003	0.022	0.333	0.194	0.003	0.005	0.238	
0:0:17.717	0.003	0.023	0.332	0.194	0.003	0.005	0.256	
0:0:17.850	0.003	0.025	0.403	0.194	0.002	0.005	0.278	
0:0:17.931	0.003	0.028	0.401	0.194	0.003	0.005	0.254	
0:0:18.015	0.003	0.031	0.412	0.194	0.003	0.006	0.252	
0:0:18.105	0.003	0.036	0.422	0.194	0.002	0.006	0.261	
0:0:18.193	0.003	0.039	0.425	0.194	0.002	0.006	0.252	
0:0:18.264	0.003	0.040	0.426	0.194	0.002	0.006	0.251	
0:0:18.350	0.003	0.043	0.427	0.194	0.002	0.006	0.250	
0:0:18.450	0.003	0.077	0.428	0.194	0.002	0.007	0.288	
0:0:18.524	0.003	0.089	0.428	0.194	0.002	0.007	0.299	
0:0:18.593	0.003	0.095	0.428	0.194	0.002	0.007	0.303	
0:0:18.660	0.003	0.090	0.428	0.194	0.002	0.007	0.298	
0:0:18.730	0.003	0.131	0.429	0.194	0.002	0.008	0.332	
0:0:18.796	0.003	0.149	0.428	0.194	0.002	0.008	0.345	
0:0:18.863	0.003	0.116	0.428	0.194	0.002	0.008	0.319	
0:0:18.931	0.003	0.096	0.428	0.194	0.002	0.007	0.302	
0:0:18.997	0.003	0.073	0.428	0.194	0.002	0.007	0.280	
0:0:19.061	0.003	0.051	0.428	0.194	0.002	0.006	0.254	
0:0:19.128	0.003	0.039	0.428	0.194	0.002	0.006	0.236	
0:0:19.203	0.003	0.032	0.428	0.194	0.003	0.006	0.223	
0:0:19.310	0.003	0.026	0.428	0.194	0.003	0.005	0.215	
0:0:19.608	0.003	0.024	0.429	0.194	0.003	0.005	0.212	
0:0:19.688	0.003	0.024	0.429	0.194	0.003	0.005	0.217	
0:0:19.776	0.003	0.023	0.429	0.194	0.003	0.005	0.229	
0:0:19.846	0.003	0.023	0.428	0.194	0.003	0.005	0.230	
0:0:19.909	0.003	0.022	0.427	0.194	0.003	0.005	0.238	
