date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:6.367	0.003	0.020	0.474	0.194	0.003	0.006	0.233	
0:0:9.213	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:0:19.714	0.004	0.015	22.830	0.194	0.004	0.005	0.336	
0:0:21.823	0.001	0.010	0.426	0.194	0.001	0.002	4.943	
0:0:21.954	0.003	0.022	0.254	0.194	0.004	0.005	0.225	
0:0:22.040	0.003	0.022	0.305	0.194	0.004	0.005	0.213	
0:0:22.143	0.003	0.020	0.213	0.194	0.005	0.005	0.210	
0:0:22.256	0.003	0.019	0.182	0.194	0.006	0.005	0.204	
0:0:22.350	0.003	0.018	0.156	0.194	0.007	0.005	0.200	
0:0:22.432	0.003	0.019	0.205	0.194	0.005	0.006	0.199	
0:0:22.520	0.003	0.021	0.260	0.194	0.004	0.005	0.199	
0:0:22.604	0.003	0.022	0.311	0.194	0.004	0.005	0.200	
0:0:22.696	0.003	0.023	0.377	0.194	0.003	0.005	0.200	
0:0:22.784	0.003	0.024	0.404	0.194	0.003	0.005	0.199	
0:0:22.858	0.003	0.024	0.409	0.194	0.003	0.005	0.201	
0:0:22.943	0.003	0.024	0.413	0.194	0.003	0.005	0.201	
0:0:23.022	0.003	0.024	0.421	0.194	0.003	0.005	0.201	
0:0:23.121	0.003	0.024	0.424	0.194	0.003	0.005	0.201	
0:0:23.204	0.003	0.024	0.428	0.194	0.003	0.005	0.202	
0:0:23.279	0.003	0.024	0.427	0.194	0.003	0.005	0.202	
0:0:23.349	0.003	0.024	0.428	0.194	0.003	0.005	0.203	
0:0:23.414	0.003	0.024	0.431	0.194	0.003	0.005	0.203	
0:0:23.483	0.003	0.024	0.434	0.194	0.003	0.005	0.205	
0:0:23.549	0.003	0.025	0.435	0.194	0.003	0.005	0.207	
0:0:23.619	0.003	0.025	0.434	0.194	0.003	0.005	0.207	
0:0:23.683	0.003	0.025	0.434	0.194	0.003	0.005	0.208	
0:0:23.756	0.003	0.025	0.433	0.194	0.003	0.005	0.207	
0:0:23.834	0.003	0.025	0.433	0.194	0.003	0.005	0.207	
0:0:23.952	0.003	0.025	0.432	0.194	0.003	0.005	0.205	
0:0:24.023	0.003	0.025	0.432	0.194	0.003	0.005	0.204	
0:0:24.103	0.003	0.025	0.432	0.194	0.003	0.005	0.203	
0:0:24.181	0.003	0.025	0.431	0.194	0.003	0.005	0.202	
0:0:24.268	0.003	0.025	0.431	0.194	0.003	0.005	0.201	
0:0:24.331	0.003	0.025	0.431	0.194	0.003	0.005	0.201	
0:0:24.398	0.003	0.025	0.430	0.194	0.003	0.005	0.201	
0:0:24.478	0.003	0.025	0.430	0.194	0.003	0.005	0.201	
0:0:24.547	0.003	0.025	0.430	0.194	0.003	0.005	0.201	
0:0:24.627	0.003	0.025	0.431	0.194	0.003	0.005	0.203	
0:0:24.695	0.003	0.025	0.430	0.194	0.003	0.005	0.202	
0:0:24.761	0.003	0.025	0.431	0.194	0.003	0.005	0.202	
0:0:24.831	0.003	0.025	0.431	0.194	0.003	0.005	0.203	
0:0:24.897	0.003	0.026	0.430	0.194	0.003	0.005	0.202	
0:0:24.961	0.003	0.026	0.430	0.194	0.003	0.005	0.202	
0:0:25.025	0.003	0.026	0.430	0.194	0.003	0.006	0.203	
0:0:25.107	0.003	0.026	0.430	0.194	0.003	0.006	0.201	
0:0:25.196	0.003	0.027	0.429	0.194	0.003	0.006	0.203	
0:0:25.262	0.003	0.026	0.429	0.194	0.003	0.005	0.202	
0:0:25.327	0.003	0.026	0.428	0.194	0.003	0.005	0.201	
0:0:25.393	0.003	0.025	0.428	0.194	0.003	0.005	0.204	
0:0:25.456	0.003	0.024	0.428	0.194	0.003	0.005	0.209	
0:0:25.523	0.003	0.024	0.428	0.194	0.003	0.005	0.218	
0:0:25.597	0.003	0.022	0.428	0.194	0.002	0.005	0.257	
0:0:25.665	0.002	0.021	0.428	0.194	0.002	0.005	0.284	
0:0:25.737	0.002	0.018	0.428	0.194	0.002	0.004	0.398	
0:0:25.836	0.002	0.018	0.428	0.194	0.002	0.004	0.392	
0:0:25.916	0.002	0.019	0.428	0.194	0.002	0.004	0.362	
0:0:25.981	0.002	0.020	0.428	0.194	0.002	0.004	0.315	
0:0:26.065	0.003	0.023	0.429	0.194	0.003	0.005	0.240	
0:0:26.134	0.003	0.024	0.428	0.194	0.003	0.005	0.206	
0:0:26.201	0.003	0.025	0.428	0.194	0.003	0.005	0.199	
0:0:26.270	0.003	0.025	0.428	0.194	0.003	0.005	0.196	
0:0:26.333	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:26.426	0.003	0.025	0.427	0.194	0.003	0.005	0.198	
0:0:26.497	0.003	0.025	0.427	0.194	0.003	0.005	0.199	
0:0:26.562	0.003	0.025	0.427	0.194	0.003	0.005	0.200	
0:0:26.624	0.003	0.025	0.427	0.194	0.003	0.005	0.202	
0:0:26.696	0.003	0.025	0.426	0.194	0.003	0.005	0.202	
0:0:26.772	0.003	0.025	0.427	0.194	0.003	0.005	0.204	
0:0:26.842	0.003	0.025	0.428	0.194	0.003	0.005	0.204	
0:0:26.914	0.003	0.025	0.428	0.194	0.003	0.005	0.204	
0:0:26.984	0.003	0.025	0.428	0.194	0.003	0.005	0.205	
0:0:27.050	0.003	0.025	0.428	0.194	0.003	0.005	0.203	
0:0:27.117	0.003	0.025	0.427	0.194	0.003	0.005	0.202	
0:0:27.189	0.003	0.025	0.427	0.194	0.003	0.005	0.201	
0:0:27.267	0.003	0.025	0.427	0.194	0.003	0.005	0.200	
0:0:27.333	0.003	0.026	0.427	0.194	0.003	0.005	0.201	
0:0:27.423	0.003	0.029	0.427	0.194	0.003	0.006	0.207	
0:0:27.500	0.003	0.029	0.427	0.194	0.003	0.006	0.208	
0:0:27.568	0.003	0.028	0.427	0.194	0.003	0.006	0.206	
0:0:27.635	0.003	0.029	0.427	0.194	0.003	0.006	0.209	
0:0:27.701	0.003	0.028	0.427	0.194	0.003	0.006	0.207	
0:0:27.765	0.003	0.028	0.427	0.194	0.003	0.006	0.207	
0:0:27.831	0.003	0.027	0.427	0.194	0.003	0.006	0.209	
0:0:27.894	0.003	0.027	0.427	0.194	0.003	0.006	0.211	
0:0:27.960	0.003	0.027	0.427	0.194	0.003	0.005	0.208	
0:0:28.024	0.003	0.027	0.427	0.194	0.003	0.006	0.207	
0:0:28.087	0.003	0.028	0.427	0.194	0.003	0.006	0.205	
0:0:28.150	0.003	0.028	0.427	0.194	0.003	0.006	0.204	
0:0:28.224	0.003	0.029	0.427	0.194	0.003	0.006	0.204	
0:0:28.296	0.003	0.028	0.427	0.194	0.003	0.006	0.203	
0:0:28.387	0.003	0.028	0.427	0.194	0.003	0.006	0.201	
0:0:28.452	0.003	0.027	0.427	0.194	0.003	0.006	0.199	
0:0:28.515	0.003	0.027	0.427	0.194	0.003	0.006	0.200	
0:0:28.579	0.003	0.027	0.427	0.194	0.003	0.006	0.200	
0:0:28.642	0.003	0.027	0.428	0.194	0.003	0.006	0.200	
0:0:28.727	0.003	0.025	0.428	0.194	0.003	0.005	0.201	
0:0:28.826	0.003	0.025	0.428	0.194	0.003	0.005	0.203	
0:0:28.906	0.003	0.024	0.428	0.194	0.003	0.005	0.208	
0:0:28.972	0.003	0.023	0.428	0.194	0.003	0.005	0.213	
0:0:29.034	0.003	0.023	0.428	0.194	0.003	0.005	0.219	
0:0:29.098	0.003	0.024	0.428	0.194	0.003	0.005	0.216	
0:0:29.164	0.003	0.024	0.428	0.194	0.003	0.005	0.217	
0:0:29.244	0.003	0.024	0.428	0.194	0.003	0.005	0.217	
0:0:29.314	0.003	0.024	0.428	0.194	0.003	0.005	0.221	
0:0:29.385	0.003	0.025	0.428	0.194	0.003	0.005	0.221	
0:0:29.454	0.003	0.025	0.428	0.194	0.003	0.005	0.218	
0:0:29.519	0.003	0.026	0.428	0.194	0.003	0.005	0.220	
0:0:29.606	0.003	0.027	0.428	0.194	0.003	0.005	0.220	
0:0:29.673	0.003	0.027	0.428	0.194	0.003	0.005	0.219	
0:0:29.735	0.003	0.028	0.427	0.194	0.003	0.006	0.216	
0:0:29.809	0.003	0.029	0.427	0.194	0.003	0.006	0.213	
0:0:29.876	0.003	0.030	0.427	0.194	0.003	0.006	0.212	
0:0:29.939	0.003	0.033	0.427	0.194	0.003	0.006	0.215	
0:0:30.026	0.003	0.040	0.427	0.194	0.003	0.006	0.226	
0:0:30.096	0.003	0.040	0.427	0.194	0.003	0.006	0.227	
0:0:30.162	0.003	0.044	0.427	0.194	0.002	0.006	0.233	
0:0:30.225	0.003	0.055	0.427	0.194	0.002	0.007	0.249	
0:0:30.295	0.003	0.056	0.427	0.194	0.002	0.007	0.250	
0:0:30.360	0.003	0.061	0.427	0.194	0.002	0.007	0.256	
0:0:30.433	0.003	0.055	0.427	0.194	0.002	0.007	0.249	
0:0:30.500	0.003	0.052	0.427	0.194	0.002	0.006	0.244	
0:0:30.563	0.003	0.051	0.427	0.194	0.002	0.006	0.243	
0:0:30.633	0.003	0.048	0.427	0.194	0.002	0.006	0.238	
0:0:30.698	0.003	0.047	0.428	0.194	0.002	0.006	0.238	
0:0:30.762	0.003	0.043	0.428	0.194	0.002	0.006	0.232	
0:0:30.828	0.003	0.041	0.428	0.194	0.003	0.006	0.228	
0:0:30.903	0.003	0.038	0.428	0.194	0.003	0.006	0.222	
0:0:30.968	0.003	0.038	0.428	0.194	0.003	0.006	0.224	
0:0:31.033	0.003	0.036	0.428	0.194	0.003	0.006	0.220	
0:0:31.095	0.003	0.035	0.428	0.194	0.003	0.006	0.218	
0:0:31.158	0.003	0.037	0.428	0.194	0.003	0.006	0.221	
0:0:31.229	0.003	0.037	0.428	0.194	0.003	0.006	0.220	
0:0:31.292	0.003	0.035	0.428	0.194	0.003	0.006	0.218	
0:0:31.369	0.003	0.033	0.428	0.194	0.003	0.006	0.214	
