date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:3.549	0.003	0.023	0.452	0.363	0.003	0.005	0.208	
0:0:4.984	0.003	0.024	0.430	0.203	0.003	0.005	0.204	
0:0:5.730	0.002	0.019	0.442	0.196	0.002	0.004	0.319	
0:0:6.360	0.002	0.021	0.433	0.194	0.002	0.005	0.281	
0:0:6.880	0.003	0.026	0.428	0.194	0.003	0.005	0.212	
0:0:7.192	0.003	0.028	0.426	0.194	0.003	0.006	0.208	
0:0:7.347	0.003	0.025	0.428	0.194	0.003	0.005	0.205	
0:0:7.449	0.003	0.025	0.427	0.194	0.003	0.005	0.204	
0:0:7.588	0.003	0.025	0.428	0.194	0.003	0.005	0.203	
0:0:7.731	0.003	0.024	0.427	0.194	0.003	0.005	0.207	
0:0:7.849	0.003	0.024	0.427	0.194	0.003	0.005	0.202	
0:0:7.975	0.003	0.025	0.427	0.194	0.003	0.005	0.200	
0:0:8.084	0.003	0.025	0.427	0.194	0.003	0.005	0.200	
0:0:8.171	0.003	0.025	0.427	0.194	0.003	0.005	0.201	
0:0:8.289	0.003	0.025	0.428	0.194	0.003	0.005	0.199	
0:0:8.368	0.003	0.025	0.428	0.194	0.003	0.005	0.200	
0:0:8.460	0.003	0.025	0.428	0.194	0.003	0.005	0.201	
0:0:8.531	0.003	0.025	0.428	0.194	0.003	0.005	0.200	
0:0:8.617	0.003	0.025	0.428	0.194	0.003	0.005	0.198	
0:0:8.732	0.003	0.025	0.429	0.194	0.003	0.005	0.198	
0:0:8.809	0.003	0.025	0.429	0.194	0.003	0.005	0.197	
0:0:8.889	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:8.971	0.003	0.025	0.428	0.194	0.003	0.006	0.196	
0:0:9.040	0.003	0.026	0.428	0.194	0.003	0.006	0.197	
0:0:9.104	0.003	0.026	0.428	0.194	0.003	0.006	0.198	
0:0:9.176	0.003	0.028	0.428	0.194	0.003	0.006	0.202	
0:0:9.248	0.003	0.026	0.428	0.194	0.003	0.006	0.198	
0:0:9.319	0.003	0.025	0.428	0.194	0.003	0.006	0.196	
0:0:9.385	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:9.451	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:9.525	0.003	0.025	0.430	0.194	0.003	0.006	0.195	
0:0:9.604	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:9.703	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:9.805	0.003	0.025	0.428	0.194	0.003	0.006	0.195	
0:0:9.873	0.003	0.024	0.428	0.194	0.003	0.005	0.197	
0:0:9.941	0.003	0.024	0.427	0.194	0.003	0.005	0.198	
0:0:10.027	0.003	0.024	0.425	0.194	0.003	0.005	0.210	
0:0:10.111	0.003	0.023	0.420	0.194	0.003	0.005	0.216	
0:0:10.181	0.003	0.023	0.424	0.194	0.003	0.005	0.210	
0:0:10.244	0.003	0.024	0.427	0.194	0.003	0.005	0.207	
0:0:10.310	0.003	0.024	0.428	0.194	0.003	0.005	0.203	
0:0:10.374	0.003	0.025	0.429	0.194	0.003	0.005	0.200	
0:0:10.438	0.003	0.025	0.429	0.194	0.003	0.005	0.198	
0:0:10.506	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:10.607	0.003	0.025	0.429	0.194	0.003	0.006	0.196	
0:0:10.687	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:10.753	0.003	0.025	0.429	0.194	0.003	0.006	0.195	
0:0:10.819	0.003	0.025	0.428	0.194	0.003	0.006	0.196	
0:0:10.889	0.003	0.025	0.428	0.194	0.003	0.006	0.196	
0:0:10.972	0.003	0.025	0.428	0.194	0.003	0.006	0.196	
0:0:11.038	0.003	0.026	0.428	0.194	0.003	0.006	0.197	
0:0:11.115	0.003	0.027	0.427	0.194	0.003	0.006	0.200	
0:0:11.187	0.003	0.028	0.428	0.194	0.003	0.006	0.202	
0:0:11.256	0.003	0.036	0.427	0.194	0.003	0.006	0.221	
0:0:11.325	0.003	0.039	0.427	0.194	0.003	0.006	0.228	
0:0:11.392	0.003	0.034	0.427	0.194	0.003	0.006	0.218	
0:0:11.454	0.003	0.032	0.427	0.194	0.003	0.006	0.214	
0:0:11.518	0.003	0.030	0.427	0.194	0.003	0.006	0.209	
0:0:11.580	0.003	0.027	0.427	0.194	0.003	0.006	0.202	
0:0:11.643	0.003	0.026	0.427	0.194	0.003	0.006	0.199	
0:0:11.712	0.003	0.025	0.428	0.194	0.003	0.005	0.197	
0:0:11.792	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:11.855	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:11.919	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:12.000	0.003	0.025	0.427	0.194	0.003	0.005	0.198	
0:0:12.094	0.003	0.025	0.427	0.194	0.003	0.005	0.199	
0:0:12.165	0.003	0.025	0.427	0.194	0.003	0.005	0.201	
0:0:12.227	0.003	0.024	0.426	0.194	0.003	0.005	0.204	
0:0:12.291	0.003	0.024	0.427	0.194	0.003	0.005	0.205	
0:0:12.362	0.003	0.024	0.428	0.194	0.003	0.005	0.209	
0:0:12.440	0.003	0.024	0.429	0.194	0.003	0.005	0.210	
0:0:12.509	0.003	0.025	0.429	0.194	0.003	0.005	0.209	
0:0:12.574	0.003	0.025	0.430	0.194	0.003	0.005	0.210	
0:0:12.641	0.003	0.025	0.430	0.194	0.003	0.005	0.211	
0:0:12.703	0.003	0.025	0.431	0.194	0.003	0.005	0.212	
0:0:12.767	0.003	0.024	0.433	0.194	0.003	0.005	0.214	
0:0:12.853	0.003	0.024	0.433	0.194	0.003	0.005	0.211	
0:0:12.919	0.003	0.024	0.432	0.194	0.003	0.005	0.209	
0:0:13.009	0.003	0.024	0.432	0.194	0.003	0.005	0.208	
0:0:13.084	0.003	0.024	0.429	0.194	0.003	0.005	0.209	
0:0:13.156	0.003	0.025	0.428	0.194	0.003	0.005	0.210	
0:0:13.227	0.003	0.028	0.424	0.194	0.003	0.006	0.218	
0:0:13.289	0.003	0.050	0.424	0.194	0.002	0.006	0.260	
0:0:13.356	0.003	0.117	0.425	0.194	0.002	0.007	0.337	
0:0:13.419	0.003	0.119	0.426	0.194	0.002	0.008	0.332	
0:0:13.506	0.003	0.260	0.430	0.194	0.002	0.009	0.415	
0:0:13.593	0.003	0.406	0.430	0.194	0.001	0.010	0.471	
0:0:13.670	0.003	0.212	0.429	0.194	0.002	0.009	0.384	
0:0:13.748	0.003	0.203	0.429	0.194	0.002	0.009	0.377	
0:0:13.813	0.003	0.104	0.429	0.194	0.002	0.007	0.309	
0:0:13.882	0.003	0.065	0.429	0.194	0.002	0.007	0.269	
0:0:13.942	0.003	0.049	0.429	0.194	0.002	0.006	0.251	
0:0:14.018	0.003	0.035	0.429	0.194	0.003	0.005	0.232	
0:0:14.080	0.003	0.033	0.429	0.194	0.003	0.005	0.229	
0:0:14.140	0.003	0.029	0.428	0.194	0.003	0.005	0.229	
0:0:14.201	0.003	0.028	0.429	0.194	0.003	0.005	0.237	
0:0:14.263	0.003	0.027	0.429	0.194	0.003	0.004	0.244	
0:0:14.337	0.003	0.026	0.430	0.194	0.003	0.004	0.256	
0:0:14.404	0.003	0.026	0.430	0.194	0.003	0.004	0.271	
0:0:14.467	0.003	0.025	0.431	0.194	0.003	0.004	0.274	
0:0:14.529	0.003	0.025	0.431	0.194	0.003	0.004	0.270	
0:0:14.596	0.003	0.025	0.431	0.194	0.003	0.004	0.274	
0:0:14.672	0.003	0.025	0.433	0.194	0.003	0.004	0.279	
0:0:14.757	0.003	0.025	0.433	0.194	0.003	0.004	0.275	
0:0:14.823	0.003	0.025	0.434	0.194	0.003	0.004	0.263	
0:0:14.892	0.003	0.025	0.434	0.194	0.003	0.004	0.259	
0:0:14.952	0.003	0.026	0.437	0.194	0.003	0.004	0.256	
0:0:15.025	0.003	0.026	0.437	0.194	0.003	0.004	0.246	
0:0:15.088	0.003	0.026	0.439	0.194	0.003	0.005	0.246	
0:0:15.150	0.003	0.026	0.441	0.194	0.003	0.005	0.245	
0:0:15.221	0.003	0.026	0.442	0.194	0.003	0.005	0.241	
0:0:15.285	0.003	0.025	0.442	0.194	0.003	0.005	0.234	
0:0:15.366	0.003	0.025	0.442	0.194	0.003	0.005	0.235	
0:0:15.434	0.003	0.026	0.445	0.194	0.003	0.005	0.236	
0:0:15.497	0.003	0.025	0.451	0.194	0.003	0.005	0.244	
0:0:15.579	0.003	0.023	0.451	0.194	0.003	0.005	0.255	
0:0:15.656	0.003	0.021	0.451	0.194	0.003	0.005	0.288	
0:0:15.719	0.003	0.020	0.453	0.194	0.003	0.005	0.282	
0:0:15.783	0.003	0.019	0.456	0.194	0.002	0.004	0.325	
0:0:15.851	0.002	0.016	0.457	0.194	0.002	0.004	0.425	
0:0:15.913	0.002	0.016	0.459	0.194	0.002	0.004	0.456	
0:0:15.993	0.002	0.016	0.456	0.194	0.002	0.004	0.460	
0:0:16.055	0.002	0.017	0.457	0.194	0.002	0.004	0.382	
0:0:16.118	0.002	0.018	0.456	0.194	0.002	0.004	0.339	
0:0:16.188	0.003	0.019	0.454	0.194	0.002	0.004	0.319	
0:0:16.268	0.003	0.019	0.449	0.194	0.002	0.005	0.315	
