date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:20.910	0.003	0.023	0.449	0.194	0.003	0.005	0.215	
0:0:21.943	0.003	0.025	0.441	0.194	0.003	0.005	0.199	
0:0:22.254	0.003	0.024	0.423	0.194	0.003	0.005	0.204	
0:0:22.459	0.003	0.021	0.408	0.194	0.003	0.005	0.223	
0:0:22.557	0.003	0.023	0.403	0.194	0.003	0.005	0.215	
0:0:22.658	0.003	0.024	0.399	0.194	0.003	0.005	0.203	
0:0:22.754	0.003	0.024	0.412	0.194	0.003	0.005	0.202	
0:0:22.862	0.003	0.024	0.405	0.194	0.003	0.005	0.203	
0:0:22.965	0.003	0.025	0.425	0.194	0.003	0.005	0.218	
0:0:23.066	0.003	0.025	0.427	0.194	0.003	0.005	0.228	
0:0:23.167	0.003	0.024	0.427	0.194	0.003	0.004	0.245	
0:0:23.325	0.002	0.021	0.430	0.194	0.002	0.004	0.335	
0:0:23.413	0.002	0.016	0.442	0.194	0.002	0.003	0.589	
0:0:23.494	0.003	0.025	0.473	0.194	0.003	0.004	0.257	
0:0:23.566	0.003	0.024	0.450	0.194	0.003	0.003	0.293	
0:0:23.693	0.003	0.024	0.439	0.194	0.003	0.002	0.417	
0:0:23.778	0.003	0.024	0.429	0.194	0.003	0.003	0.354	
0:0:23.862	0.003	0.024	0.428	0.194	0.003	0.003	0.373	
0:0:23.989	0.003	0.025	0.428	0.194	0.003	0.003	0.313	
0:0:24.058	0.003	0.024	0.428	0.194	0.003	0.003	0.338	
0:0:24.125	0.003	0.025	0.428	0.194	0.003	0.003	0.290	
0:0:24.195	0.003	0.025	0.429	0.194	0.003	0.003	0.316	
0:0:24.265	0.003	0.025	0.429	0.194	0.003	0.004	0.277	
0:0:24.333	0.003	0.025	0.429	0.194	0.003	0.004	0.279	
0:0:24.408	0.003	0.026	0.429	0.194	0.003	0.004	0.261	
0:0:24.477	0.003	0.026	0.428	0.194	0.003	0.004	0.256	
0:0:24.583	0.003	0.032	0.428	0.194	0.003	0.004	0.261	
0:0:24.651	0.003	0.036	0.428	0.194	0.003	0.005	0.270	
0:0:24.722	0.003	0.033	0.428	0.194	0.003	0.005	0.241	
0:0:24.912	0.003	0.026	0.428	0.194	0.003	0.005	0.216	
0:0:24.980	0.003	0.025	0.428	0.194	0.003	0.005	0.214	
0:0:25.053	0.003	0.025	0.428	0.194	0.003	0.005	0.215	
0:0:25.121	0.003	0.024	0.428	0.194	0.003	0.005	0.222	
0:0:25.204	0.003	0.022	0.428	0.194	0.003	0.005	0.234	
0:0:25.269	0.003	0.016	0.428	0.194	0.003	0.005	0.243	
0:0:25.335	0.003	0.014	0.428	0.194	0.003	0.005	0.243	
0:0:25.400	0.003	0.010	0.427	0.194	0.003	0.005	0.242	
0:0:25.468	0.003	0.009	0.421	0.194	0.003	0.005	0.249	
0:0:25.539	0.003	0.011	0.413	0.194	0.003	0.004	0.262	
0:0:25.605	0.003	0.018	0.411	0.194	0.003	0.004	0.257	
0:0:25.675	0.003	0.022	0.418	0.194	0.003	0.005	0.242	
0:0:25.746	0.003	0.023	0.427	0.194	0.003	0.004	0.244	
0:0:25.833	0.003	0.024	0.429	0.194	0.003	0.004	0.242	
0:0:25.903	0.003	0.024	0.432	0.194	0.003	0.004	0.239	
0:0:25.987	0.003	0.024	0.434	0.194	0.003	0.004	0.243	
0:0:26.061	0.003	0.024	0.435	0.194	0.003	0.004	0.248	
0:0:26.127	0.003	0.025	0.434	0.194	0.003	0.004	0.250	
0:0:26.192	0.003	0.026	0.433	0.194	0.003	0.005	0.250	
0:0:26.256	0.003	0.028	0.432	0.194	0.003	0.005	0.248	
