date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:3.830	0.004	0.011	19.877	0.194	0.006	0.005	0.427	
0:0:5.377	0.003	0.023	0.443	0.194	0.002	0.005	0.296	
0:0:5.953	0.003	0.021	0.448	0.194	0.003	0.005	0.263	
0:0:6.207	0.003	0.020	0.450	0.194	0.002	0.005	0.300	
0:0:6.300	0.003	0.019	0.457	0.194	0.002	0.005	0.318	
0:0:6.455	0.003	0.021	0.459	0.194	0.003	0.005	0.242	
0:0:6.572	0.003	0.022	0.451	0.194	0.003	0.005	0.231	
0:0:6.669	0.003	0.023	0.446	0.194	0.003	0.005	0.226	
0:0:6.841	0.003	0.023	0.443	0.194	0.003	0.005	0.218	
0:0:6.947	0.003	0.023	0.440	0.194	0.003	0.005	0.215	
0:0:7.130	0.003	0.023	0.442	0.194	0.003	0.005	0.221	
0:0:7.211	0.003	0.023	0.442	0.194	0.003	0.005	0.221	
0:0:7.310	0.003	0.024	0.438	0.194	0.003	0.005	0.216	
0:0:7.464	0.003	0.023	0.438	0.194	0.003	0.005	0.231	
0:0:7.543	0.003	0.024	0.440	0.194	0.003	0.005	0.227	
0:0:7.687	0.003	0.024	0.441	0.194	0.003	0.005	0.221	
0:0:7.767	0.003	0.024	0.440	0.194	0.003	0.005	0.214	
0:0:7.914	0.003	0.024	0.442	0.194	0.003	0.005	0.213	
0:0:7.984	0.003	0.024	0.447	0.194	0.003	0.005	0.214	
0:0:8.056	0.003	0.024	0.446	0.194	0.003	0.005	0.212	
0:0:8.129	0.003	0.024	0.442	0.194	0.003	0.005	0.209	
0:0:8.200	0.003	0.024	0.438	0.194	0.003	0.005	0.206	
0:0:8.274	0.003	0.024	0.434	0.194	0.003	0.005	0.204	
0:0:8.346	0.003	0.025	0.433	0.194	0.003	0.005	0.205	
0:0:8.418	0.003	0.025	0.431	0.194	0.003	0.005	0.203	
0:0:8.488	0.003	0.025	0.428	0.194	0.003	0.005	0.202	
0:0:8.559	0.003	0.025	0.424	0.194	0.003	0.005	0.201	
0:0:8.734	0.003	0.025	0.427	0.194	0.003	0.006	0.200	
0:0:8.815	0.003	0.027	0.429	0.194	0.003	0.006	0.202	
0:0:8.900	0.003	0.028	0.429	0.194	0.003	0.006	0.204	
0:0:8.988	0.003	0.028	0.428	0.194	0.003	0.006	0.202	
0:0:9.059	0.003	0.030	0.428	0.194	0.003	0.006	0.207	
0:0:9.127	0.003	0.031	0.429	0.194	0.003	0.006	0.210	
0:0:9.196	0.003	0.030	0.428	0.194	0.003	0.006	0.208	
0:0:9.267	0.003	0.028	0.428	0.194	0.003	0.006	0.204	
0:0:9.342	0.003	0.028	0.428	0.194	0.003	0.006	0.203	
0:0:9.477	0.003	0.027	0.428	0.194	0.003	0.006	0.201	
0:0:9.547	0.003	0.030	0.428	0.194	0.003	0.006	0.206	
0:0:9.625	0.003	0.028	0.429	0.194	0.003	0.006	0.202	
0:0:9.702	0.003	0.029	0.429	0.194	0.003	0.006	0.202	
0:0:9.770	0.003	0.030	0.429	0.195	0.003	0.006	0.199	
0:0:9.839	0.003	0.029	0.429	0.195	0.003	0.006	0.198	
0:0:9.924	0.003	0.030	0.429	0.197	0.003	0.006	0.194	
0:0:9.998	0.003	0.030	0.429	0.198	0.003	0.006	0.189	
0:0:10.074	0.003	0.029	0.429	0.197	0.003	0.006	0.190	
0:0:10.142	0.003	0.030	0.428	0.196	0.003	0.006	0.196	
0:0:10.206	0.003	0.030	0.428	0.197	0.003	0.006	0.196	
0:0:10.271	0.003	0.031	0.428	0.196	0.003	0.006	0.202	
0:0:10.381	0.003	0.030	0.428	0.195	0.003	0.006	0.205	
0:0:10.454	0.003	0.028	0.428	0.195	0.003	0.006	0.204	
0:0:10.529	0.003	0.029	0.428	0.194	0.003	0.006	0.207	
0:0:10.613	0.003	0.028	0.428	0.194	0.003	0.006	0.206	
0:0:10.696	0.003	0.027	0.428	0.194	0.003	0.006	0.203	
0:0:10.767	0.003	0.026	0.428	0.194	0.003	0.005	0.205	
0:0:10.831	0.003	0.025	0.428	0.194	0.003	0.005	0.215	
0:0:10.900	0.003	0.024	0.427	0.194	0.002	0.005	0.256	
0:0:10.988	0.002	0.023	0.427	0.194	0.002	0.004	0.415	
0:0:11.059	0.002	0.020	0.427	0.194	0.001	0.003	0.701	
0:0:11.122	0.002	0.022	0.427	0.194	0.001	0.003	1.098	
0:0:11.193	0.002	0.023	0.427	0.194	0.001	0.003	1.175	
0:0:11.263	0.002	0.024	0.427	0.194	0.001	0.003	1.687	
0:0:11.336	0.001	0.023	0.427	0.194	0.001	0.002	3.662	
0:0:11.429	0.001	0.019	0.427	0.194	0.001	0.002	2.809	
0:0:11.515	0.001	0.015	0.427	0.194	0.001	0.002	3.573	
0:0:11.584	0.001	0.012	0.427	0.194	0.001	0.002	4.267	
0:0:11.652	0.001	0.010	0.428	0.194	0.001	0.002	3.145	
0:0:11.728	0.001	0.010	0.429	0.194	0.001	0.002	2.629	
0:0:11.796	0.002	0.015	0.429	0.194	0.001	0.002	1.345	
0:0:11.863	0.002	0.016	0.433	0.194	0.001	0.003	1.200	
0:0:11.934	0.002	0.017	0.440	0.194	0.001	0.003	1.079	
0:0:12.017	0.002	0.016	0.458	0.194	0.001	0.003	0.989	
0:0:12.083	0.002	0.013	0.516	0.194	0.002	0.002	1.235	
0:0:12.150	0.002	0.011	0.615	0.194	0.002	0.002	1.525	
0:0:12.215	0.002	0.008	0.736	0.194	0.002	0.002	3.279	
0:0:12.294	0.002	0.007	0.762	0.194	0.002	0.002	3.966	
0:0:12.362	0.002	0.007	0.743	0.194	0.002	0.002	4.131	
0:0:12.453	0.002	0.006	0.787	0.194	0.002	0.002	4.394	
0:0:12.548	0.003	0.006	0.987	0.194	0.003	0.002	3.847	
0:0:12.627	0.003	0.004	1.251	0.194	0.004	0.001	8.805	
0:0:12.696	0.005	0.003	1.532	0.194	0.007	0.001	10.785	
0:0:12.775	0.006	0.003	1.827	0.194	0.013	0.001	11.935	
0:0:12.840	0.007	0.002	2.181	0.194	0.017	0.001	16.285	
0:0:12.919	0.007	0.002	2.334	0.194	0.017	0.001	20.745	
0:0:12.991	0.007	0.002	2.383	0.194	0.014	0.001	25.577	
0:0:13.063	0.006	0.002	2.379	0.194	0.008	0.001	37.959	
0:0:13.128	0.006	0.002	2.378	0.194	0.008	0.001	38.007	
0:0:13.206	0.005	0.003	2.366	0.194	0.005	0.001	51.899	
0:0:13.288	0.004	0.003	2.407	0.194	0.004	0.001	57.476	
0:0:13.357	0.003	0.002	2.494	0.194	0.003	0.001	70.068	
0:0:13.421	0.004	0.002	2.575	0.194	0.003	0.001	65.603	
0:0:13.490	0.005	0.002	2.645	0.194	0.006	0.001	48.602	
0:0:13.556	0.005	0.002	2.451	0.194	0.009	0.001	39.931	
0:0:13.647	0.006	0.002	2.276	0.194	0.011	0.001	28.253	
0:0:13.727	0.004	0.002	1.984	0.194	0.007	0.001	23.004	
0:0:13.820	0.003	0.002	1.606	0.194	0.003	0.001	20.045	
0:0:13.914	0.002	0.002	1.104	0.194	0.002	0.001	12.585	
0:0:13.986	0.001	0.002	0.824	0.194	0.001	0.001	14.900	
0:0:14.052	0.001	0.003	0.628	0.194	0.001	0.001	17.940	
0:0:14.127	0.001	0.003	0.534	0.194	0.001	0.001	19.945	
0:0:14.197	0.001	0.003	0.480	0.194	0.001	0.001	19.848	
0:0:14.285	0.001	0.003	0.452	0.194	0.001	0.001	18.376	
0:0:14.359	0.001	0.004	0.433	0.194	0.001	0.001	16.498	
0:0:14.434	0.001	0.004	0.434	0.194	0.001	0.001	13.930	
0:0:14.500	0.001	0.004	0.433	0.194	0.001	0.001	11.347	
0:0:14.564	0.001	0.004	0.434	0.194	0.001	0.001	10.684	
0:0:14.637	0.001	0.004	0.434	0.194	0.001	0.001	11.574	
0:0:14.701	0.001	0.004	0.436	0.194	0.001	0.001	11.641	
0:0:14.766	0.001	0.004	0.437	0.194	0.001	0.001	12.198	
0:0:14.838	0.001	0.004	0.437	0.194	0.001	0.001	13.428	
0:0:14.909	0.001	0.004	0.436	0.194	0.001	0.001	14.045	
0:0:14.999	0.001	0.004	0.437	0.194	0.001	0.001	14.590	
0:0:15.068	0.001	0.003	0.436	0.194	0.001	0.001	17.260	
0:0:15.138	0.001	0.003	0.438	0.194	0.001	0.001	17.301	
0:0:15.225	0.001	0.004	0.438	0.194	0.001	0.001	17.265	
0:0:15.301	0.001	0.004	0.439	0.194	0.001	0.001	15.478	
0:0:15.365	0.001	0.004	0.443	0.194	0.001	0.001	12.508	
0:0:15.433	0.001	0.004	0.444	0.194	0.001	0.001	10.129	
0:0:15.511	0.001	0.004	0.450	0.194	0.001	0.001	9.065	
0:0:15.575	0.001	0.005	0.448	0.194	0.001	0.002	6.367	
0:0:15.645	0.001	0.006	0.448	0.194	0.001	0.002	3.434	
0:0:15.710	0.001	0.006	0.445	0.194	0.001	0.002	3.883	
0:0:15.775	0.001	0.006	0.448	0.194	0.001	0.002	4.151	
0:0:15.839	0.001	0.005	0.452	0.194	0.001	0.002	5.277	
0:0:15.903	0.001	0.004	0.451	0.194	0.001	0.001	8.074	
0:0:15.978	0.001	0.004	0.455	0.194	0.001	0.001	9.962	
0:0:16.051	0.001	0.004	0.458	0.194	0.001	0.001	9.703	
0:0:16.118	0.001	0.004	0.461	0.194	0.001	0.001	11.159	
0:0:16.185	0.001	0.004	0.457	0.194	0.001	0.001	13.651	
0:0:16.249	0.001	0.004	0.457	0.194	0.001	0.001	12.972	
0:0:16.315	0.001	0.004	0.456	0.194	0.001	0.001	13.290	
0:0:16.389	0.001	0.004	0.453	0.194	0.001	0.001	13.847	
0:0:16.468	0.001	0.004	0.451	0.194	0.001	0.001	10.933	
0:0:16.538	0.001	0.006	0.449	0.194	0.001	0.002	5.268	
0:0:16.610	0.001	0.008	0.449	0.194	0.001	0.002	2.375	
0:0:16.678	0.002	0.013	0.453	0.194	0.002	0.003	0.699	
0:0:16.745	0.002	0.015	0.452	0.194	0.002	0.003	0.526	
0:0:16.827	0.002	0.018	0.448	0.194	0.002	0.004	0.364	
0:0:16.924	0.003	0.021	0.445	0.194	0.002	0.005	0.293	
0:0:17.003	0.003	0.021	0.445	0.194	0.002	0.005	0.287	
